publication_place	country	Count
Haarlem	Netherlands	   20
Hagerstown Md	USA	    3
Halifax	England	    4
Halifax NS	Canada	    4
Halle	Germany	    1
Hallowell Me	USA	    4
Hamburg	Germany	  914
Hannover	Germany	   35
Hanover NH	USA	    9
Harlow	England	   18
Harrisburgh	USA	    2
Hartford Ct	USA	    5
Haverhill Ma	USA	    1
Haverhill NH	USA	    1
Hereford	England	   37
Hertford	England	   17
Hillsborough NC	USA	    1
Horncastle	England	    1
Houghton park	England	    1
Howden	England	    2
Hudson NY	USA	    2
Hull	England	    6
Inverlochie	Scotland	    1
Ipswich	England	   32
Jacksonburgh sc	USA	    2
Keene NH	USA	    3
Kelso	Scotland	    2
Kendal	England	    1
Kilkenny	Ireland	   16
Kilmarnock	Ireland	    1
Kings Lynn	England	   53
Kingston	Jamaica	   14
Kingston NY	USA	    2
Kingston upon Thames	England	    1
Knaresborough	England	    1
Knoxville TN	USA	    2
Koningsberg	Germany	    2
Lancaster Pa	USA	    5
Lansingburgh NY	USA	   15
La rochelle	France	    4
La Trinite	Martinique	    2
Lausanne	Switzerland	    1
Leeds	England	    3
Leicester	England	   12
Leiden	Netherlands	   48
Leipzig	Germany	   34
Leominster Ma	USA	    2
Lewes	England	    1
Lexington KY	USA	    1
Liège	Belgium	    2
Lille	France	    1
Limerick	Ireland	    1
Lincoln	England	    7
Litchfield Ct	USA	    9
Liverpool	England	   82
Livorno	Italy	    4
London	England	29787
Londonderry	Northern Ireland	   34
Louvain	Belgium	    5
Lyon	France	    1
Madras India	India	   20
Maidstone	England	   14
Manchester	England	   48
Margate	England	   25
Marlborough	England	    2
Martinsburg va	USA	    7
Mechelen	Belgium	    2
Medford Ma	USA	    2
Middelburg	Netherlands	   35
Minorca	Spain	    5
Monmouth nj	USA	    1
Montego Bay	Jamaica	    8
Montreal	Canada	    6
Montrose	Scotland	    1
Mount holly nj	USA	    1
Nassau	Bahamas	   12
Natchez Ms	USA	    1
Newark	England	    2
Newark NJ	USA	    3
New Bedford Ma	USA	    5
New Bern NC	USA	    4
New Brunswick NJ	USA	   20
Newburgh NY	USA	    3
Newburyport Ma	USA	   62
Newbury Vt	USA	    1
Newcastle	England	   89
Newfield Ct	USA	    3
New Haven Ct	USA	    1
New London Ct	USA	    5
New Orleans La	USA	    1
Newport	England	    2
Newport RI	USA	    5
Newry	Ireland	    2
Newton NJ	USA	   17
New York NY	USA	   35
Niagara	Canada	   60
Norfolk Va	USA	    1
Northallerton	England	    2
Northampton	England	    2
Northampton Ma	USA	    5
Norwich	England	   10
Norwich Ct	USA	    1
Nottingham	England	    4
Ossining ny	USA	    1
Oxford	England	  840
Paisley	Scotland	    1
Paris	France	  227
Paris KY	USA	    2
Parr-Town	Canada	    2
Pembroke Ma	USA	    1
Penrith	England	    1
Perth	Scotland	   38
Peterborough	England	    1
Petersburg Va	USA	    9
Philadelphia Pa	USA	   25
Plymouth	England	    9
Pointe-A-Pitre	Guadaloupe	   19
Port-au-Prince	Haiti	  427
Portland Me	USA	    2
Portsmouth	England	   27
Portsmouth NH	USA	    4
Poughkeepsie NY	USA	    4
Preston	England	    1
Providence RI	USA	    7
Quebec	Canada	   11
Raleigh nc	USA	    1
Reading	England	    5
Regensburg	Germany	    2
Reims	France	    1
Richmond	England	    1
Richmond Va	USA	    3
Rochester	England	    1
Rodborough	England	   18
Rome	Italy	    1
Rome NY	USA	    1
Roscrea	Ireland	    1
Roseau Dominica	Dominica	    3
Rotterdam	Netherlands	    6
Rouen	France	    8
Royal Tunbridge Wells	England	    9
Rutland Vt	USA	   11
Saarbrucken	Germany	    3
Salamanca	Spain	    1
Salem Ma	USA	    1
Salem NJ	USA	    2
Salem NY	USA	   45
Salisbury	England	   28
Salisbury Ma	USA	    8
Salisbury NC	USA	    1
Savannah Ga	USA	   89
Savanna-la-Mar Jamaica	Jamaica	    1
Schenectady NY	USA	    2
Scipio NY	USA	    1
Sheffield	England	   44
Shelburne nova scotia	Canada	    1
Shepherdstown WV	USA	 1139
Sherborne	England	   11
Shiffnal	England	    1
Shrewsbury	England	   79
Siena	Italy	    1
Sligo	Ireland	    2
Southampton	England	    1
South shields	England	    1
Spanish Town	Jamaica	   53
Springfield Ma	USA	    3
Stafford	England	    2
St Albans	England	    1
Stamford	England	   10
St Andrews	Scotland	    3
St Augustine Fl	USA	  120
Staunton Va	USA	    1
St Eustatius	St Eustatius	    4
St George	Grenada	    3
St germans	England	    1
St Helier	England	    6
Stirling	Scotland	    3
St Ives	England	    2
St John New Brunswick	Canada	    7
St Johns Antiqua	Antiqua	    4
St Mary's Md	USA	    1
Stockbridge Ma	USA	    3
Stockton	England	    1
St Omer	France	   13
St Pierre	Martinique	    2
Strabane	Northern Ireland	    2
Strasbourg	France	    3
The Hague	Netherlands	  151
Trefeca	England	    1
Trenton	Canada	    1
Trenton nj	USA	    1
Trevoux	France	   10
USA	USA	    1
Utrecht	Netherlands	    2
Venice	Italy	    1
Verdun	France	    3
Vergennes vt	USA	    3
Vevey	Switzerland	    6
Vienna	Austria	    2
Wakefield	England	   10
Walpole NH	USA	    2
Walsall	England	    1
Warren RI	USA	    5
Warrington	England	    3
Warwick	England	    1
Washington DC	USA	   18
Washington Pa	USA	    1
Waterford	Ireland	   14
Watertown Ma	USA	    2
Wesel	Germany	    4
West Springfield Ma	USA	    1
Wexford	England	    1
Weymouth	England	    1
Whitehaven	England	    8
Williamsburg Va	USA	    4
Wilmington De	USA	    2
Wilmington NC	USA	    1
Winchester	England	   44
Winchester salisbury england	NA	    1
Windham Ct	USA	    1
Windsor	England	  103
Winterthur	Switzerland	    1
Wokingham	England	    1
Wolverhampton	England	    2
Woodbridge NJ	USA	    4
Worcester	England	    5
Worcester Ma	USA	    3
Wrexham	England	    3
Yarmouth	England	    1
Yeovil	England	    1
York	England	   29
York Pa	USA	    5
NA	NA	  377
