author.unique	publication.title	n
NA	A declaration and protestation of the Lords and Commons in Parliament, to this kingdome, and to the whole world	3
waller, edmund (1606-1687)	A vindication of the King	3
holles, denzil (1599-1680)	The speech of Denzell Holles Esquire. Delivered at the Lords Barr, Wednesday the 15th. of Iune	3
NA	Victorious news from the Earle of Essex	2
NA	True nevves from Yorke	2
NA	True intelligence from Lincolne-shire	2
NA	True inteligence from Dublin, April the 3. touching those important passages have happened thereabouts	2
NA	To the Kings most excellent Majesty	2
NA	To the Kings Most Excellent Majestie	2
NA	To the Kings most excellent Majestie	2
NA	Three vvorthy particulars	2
NA	Three proclamations by the King·	2
NA	The VVelchmans last petition and protestation	2
NA	The two petitions of the county of Buckingham	2
NA	The taking of the castle of Portsmouth	2
NA	The speech of a warden to the fellowes of his company: touching the great affaires of the kingdome	2
NA	The speech of a cavaleere to his comrades	2
NA	The severall votes and resolutions of both Houses of Parliament, concerning the Kings last message	2
NA	The Scots scouts discoveries	2
NA	The questions propounded to Mr. Herbert the Kings Attorney Generall, by the House of Commons in the presence of both Houses of Parliament, on Friday the fourteenth of Ianuary 1641	2
NA	The propositions made by the citie of London, for the raising of a million of mony, for the quick subduing of the bloudy rebels in Ireland	2
NA	The presentment and articles proposed by the grand jury of the county of York	2
NA	The petition of the nobilitie, gentrie, burrows, ministers, and Commons of the Kingdom of Scotland, to the lords of His Majesties most honourable Privie Councell	2
NA	The petition of the Lords and Commons, presented to His Majestie by the Earle of Stamford, Master Chancellour of the Exchequer, and Master Hungerford, April 18. 1642	2
NA	The petition of divers of His Majesties faithfull subjects, of the true Protestant religion, in the county Palatine of Lancaster	2
NA	The petition of both Houses of Parliament, presented to His Majestie at Yorke, March 26. 1642	2
NA	The petition and resolution of the cityzens of the city of Chester	2
NA	The Parliaments love and loyalty to the Kings Most Excellent Majestie	2
NA	The Parliaments desires to the Earl of Warwicke	2
NA	The Parliaments desire and resolution cocerning [sic] the Prince	2
NA	The Kings Maiesties speech, as it was delivered the second of November before the Vniversity and city of Oxford	2
NA	The Kings declaration, and the Princes honour	2
NA	The hvmble petition of the peacefull, obedient, religious, and honest Protestants of this kingdome, presented unto the Honourable House of Commons, in their behalfe, by Doctor Hynton, 1642	2
NA	The humble petition of the Lords and Commons assembled in Parliament. Presented to His Majestie at York, the seventeenth of June, 1642	2
NA	The humble petition of the gentry, ministers, and freeholders of the county of York, assembled at the assizes there holden	2
NA	The humble petition of the gentry and commons of the county of York	2
NA	The humble petition of both Houses of Parliament	2
NA	The humble petition and declaration of both Houses of Parliament, to the Kings most excellent Majesty, sent to Yorke, by one Lord and two members of the House of Commons, on Wednesday the 23 of March. 1641	2
NA	The humble gratulation and petition of divers His Majesties faithfull subjects of the true Protestant religion, within the county palatine of Lancaster	2
NA	The humble desires of the Lords Commissioners, for the kingdome of Scotland	2
NA	The declaration, votes, and order of assistance, of both houses of Parliament, concerning the magazine at Hull, and Sir Iohn Hotham governour thereof	2
NA	The declaration, votes, and order of assistance of both houses of Parliament, concerning the magazine at Hull, and Sir Iohn Hotham governour thereof	2
NA	The declaration and votes of the Lords and Commons assembled in Parliament	2
NA	The answer of both Houses of Parliament to his Majesties message of the 12. of November. With His Maiesties reply thereunto	2
NA	Sixteene propositions in Parliament	2
NA	Six matters worthy of note	2
NA	Severall letters from the committees in severall counties	2
NA	Queene Elizabeths speech to her last Parliament	2
NA	Propositions of peace propounded by both Houses of Parliament, to the Kings Maiesty	2
NA	Prince Rvpert his declaration	2
NA	Noli me tangere is a thinge to be thought on or Vox carnis sacræ clamantis ab altari ad aquilam sacrilegam noli me tangere ne te perdam	2
NA	New votes of both Houses of Parliament, the 20th. of May, 1642	2
NA	News from Manchester	2
NA	New propositions propounded to the City of London by the Lords and Commons	2
NA	More later and truer newes from Somersetshire, Boston, Nottinghamshire, and Warwickshire	2
NA	Lamentable nevves from Ireland	2
NA	June 21. 1642. A nevv declaration of the Lords and Commons in Parliament	2
NA	Instructions of the Lords and Commons assembled in Parliament	2
NA	Instructions agreed upon by the Lords and Commons assembled in Parliament	2
NA	Horrible news from Yorke: Hull, and Ncwcastle [sic	2
NA	His Majesties two speeches	2
NA	His Majesties speech, to the gentlemen of Yorkshire, on Thursday, the fourth of August. 1642	2
NA	His Majesties propositions to Sir John Hotham, and the inhabitants of Hull, July 11	2
NA	His Majesties message to the House of Commons: concerning an order made by them for the borrowing of one hundered [sic] thousand pounds of the adventurers money for Ireland	2
NA	His Majesties message sent to the Parliament, April 8. 1642	2
NA	His Majesties instructions to his commissioners of array, for the severall counties of England, and the principality of Wales	2
NA	His Majesties instructions to His commissioners of array	2
NA	His Majesties gracious message to both Houses of Parliament, sent from Nottingham, August 25	2
NA	His Majesties declaration to the ministers, free-holders, farmers, and substantiall copy-holders of the county of York	2
NA	His Majesties declaration to both Houses of Parliament, Martii 21. 1641	2
NA	His Majesties declaration to both Houses of Parliament	2
NA	His Majesties declaration to all his loving subjects, after his late victory against the rebels, on Sunday the 23. of October	2
NA	His Majesties declarations to all his loving subjects	2
NA	His Majesties declaration concerning leavies	2
NA	His Majesties answer to a printed book, entituled, A remonstrance, or, The declaration of the Lords and Commons now assembled in Parliament, May 26. 1642	2
NA	His Maiesties message to Colonell Goring of Portsmouth	2
NA	His Maiesties message to both Houses of Parliament, of the eleventh of Iuly. 1642	2
NA	His Maiesties letter· To the Lord Maior and Aldermen of the Citie of London	2
NA	His Maiesties demands to the honourable House of Parliament	2
NA	His Maiesties declaration to all his loving subjects, of his true intentions in advancing lately to Brainceford	2
NA	His Maiesties declaration concerning leavies·	2
NA	His Maiesties declaration and manifestation to all his souldiers, by himselfe declared in the head of his army at Southam, 10. miles on this side Coventry, Octob. 21	2
NA	His Maiesties ansvver, to the petition; concerning the disbanding of his gaurd [sic	2
NA	Happy nevves from Sherborn, and Sherborne Castle	2
NA	Good newes from the assembly in Scotland, novv sitting in consultation, concerning their ecclesiasticall government in the church	2
NA	Good nevves from Hull	2
NA	Good and bad newes from Ireland	2
NA	Five speciall passages	2
NA	Exceeding joyfull newes from Holland·	2
NA	Englands thankfulnesse, or, An humble remembrance presented to the Committee for Religion in the High Court of Parliament	2
NA	Divers depositions and letters appertaining to the remonstrance, agreed upon by the Lords and Commons assembled in Parliament, die Jovis, 19. Maii 1642	2
NA	Diurnall occurrences in Parliament	2
NA	Certain propositions of both Houses of Parliament	2
NA	Certaine propositions of both Houses of Parliament	2
NA	Certaine and true news from Somerset-shire	2
NA	A worthy speech spoken at the Guild-Hall by the Earle of Holland	2
NA	A true copy of His Maiesties letter to the late sitting Generall Assembly of Scotland	2
NA	A true copy of a letter written from Sir W. Saintliger Lord President of Munster, to the Lord Lieutenant of Ireland	2
NA	Articles of impeachment by the Commons assembled in Parliament, in the name of themselves and all the commons in England	2
NA	A remonstrance presented to His Maiestie	2
NA	A remonstrance. Or the declaration of the Lords and Commons, now assembled in Parliament, 26 of May, 1642	2
NA	A remonstrance of the state of the Kingdom, agreed on by the Lords and Commons assembled in Parliament the 19. of May, 1642	2
NA	A remonstrance of Londons occurrences in a brief, real, and ingenius demonstration of all particulars, and the bundle of newes that flying report doth annunciate in all matters	2
NA	A remonstrance of divers remarkeable passages concerning the church and kingdome of Ireland, recommended by letters from the Right Honourable the Lords Justices, and Counsell of Ireland, and presented by Henry Jones Doctor in Divinity, and agent for the ministers of the Gospel in that kingdom, to the Honourable House of Commons in England	2
NA	A relation of the battaile lately fought between Keynton and Edghill by His Majesties army and that of the rebells	2
NA	A plea for the Parliament, or, XIV. considerations for the satisfaction of such, who are apt to be mis-led by a malignant party against the Parliament	2
NA	A petition from the towne and county of Leicester, unto the Kings most excellent Majesty	2
NA	A Perfect diurnall of the passages in Parliament	2
NA	A perfect diurnall of the passages in Parliament	2
NA	An ordinance or declaration of the Lords and Commons assembled in Parliament	2
NA	An ordinance of the Lords and Commons in Parliament	2
NA	An ordinance from His Maiesty and both Houses of Parliament	2
NA	An exact and true relation of the dangerous and bloudy fight	2
NA	A new declaration of both Houses of Parliament	2
NA	A message from both Houses of Parliament	2
NA	A letter sent from a private gentleman to a friend in London	2
NA	A hellish plot discovered against the castle, and the whole citie of Dublin. Or, A true relation of three of the chiefe rebels in Ireland	2
NA	A full relation of all the late proceedings of His Majesties Army in the county of Yorke	2
NA	A declaration of the loyall resolvtion of the Kingdome of Scotland	2
NA	A declaration of the Lords of the secret-councell, and of the Generall-Assembly of the Kingdome and Kirke of Scotland	2
NA	A declaration of the Lords and Commons concerning the preservation of Hull	2
NA	A declaration of the Lords and Commons assembled in Parliament, with their resolution	2
NA	A declaration of the Lords and Commons assembled in Parliament, for the speedy putting this city into a posture of defence	2
NA	A declaration of the Lords and Commons assembled in Parliament. For the raising of all power, and force	2
NA	A declaration of the Lords and Commons assembled in Parliament, for the preservation and safety of the Kingdom, and the town of Hull	2
NA	A declaration of the affections, intentions and resolutions of our brethren in Scotland for the peace and safety of both kingdomes	2
NA	A declaration from both Houses of Parliament	2
NA	A declaration and resolution of the Lords and Commons assembled in Parliament, in answer to the Scots declaration	2
NA	A coppie of a letter	2
NA	A continuation of certaine speciall and remarkable passages from both Houses of parliament	2
NA	A collection of sundry petitions presented to the Kings most excellent Majestie	2
NA	A catalogue of the Right Honorable and noble lords, earles, viscounts, and barons, that have not absented themselves from the high and Hon: House of the Peeres of Parliament, and doe stand for the good of the King and Kingdome in the Parliamentary priviledges; and yet not gone to his Majestie at Yorke	2
stoughton, william (active 1584-1584)	An assertion for true and Christian church-policie	2
rudyerd, benjamin (1572-1658)	Sir Benjamin Rudyerd his speech for propositions of peace to be sent to His Majestie	2
rudyerd, benjamin (1572-1658)	A worthy speech spoken in the Honourable House of Commons	2
richard, thomas (NA-NA)	May the second, 1642. The warlike, noble, and prosperous proceedings of the Protestant army in, Ireland·	2
prynne, william (1600-1669)	A soveraign antidote to prevent, appease, and determine our unnaturall and destructive civill warres and dissentions	2
peirce, edmund (NA-1667)	The petition of the gentry, ministers, and commonalty of the county of Kent·	2
loftus, edward (1600-1699)	The latest and truest nevves from Ireland; or, A true relation of the happy victory obtained against the rebels before Droheda	2
jordan, thomas (1612-1685)	A medicine for the times. Or, An antidote against faction	2
holles, denzil (1599-1680)	Mr. Hollis his speech in Parliament, on Munday the 31. of Januarie	2
hales, john (1584-1656)	A tract concerning schisme and schismatiques	2
grimston, harbottle (1603-1685)	Master Grimston his speech in the House of Commons	2
griffith, matthew (1599-1665)	A patheticall persvvasion to pray for publick peace	2
fairfax, ferdinando (1584-1648)	A letter from the Right Honovrable Ferdinando Lord Fairfax, Sir Hugh Cholmley, Sir Philip Stapleton, Sir Henry Cholmley, committees of the Commons house of Parliament residing at Yorke	2
dering, edward (1598-1644)	A collection of speeches made by Sir Edward Dering Knight and Baronet, in matter of religion. Some formerly printed, and divers more now added: all of them revised, for the vindication of his name, from weake and wilfull calumnie: and by the same Sir Edward Dering now subjected to publike view and censure, upon the urgent importunity of many, both gentlemen and divines	2
dering, edward (1598-1644)	A collection of speeches made by Sir Edward Dering knight and baronet, in matter of religion·	2
constantine, william (1612-1670)	The interest of England how it consists in vnity of the Protestant religion	2
brooke, robert greville (1607-1643)	Three speeches spoken in Guild-Hall	2
bristol, george digby (1612-1677)	Two letters of note	2
bladen, w (NA-NA)	A true and exact relation of the chiefe passages in Ireland, since the first rising of the rebels	2
antrim, randal macdonnell (1609-1683)	A copie of a letter from the Lord Intrim in Ireland	2
andrewes, r (1600-1699)	A perfect declaration of the barbarous and cruell practises committed by Prince Robert, the Cavalliers, and others in His Majesties army, from the time of the Kings going from his Parliament untill this present day	2
ainsworth, henry (1571-1622)	Counterpoyson	2
NA	XIX propositions made by both Houses of Parliament	1
NA	Weighty considerations manifesting the great advantages of prosecuting the Irish wars·	1
NA	Weekly intelligence from severall parts of this kingdome	1
NA	VViltshires resolution, presented with the contributions of divers gentlemen to His Majesties commissioners at Oxford	1
NA	Vox populi: or The peoples humble discovery, of their own loyaltie, and His Maiesties ungrounded iealousie	1
NA	Vox populi, or, The peoples humble discovery, of their own loyaltie, and His Maiesties ungrounded iealousie	1
NA	Votes of both Houses of Parliament: with sundry articles	1
NA	Votes and declarations of both Houses of Parliament, concerning the taking away and disanulling the power of the clergie in making constitutions	1
NA	Votes and declarations of both Houses of Parliament	1
NA	Votes and declarations of both houses of Parliament	1
NA	Vniversity nevves, or, The unfortunate proceedings of the cavaliers in Oxford	1
NA	VII. articles drawen up against Lord Kimelton. M. Iohn Pimme. M. Densil Hollis. S. Artgur [sic] Haslerick. M. Hamden. M. Stroud	1
NA	Victorious newes from Ireland	1
NA	Two strange prophesies, predicting wonderfull events, to betide this yeere of danger, in this clymate, whereof some have already come to passe	1
NA	Two speeches delivered by the Kings most excellent Majesie [sic] at Oxford: the first, to his excellence Prince Rupert, the generall of his horse, at his departure with the army. The other, to some lords and others, at a conference concerning accommodation with his high court of parliament	1
NA	Two speeches delivered by the Kings most Excellent Maiestie at Oxford	1
NA	Two proclamations by the King	1
NA	Two petitions to both Hovses of Parliament: for peace, vvarre. From many of the citizens of London	1
NA	Two petitions presented to the Kings most Excellent Majestie at Yorke, the first of August, 1642	1
NA	Two petitions of the Lords and Commons to His Majestie. Febr. 2. 1641	1
NA	Two petitions of the knights, gentlemen, freeholders, and others of the inhabitants of the county of Leicester	1
NA	Two petitions of the knights, gentlemen, freeholders and others, of the inhabitants of the county of Hertford. The one to the Right Honourable House of Peeres, the other, to the knights, citizens and burgesses, of the Honourable House of Commons; assembled in Parliament. Delivered by at least 4000, knights, gentlemen, freeholders, and other inhabitants of the county of Hertford, Ianuary 25. 1641	1
NA	Two petitions of the knights, gentlemen, freeholders, and others of the inhabitants of the county of Hertford	1
NA	Two petitions of the high sheriffe, knights, esquires, gentlemen, ministers, freeholders, and inhabitants of the countie of Sussex	1
NA	Two petitions of the covnty of Leicester	1
NA	Two petitions of the county of Leicester	1
NA	Two petitions of the countie of Yorke	1
NA	Two petitions from the countie Palatine of Chester	1
NA	Two petitions from the countie Palatine of Cheser [sic	1
NA	Two petitions·	1
NA	Two orders of the Lords and Commons assembled in Parliament	1
NA	Two messages of His Maiesties to both Houses of Parliament	1
NA	Two messages from His Majesty to both howses [sic] of Parliament, 28 of Aprill, 1642	1
NA	Two letters the one being sent to the Lord Bishop of Peterborough. The other sent from the Bishop of Bangor, to the ministers of his diocesse	1
NA	Tvvo petitions of the major	1
NA	Tvvo petitions	1
NA	Tvvo letters from tvvo chief officers under the command of the Earle of Ormond	1
NA	Tvvo declarations of the Lords and Commons assembled in Parliament	1
NA	Tvventy eight propositions made by both Houses of Parliament	1
NA	Turn-over and read, and after reading censure	1
NA	Truth in two letters	1
NA	Truthes from severall parts of the kingdome, since Munday, the one and thirtieth of October, to this present	1
NA	Truth and peace honestly pleaded, and rightly sought for: or, A loyall subjects advice	1
NA	True newes out of Herefordshire	1
NA	True newes from our navie, now at sea	1
NA	True newes from Hull	1
NA	True nevves from Norvvich	1
NA	True nevves from Devonshire, and Cornwall	1
NA	True intelligence, and joyfull newes from Ludlovv	1
NA	True and remarkable passages from the last of October to this present day	1
NA	True and remarkable passages from several places in this kingdome	1
NA	True and nevv nevves	1
NA	True and ioyfull nevves from Exceter	1
NA	True and happy news from Ireland	1
NA	True and happy newes from Worcester. Read in the honourable House of Commons, Septem. 24. 1642	1
NA	True and happie nevves from Yorkshire declaring the resolution of the Lords, knights, and gentry of the county of York, agreed upon at the last assizes holden and kept at the said city	1
NA	To the supreme authority of England, the Commons assembled in Parliament. The humble addresse of Thomas Devenish	1
NA	To the seduced partie of the citizens of London·	1
NA	To the seduced partie of the citizens of London	1
NA	To the Right Honorable Philip Earle of Pembrook and Mountgomery, &c. lord lieutenant of this county of Wiltes	1
NA	To the Kings most Excellent Majesty: the humble petition of City of London, presented to his Majestie, Octob. the 22	1
NA	To the Kings most Excellent Majesty. The humble answer of the Lords and Commons in Parliament assembled, to his Majesties last message of the 11th of September, 1642	1
NA	To the Kings most Excellent Majesty, the humble answer of the Lords and Commons assembled in Parliament, to his Majesties last message the 11. September, 1642	1
NA	To the Kings most excellent Majesty. The humble answer of the Lords and Commons assembled in Parliament, to His Majesties last message the 11. of September, 1642	1
NA	To the Kings most excellent Majestie the humble petition of the knights, gentlemen, and freeholders of the county of York	1
NA	To the Kings Most Excellent Majestie. The humble petition of His Majesties loving subjects in the countie of Lincolne	1
NA	To the Kings most Excellent Majestie, the humble petition of divers recusants and others in the county of Lancaster	1
NA	To the Kings most Excellent Majestie	1
NA	To the Kings most Excellent Maiesty. The humble petition of the Lords and Commons now assembled in Parliament. Sheweth, that Your Majesty, in answer to their late petition, touching the proceedings against the Lord Kimbleton	1
NA	To the Kings Most Excellent Maiesty: the humble petition of the Lords and Commons now assembled in Parliament. Delivered at Colebrooke, 10. Nov. 1642	1
NA	To the Kings most excellent Maiesty: the humble petition of the Lords and Commons in Parliament	1
NA	To the Kings most excellent Maiesty	1
NA	To the honourable court the House of Commons now assembled in Parliament. The humble petition of many hundred thousands, inhabiting within the thirteene shires of Wales	1
NA	To the honourable court the House of Commons now assembled in Parliament	1
NA	To the high and Honourable Court of Parliament. The nobility, knights, gentry, ministers, freeholders, and inhabitants, of the county of Surrey, whose names are subscribed in the severall schedules hereunto annexed	1
NA	To the constables and overseers of [blank] By vertue of a warrant to me directed from the standing committee at Chelmsford, ..	1
NA	Tom-Tell-Troth, or A free discourse touching the murmurs of the times	1
NA	Tom Nash his ghost	1
NA	Timely advice, or, motives to incite all men of ability to subscribe to the propositions for Ireland	1
NA	Three speeches made by the Kings most Excellent Maiesty	1
NA	Three petitions the one, of the jnhabitants of the towne of Colchester: the other two, of the county of Essex	1
NA	Three petitions presented unto the High Court of Parliament	1
NA	Three petitions presented, to the High Court of Parliament	1
NA	Three petitions presented by the grand inquest at the assises held in the Castle of Excester, in the county of Devon	1
NA	Three looks over Lincoln	1
NA	Three letters of dangerous consequence	1
NA	Three declarations	1
NA	This last ages looking-glasse: or Englands sad elligie. By S. H	1
NA	The wishing Common-wealths men: or, A queint dialogue betwixt Cautious a country-man, and Wish-well a citizen	1
NA	The wicked resolution of the cavaliers	1
NA	The Welch-mans publike recantation: or, His hearty sorrow for taking up of armes against her Parliament	1
NA	The Welchmans protestation, concerning the corruptions of these times	1
NA	The vvonderfull effects of a true and religious fast, or, An exhortation to our monethly fasting and prayer for England and Ireland	1
NA	The VVelchmans declaration	1
NA	The Votes and declaartion [sic] of the Lords and Commons in Parliament, Aprill 26	1
NA	The vntrussing of above one hundred popis-h [sic] points, some of them yet remaining which deforme the English reformation	1
NA	The vindication of the seperate brethren of the spirit, against a libel, called The Resolution of the Round-heads	1
NA	The vindication of the Parliament, and their proceedings. Or, Their military designe proved loyall and legall	1
NA	The vindication of the Parliament and their proceedings. Or, their military designe prov'd loyall and legall	1
NA	The victorious proceedings of the Protestants in Ireland	1
NA	The uotes of both Houses of Parliament	1
NA	The ualiant [sic] resolution of the sea-men	1
NA	The two petitions of the knights, gentlemen, and free-holders of the county of Oxon	1
NA	The two petitions of the county of VVarwick and Coventry	1
NA	The Two petitions of the county of Buckingham	1
NA	The twelve bishops called to the Parliament	1
NA	The tvvo petitions of the county of VVarwick and Coventry	1
NA	The tvvo petitions of the Buckingham-shire men delivered the XIth of January	1
NA	The trve diurnal occvrrances or, the heads of the proceedings of both Hovses in Parliament	1
NA	The Truest, most happy, and joyfull nevves that ever came from Ireland	1
NA	The truest intelligence from the province of Munster, in the Kingdome of Ireland	1
NA	The truest, and most reall relation of the apprehension of three most notorious rebels in Ireland brought to the Parliament in England	1
NA	The true relation of the entertainment of my Lord of Essex at Northampton	1
NA	The true relation of a wonderfull and strange passage, that was lately like to befall certaine souldiers at St. Albans in Hartfordshire, and how by the providence of God they escaped on both sides without any hurt or danger	1
NA	The true proceedings of the severall counties of Yorke Couentry Portsmouth Cornewall	1
NA	The true proceedings of both armies	1
NA	The true and originall copy of the first petition which was delivered by sir David Watkins, Mr. Shute	1
NA	The true and last newes from Ireland	1
NA	The times dissected. Or, A learned dicovrse [sic] of severall occvrrences very worthy or speciall observation, to deter evill men, and incourage good	1
NA	The supplication of the maior, aldermen, merchants, mariners, souldiers, and townesmen of Kingston upon Hull, in the behalfe of themselves and Sir John Hotham, unto His Majesty	1
NA	The state of the whole kingdom	1
NA	The state of Dublin, as it stood the 27. of December, and of other parts of Ireland	1
NA	The soveraignty of kings: or An absolute answer and confutation of that groundlesse vindication of Psalme 105. 15. (Touch not mine annoynted, and doe my prophets no harme) from some traiterous exposition of schismaticks	1
NA	The soundheads description of the roundhead. Or The roundhead exactly anatomized in his integralls and excrementalls, by the untwisting a threefold knott	1
NA	The Somerset petition	1
NA	The severall votes and resolutions agreed upon by both Houses of Parliament	1
NA	The severall petitions and messages of Parliament, concerning the militia of the kingdom	1
NA	The severall answers of both Houses of Parliament, to the city petition	1
NA	The sentence of the House of Commons, vpon Mr. Henry Darell, for reporting that Master Pym a Member of the said House, should take a bribe of thirty pounds	1
NA	The sentence of the House of Commons, vpon Mr. Henry Darell, for reporting that Master Pym a member of the said House, should take a bribe of thirty pounds	1
NA	The Second part of Vox populi	1
NA	The second part of Vox populi	1
NA	The seamans protestation·	1
NA	The seamans protestation	1
NA	The Scotts declaration, in answer to the declaration, sent unto them by their commissioners now at London, from the honourable Houses of Parliament of England	1
NA	The Scots scovts discoveries	1
NA	The Scots resolvtion	1
NA	The Scots resolution concerning this present expedition	1
NA	The Scots resolution	1
NA	The royal message from the Prince of Orange to the Peeres and Commons in England	1
NA	The right character of a true subiect	1
NA	The Resolvtion and most faithfull expression of the gentry and commonalty of the countie of Essex	1
NA	The resolution of VViltshhire: presented at Oxford to His Majestie with their contributions. Also the resolution of Herefordshire, &c	1
NA	The resolution of the women of London to the Parliament	1
NA	The resolution of the valiant Danes, who have transported an army of 6000. men to defend the King and Parliament against the cavaliers	1
NA	The resolution of the Round-heads to pull down Cheap-side Crosse	1
NA	The resolution of the Round-Heads	1
NA	The resolution of the Protestant gentry and commonalty of Cheshire concerning their petition lately presented to the Kings Majesty at Yorke	1
NA	The resolution of the Lords and Commons assembled in Parliament, to the Kings most Excellent Majestie	1
NA	The resolution of the gentry and commonalty of the county of Kent	1
NA	The resolution of Prince Charles, being generall of His Maiesties forces in the north	1
NA	The resolution of his excellence the Earle of Essex·	1
NA	The resolution of Devonshire and Cornwall and other adioyning counties	1
NA	The requests of the gentlemen of the grandjury of this county of Oxford	1
NA	The requests of the gentlemen of the grand-iury of the county of Oxford	1
NA	The remonstrance and protestation, of the gentry, and commonalty of the counties of Buckingham, Bedford, Hartford, and Cambridge	1
NA	The remonstrance and protestation of the gentry, and commonalty of the counties of Buckingham, Bedford, Hartford, and Cambridge	1
NA	The remonstrance and protestation of the gentry and commonaltie of the counties of Buckingham, Bedford, Hartford, and Cambridge	1
NA	The remonstrance and petition of the county of Huntington, the knights, gentlemen, clergy, freeholders, and inhabitiants	1
NA	The Rebells letter to the Pope	1
NA	The rebells letter to the Pope	1
NA	The Queens Majesties message and letter from the Hague in Holland, directed to the Kings most excellent Majesty, &c	1
NA	The Queens Majesties declaration and desires to the states of Holland June, 18. 1642	1
NA	The Queen of Bohemia her desires and propositions to the House of Commons, Sep. 22	1
NA	The Queenes Majesties propositions to the states of Holland, concerning the differences betwixt His Majestie and his Parliament	1
NA	The protestation of the rebels in Ireland	1
NA	The protestation and declaration of the popish, and evill affected cavaliers. now risen in armes for the setling of his Maiesties rights, and revnue [sic] and the liberty of the subject	1
NA	The Protestants vvonderment, or, a strange and unheard of oraison put up by the papists	1
NA	The propositions made by the city of London	1
NA	The propositions made by the Citie of London, for the raising of a million of mony for the quick subduing of the bloudy rebels in Ireland	1
NA	The prophesie of Mother Shipton, in the reigne of King Henry the Eighth	1
NA	The proiectors dovvn-fall, or, Times changeling	1
NA	The proceedings at Banbury since the ordnance went down for the Lord Brooks to fortifie Warwick Castle	1
NA	The priviledges of the House of Commons in Parliament assembled	1
NA	The prisoners of New-Gates condemnation	1
NA	The Prince of Orange his royall entertainment to the Queen of England.bWith, the true description, how the nobles inhabiting within the Hague, Rotterdam, Leyden, Amsterdam, Delph, Utricke, Schedam, and divers others congratulated Her Majesty into Holland. Also the Prince of Orange his royall speech to Her Majesty at the Hague, and Her Majesties gracious answer unto the same. Lastly, the manner how Her Majesty with the Lady Elizabeth were feasted at the Princes palace at the Hague, Match [sic]. 1. 1641	1
NA	The prentises prophecie, of the certainty of the bishops destruction manifested by their treacherous actions	1
NA	The Popes briefe or Bull of dispensation	1
NA	The Petjtion of the inhabitants of the city of Westminster with the libertie of the Duchie of Lancaster	1
NA	The petitjon of the Lords and Commons in Parliament, delivered to His Majesty, the 16 day of Iuly	1
NA	The peti tion [sic] of divers of His Majesties faithfull subjects, of the true Protestant religion, in the county Palatine of Lancaster	1
NA	The petition of the rebells in Nevv-Gate	1
