publication.year	publication.title	document.pages.original	document.pages.total
1709	The Scots post-man, or, The new Edinburgh gazette	84 v.	NA
1710	Llyfr gweddi gyffredin	[No pagination provided] ;	NA
1710	The Dublin weekly intelligence	v. ;	NA
1710	The Examiner	5 v. ;	NA
1710	The Examiner. Or, Remarks upon papers and occurrences	v. ;	NA
1710	The Scots post-man, or, the new Edinburgh gazette	140 v.	NA
1710	The Tatler	v. ;	NA
1710	The moderator	50 v. ;	NA
1710	The new Edinburgh gazette	v. ;	NA
1710	The post boy	v. ;	NA
1710	The true post boy	v. ;	NA
1711	The Lucubrations of Isaac Bickerstaff Esq; ..	2 v. ;	NA
1711	The Tatler	58 v. ;	NA
1711	The martial atchievements of the Scots nation	2v. ;	1234 p.
1712	The Evening-post, or, The new Edinburgh gazette	v. ;	NA
1712	The Protestant post-boy	v. ;	NA
1712	The Rambler	4 v. ;	NA
1712	The Scots post-man, or The Edinburgh gazette	v. ;	NA
1712	The Stamford-post, or an account of the most material news	v. ;	NA
1712	The historian	13 v. ;	NA
1713	The Britain	37 v. ;	NA
1714	The Balm of Gilead: or, The Healer of divisions	v. ;	NA
1714	The British merchant; or, Commerce preserv'd	103 v. ;	NA
1714	The Muscovite	5 v. ;	NA
1715	The Daily oracle	10 v. ;	NA
1715	The English examiner	v.	NA
1715	The Medley	26 v. ;	NA
1715	The Medley: or, Daily tatler	15 v. ;	NA
1715	The Patriot	125 v. ;	NA
1715	The Penny-post	1 v. ;	NA
1715	The oracle	7 v. ;	NA
1716	Remarkable occurrences	v. ;	NA
1716	St. James's evening-post: or, Nightly packet	14 v. ;	NA
1716	The Citizen	9 v. ;	NA
1716	The Examiner	v. ;	NA
1716	The Limrick news letter	v. ;	NA
1716	The Orphan	1 v ;	NA
1716	The Protestant packet	v.	NA
1716	The Weekly observator	11 v. ;	NA
1716	The Weekly-journal	v. ;	NA
1716	The Whitehall-courant	v. ;	NA
1716	The charitable mercury, and female intelligence	v. ;	NA
1716	The daily courant	v. ;	NA
1716	The weekly-general-post	v. ;	NA
1716	The works of that eminent and learned lawyer	2v. ;	1388 p.
1716	Weekly remarks, and political reflections upon the most material news foreign and domestick	1 v. ;	NA
1717	The Censor	66 v. :	NA
1717	The Penny post: or, Tradesman's select pacquet	3 v. ;	NA
1717	The Protestant medley: or, Weekly courant	v. :	NA
1717	The St. James's weekly journal	13v. ;	NA
1717	The Wednesday's journal	v. ;	NA
1717	The Weekly review, or; The Wednesday-post	v. ;	NA
1718	Dublin impartial news letter	v. ;	NA
1718	The Edinburgh evening courant	v. :	NA
1718	The Freeholder extraordinary	20 v. ;	NA
1718	The Oxford post or, the Ladies new Tatler	v. ;	NA
1718	The Weekly packet, with the Price courant	34 v. ;	NA
1719	The Thursday's journal	22 v. :	NA
1719	Thomas Toulmin. The Dublin evening-post	v. ;	NA
1720	The Ipswich-journal, or, The Weekly-mercury	v. :	NA
1720	The London journal; or, The Thursday's journal, continu'd on Saturdays	20 v. :	NA
1720	The St. James's weekly journal: or, Hanover post-man	v. ;	NA
1720	The Weaver. Or the state of our home manufacture considered	8 v. ;	NA
1720	The Weekly pacquet, or, The Impartial post-boy	v. ;	NA
1721	The Church-man: or Loyalists' weekly journal	v. :	NA
1721	The Daily packet; or, The new London day post	2 v. ;	NA
1721	The New Dublin mercury: or, Irish gazetteer	1 v. ;	NA
1721	The Penny weekly journal: or, Saturday's entertainments	15 v. ;	NA
1721	The history of the sufferings of the Church of Scotland	2v. ;	1784 p.
1721	The theological works of the Reverend Mr. Charles Leslie	2v. ;	1665 p.
1721	The theological works of the Reverend Mr. Charles Leslie	2v. ;	1667 p.
1722	Harding's Weekly impartial news letter	v. ;	NA
1722	The Englishman's journal	v. ;	NA
1723	Historiæ Anglicanæ scriptores varii	2v. :	314 p.
1723	Historiæ anglicanæ scriptores varii, E codicibus manuscriptis nunc primum editi	2v. :	674 p.
1723	The English and French journal	v. ;	NA
1723	The Loyal observator or, Collins's weekly journal	v. ;	NA
1723	The News journal in English and French	18 v. ;	NA
1723	Whalley's news-letter	v. ;	NA
1724	The Briton	30 v. ;	NA
1724	The London postman or, A supplement to the Dublin intelligence	v. ;	NA
1724	The Universal journal	38 v. ;	NA
1725	Annals of the Reformation and establishment of religion	4v. ;	3124 p.
1725	Annals of the Reformation and establishment of religion	4v. ;	NA
1725	The British spy: or, Weekly journal	v. ;	NA
1725	The Dublin weekly journal	v. :	NA
1725	The Protestant intelligence	2 v. :	NA
1726	News from the fairy island	5 v. ;	NA
1726	The Censor: or, Muster-master-general	v. ;	NA
1726	The Dublin gazeteer	v. ;	NA
1726	The Dublin mercury; or, Impartial weekly news-letter	v. ;	NA
1726	The Dublin postman	v. ;	NA
1726	The New-England courant	v. ;	NA
1726	The Proceedings on the King's Commission of the Peace	v. :	NA
1726	The country gentleman	v. ;	NA
1726	The country gentleman	v. ;	NA
1726	The history of the rebellion and civil wars in England	3v. :	NA
1727	The Citizen	21 v. ;	NA
1727	The Dublin journal	v. ;	NA
1727	The White-Hall gazette	v. ;	NA
1727	The castle courant	v. ;	NA
1727	The original York journal: or, weekly courant	28 v. :	NA
1727	Walsh's Dublin mercury, or, The impartial weekly news-letter	v. ;	NA
1728	Richard Dickson, the old Dublin intelligence, Irish journal, or, the Weekly gazzette	v. ;	NA
1728	The works of Tacitus	2v. ;	1486 p.
1729	Monsieur de Thou's history of his own time. Translated from the Geneva edition of 1620, by Bernard Wilson, A. M. Vicar of Newark upon Trent, and Prebendary of Lincoln. ..	2v. ;	NA
1729	The Dublin post-boy	v. ;	NA
1729	The civil history of the kingdom of Naples. In two volumes. ... Written in Italian, by Pietro Giannone, ... publish'd anno 1723. Translated into English, by Captain James Ogilvie	2v. ;	NA
1729	The flying : post, or, the Dublin post-man	v. ;	NA
1729	The flying post	v. ;	NA
1729	The weekly medley. And literary journal	v. ;	NA
1729	The weekly post: or, The Dublin impartial news-letter	v. ;	NA
1730	Oedipus: or The Postman remounted	v. ;	NA
1730	The Dublin packet	v. ;	NA
1730	The Weekly news and register	18 v. ;	NA
1730	The original mercury, York journal: or, weekly courant	v. :	NA
1731	Proctor's London price-courant reviv'd	v. :	NA
1732	A compleat set of St. James's journals	1 v. ;	NA
1732	The Dublin evening-post	v. ;	NA
1732	The mountebank	9 v. ;	NA
1732	Walsh's Dublin post-boy	v. ;	NA
1733	The Essex mercury: or, Colchester weekly journal	v. :bill. ;	NA
1734	A general dictionary, historical and critical	10v. ;	NA
1734	Dalton's Dublin impartial news letter	v. ;	NA
1734	The Penny i[ntelligencer.	v. ;	NA
1734	The history of England	2v. ;	NA
1735	Annals of the Reformation and establishment of religion	v.1-2 ;	1621 p.
1735	The Gentleman's journal	v. ;	NA
1735	The Kendal weekly mercury	v. :	NA
1735	The independent London journal	v. :	NA
1735	The weekly oracle; or, Universal library	1 v. ;	NA
1736	Reilly's Weekly oracle	53 v. ;	NA
1736	The Prompter	173 v. ;	NA
1736	The country journal	v. :	NA
1736	The laws of the province of South-Carolina	2v. ;	650 p.
1736	The weekly oracle; or, Reilly's Universal library	85 v. ;	NA
1737	Concilia Magnae Britanniae et Hiberniae	4v. ;	3394 p.
1737	The church history of England, from the year 1500, to the year 1688. Chiefly with regard to Catholicks: ... In eight parts. ..	3v. ;	1684 p.
1738	Brice's weekly collection of intelligence	v. ;	NA
1738	The British censor	v. ;	NA
1738	The Lancashire journal	v. :	NA
1738	The Nonsense of common-sense	v. ;	NA
1739	The Country tatler; or the Daily pacquet	v. ;	NA
1739	The Ipswich journal	v. :	NA
1739	The Newcastle journal	v. ;	NA
1739	The Salisbury journal	v. :	NA
1739	The weekly historian and newsman	v. ;	NA
1740	A full view of the public transactions in the reign of Q. Elizabeth	2v. ;	1063 p.
1740	Admiral Vernon and Haddock's Half-penny post	v. ;	NA
1740	The Dublin daily post, and general advertiser	v. ;	NA
1740	The Englishman's evening post, and Universal advertiser	v. ;	NA
1740	The earl of Strafforde's letters and dispatches	2v. ;	996 p.
1741	A. Reilly, the Dublin news-letter	v. :	NA
1741	Rayner's morning advertiser	v. ;	NA
1741	The Christian's amusement	27 v. ;	NA
1741	The Country oracle	v. ;	NA
1741	The Nottingham post	v. ;	NA
1741	The Weekly miscellany	v. ;	NA
1741	The general post-office advertiser	v. ;	NA
1741	The new weekly miscellany	v. ;	NA
1742	Aris's Birmingham gazette: or, the General correspondent	v. :	NA
1742	The Dublin mercury	v. :	NA
1742	The Oracle: or, Bristol weekly miscellany	40 v. ;	NA
1742	The weekly advertiser, or Pennsylvania journal	v. ;	NA
1743	Catalogue des rolles Gascons	2v. ;	885 p.
1743	Edw. Exshaw and A. Reilly The Dublin news-letter	v. :	NA
1743	J. Gowan. A supplement to the Dublin news-letter	v. ;	NA
1744	An universal history	2v. :	NA
1744	The history of England: during the reigns of K. William, Q. Anne, and K. George I	2v. ;	NA
1745	The Reading mercury: and Oxford gazette	4 v. :	NA
1746	The True patriot	33 v. ;	NA
1746	The national journal: or, The country gazette	43 v. ;	NA
1747	The Lady's weekly magazine	v. ;	NA
1749	The Covent-Garden journal	1 v. ;	NA
1749	The Political manager: or, The Invasion of the music-hall set forth	1 v. ;	NA
1749	The Western flying-post; or, Sherborne and Yeovil mercury	v. :	NA
1750	The Play-house journal	1 v. ;	NA
1750	The censor: or, The citizens journal	28 v. ;	NA
1751	The Nettle	1 v. ;	NA
1752	Johannis de Fordun Scotichronicon, cum supplementis et continuatione Walteri Boweri, Insulae Sancti Columbae Abbatis. E codicibus Mss. editum. ..	2v. ;	1095 p.
1752	The Covent-Garden journal	72 v. ;	NA
1752	The Dublin courant	v. :	NA
1752	The York gazetteer	v. ;	NA
1752	Whitworth's Manchester magazine	v. :	NA
1753	A collection of the sufferings of the people called Quakers	2v. ;	1473 p.
1753	Berrow's Worcester journal	v. :	NA
1753	The Universal advertiser	v. ;	NA
1753	The history and survey of the cities of London and Westminster	2v. :	1817 p.
1754	Esdall's news-letter	v. :	NA
1754	The Gray's Inn journal	52 v. ;	NA
1754	The Manchester journal	v. :	NA
1754	The general advertiser	v. :	NA
1754	The history of London	2v. :	NA
1755	A general history of England. ..	4v. ;	NA
1755	Lister's Sheffield weekly journal	v. ;	NA
1755	The Kingston journal	v. ;	NA
1755	Whitworth's Manchester magazine, or, Universal advertiser	29 v. ;	NA
1756	The Connoisseur	140 v. ;	NA
1756	The connoisseur	2 v. ;	NA
1756	The ecclesiastical history of England	2v. ;	1406 p.
1756	Whitworth's Manchester magazine, and, Weekly advertiser	v. ;	NA
1757	Creswell's Nottingham journal	v. ;	NA
1757	The Liverpool chronicle; and Marine gazetteer	v. :	NA
1758	The Boston weekly advertiser	v. ;	NA
1759	Joannis de Fordun Scotichronicon, cum supplementis et continuatione Walteri Boweri, Insulae Sancti Columbae Abbatis: E Codicibus Mss, editum, cum notis et variantibus lectionibus. Præfixa est ad historiam Scotorum introductio brevis, curâ Walteri Goodall. ..	2v. ;	1210 p.
1759	The Edinburgh chronicle	v. ;	NA
1759	The Edinburgh chronicle; or, Universal intelligencer	v. ;	NA
1759	The Hull courant	v. ;	NA
1759	The Westminster journal: or, New weekly miscellany	v.	NA
1759	The history of England	2v. ;	NA
1759	The public magazine	v. :	NA
1759	The shepherd	v. ;	NA
1759	Williamson's Liverpool advertiser. And mercantile register	v. :	NA
1760	Sheffield weekly journal: or, Doncaster flying-post	v. ;	NA
1760	The Bath advertiser	v. :	NA
1760	The Bath chronicle: or, Universal register	v. :	NA
1760	The Union journal: or, Halifax advertiser	v. :	NA
1760	The public advertiser. (Sheffield.	v. ;	NA
1760	Whitworth's Manchester advertiser, and Weekly magazine	v. ;	NA
1761	The Bath chronicle. And Weekly gazette	v. ;	NA
1762	The American chronicle	v. ;	NA
1762	The Manchester chronicle: or, Anderton's Universal advertiser	v. :	NA
1762	The Nottingham journal: or, Creswell's weekly advertiser	v. :	NA
1762	The Occasional writer	v. ;	NA
1762	The West-India and America monthly packet of intelligence: or, An account of news foreign and domestic	76 v. ;	NA
1763	The New Hampshire gazette	v. ;	NA
1763	The New-York pacquet	v. ;	NA
1764	Pope's Bath chronicle	v. :	NA
1764	Pope's Bath chronicle and Weekly gazette	v. ;	NA
1764	The Chelmsford chronicle: or, Essex weekly advertiser	v. ;	NA
1764	The Quebec gazette	v. ;	NA
1765	Andrew Brice's Old Exeter journal; or, the weekly advertiser	v. ;	NA
1765	Jones's Coventry and Warwick ledger; or, the Weekly register of news, trade, and commerce	v. :	NA
1765	The Exeter evening-post; or, The west-country advertiser	1 v. ;	NA
1765	The Exeter mercury: or, West-country advertiser	97 v. ;	NA
1765	The Jamaica Gazet[te.	v. :	NA
1765	The Newcastle chronicle. Or, General weekly advertiser	1 v. ;	NA
1765	The Public prompter; and, Irish journal	v. :	NA
1766	Journal of the votes and proceedings of the General Assembly of the colony of New-York	2v. ;	1693 p.
1766	The North-Carolina gazette	v. ;	NA
1766	The new Craftsman; or London intelligencer	v. ;	NA
1767	State papers collected by Edward, Earl of Clarendon	3v. ;	2382 p.
1767	The Exeter evening-post; or, The Plymouth and Cornish courant	112 v. ;	NA
1767	The Exeter evening-post; or, The Plymouth and Cornish courant	112 v. ;	NA
1767	The Freeport gazette, or the Dominica advertiser[.	v. ;	NA
1768	Archer's Bath chronicle	v. :	NA
1768	Cruttwell's Sherborne, Shaftesbury and Dorchester journal,or, Yeovil, Taunton, and Bridgewater chronicle	v. :	NA
1768	The Dublin chronicle	v. :	NA
1768	The Kentish gazette	v. :	NA
1768	The Liverpool chronicle	52 v. :	NA
1768	The Newcastle chronicle	v. :	NA
1768	The Saint Jago intelligencer	v. :	NA
1768	The Universal journalist	v. :	NA
1769	Jopson's Coventry mercury	v. ;	NA
1769	The Belfast news-letter	v. :	NA
1769	The Derby Mercury	v. :	NA
1769	The Exeter evening-post; or, Plymouth and Cornish advertiser	v. ;	NA
1769	The Limerick chronicle	v. ;	NA
1769	The Massachusetts gazette	v. ;	NA
1769	The penny post	v. ;	NA
1770	Creswell's Nottingham journal	v. :	NA
1770	R. Cruttwell's Bath and Bristol chronicle	v. ;	NA
1770	The Bath and Bristol Chronicle	v. :	NA
1770	The Dublin Evening Packet	v. ;	NA
1770	The Kentish post and Canterbury journal	19 v. :	NA
1770	The Limerick chronicle. And general advertiser	v. :	NA
1770	The Nova-Scotia gazette	v. :	NA
1770	The Warwickshire journal	v. ;	NA
1770	The extraordinary North Briton	91 v. ;	NA
1770	Trewman's Exeter evening-post: or, Plymouth and Cornish advertiser	87 v. ;	NA
1771	The Berkshire chronicle	v. ;	NA
1771	The Impartial register of the history, politics, and literature of the present times	v. ;	NA
1771	The London packet	v. ;	NA
1771	The St. Christopher gazette, or, The historical chronicle	v. :	NA
1771	The Waterford chronicle	v. :	NA
1771	The publick journal	v. ;	NA
1772	Brice and Thorn's old Exeter journal, or weekly advertiser	v. ;	NA
1772	Gore's Liverpool commercial pamphlet	v. :	NA
1772	The Corke chronicle: or, Free intelligencer	v. :	NA
1772	The Darlington mercury: or, County of Durham advertiser	5 v. :	NA
1772	The Hartford mercury	v. :	NA
1772	The Ordinary of Newgate his account of the behaviour, confessions, and dying-words, of the criminals, ... executed at Tyburn, on ..	v. ;	NA
1772	The history of London	2v. :	NA
1773	The Antigua merc[ury or] St. John's weekly adve[rtiser.	v. :	NA
1773	The Independent chronicle, and Universal evening post	v. ;	NA
1773	The Shrewsbury chronicle, or, Wood's British commercial pamphlet	7 v. ;	NA
1773	The Templar, and literary gazette	14 v.;	NA
1773	The Templar, and literary gazette	1 v.;	NA
1773	The York chronicle; and weekly advertiser	55 v. :	NA
1773	The public monitor: or, New Freeman's journal	v. :	NA
1774	Bonner and Middleton's Bristol journal	v. :	NA
1774	Creswell's Nottingham and Newark journal, or the weekly advertiser	v. :	NA
1774	Creswell's Nottingham, Newark, Worksop & Retford journal; or, The weekly advertiser	v. :	NA
1774	The Connecticut courant	v. :	NA
1774	The Hibernian gazette: or, Universal advertiser (Clonmell.	v. ;	NA
1775	Etherington's York chronicle	104 v. :	NA
1775	Independent journal; or, Chronicle of liberty	v. ;	NA
1775	Story & Humphreys's Pennsylvania Mercury, and universal advertiser	v. :	NA
1775	The Boston evening-post	v. ;	NA
1775	The Charribbean and general gazette; or, The St. Christopher chronicle	v. ;	NA
1775	The Crisis	v. ;	NA
1775	The Cumberland pacquet	v. :	NA
1775	The Cumberland pacquet; or, Ware's Whitehaven advertiser	v. :	NA
1775	The Free-port gazette; or, the Dominica chronicle	v. :	NA
1775	The Hartford, Bedford, and Huntingdon mercury	v. :	NA
1776	Courier de l'Europe, gazette anglo-françoise	v. ;	NA
1776	Foxs gazette	v. :	NA
1776	Hoey's Dublin mercury, and public advertiser	v. :	NA
1776	Le Courier de l'Europe	36 v. ;	NA
1776	Stewart's Dublin weekly journal: or, The universal intelligencer	v. ;	NA
1776	The Antigua gazette. Or St. John's weekly intelligencer and advertiser	v. :	NA
1776	The Caledonian gazetteer	v. ;	NA
1776	The Crisis	91 v. ;	NA
1776	The Hibernian morning-post; or, Literary chronicle	v. ;	NA
1776	The New-Hampshire gazette and historical chronicle, [sic	v. ;	NA
1776	The Wexford journal	v. ;	NA
1776	The goats gazette	v. :	NA
1776	The old Exeter journal , or weekly advertiser	v. ;	NA
1777	Gordon's Newry chronicle: and Universal advertiser	v. :	NA
1777	Magee's weekly packet; or, Hope's Lottery journal	v. ;	NA
1777	Salmon's mercury, or, Entertaining repository	v. ;	NA
1777	The Bee and Sketchley's weekly advertiser	v. ;	NA
1777	The Bristol journal	v. :	NA
1777	The Fall of Britain	15 v. ;	NA
1777	The Independent chronicle; and Universal advertiser	v. :	NA
1777	The hunting match; or, the hounds let out	v. :	NA
1777	Thomas Welsh. The Munster journal	v. :	NA
1778	Annals of the Reformation and establishment of religion	3v. ;	NA
1778	Haswell's Massachusetts spy or American oracle of liberty	v. ;	NA
1778	Piercy's Coventry gazette	v. ;	NA
1778	Salmon's mercury	v. :ill. ;	NA
1778	Salmon's mercury, or, Entertaining repository	v. ;	NA
1778	Salmon's mercury. And General advertiser	v. :ill. ;	NA
1778	Swinney's Birmingham and Stafford chronicle	v. ;	NA
1778	The Cork journal	v. ;	NA
1778	The Sherborne journal	v. :	NA
1779	Magee's weekly packet, of news, politics, and literature	v. :	NA
1780	Philadelphisches staatsregister	v. ;	NA
1780	Swinney's Birmingham and Stafford chronicle; and Piercy's Coventry gazette	v. ;	NA
1780	The Constitutional chronicle	v. :	NA
1780	The Mirror	110 v. ;	NA
1780	The St. Christopher journal	v. ;	NA
1781	The Aberdeen journal, and North-British magazine	v. :	NA
1781	The General evening post	v. :	NA
1781	The Nottinghamshire gazette	v. ;	NA
1781	The noon gazette, and daily spy	v. :	NA
1782	'The abstract and brief chronicle of the time.'	v. ;	NA
1782	The Middlesex journal, and evening-post	v. ;	NA
1782	The New evening post	v. ;	NA
1783	Rivington's New-York gazette, and universal advertiser	12 no. :	NA
1783	The Volunteer's journal; or; Irish herald	v. :	NA
1783	The independent New-York gazette	3 v. ;	NA
1784	Independent gazette; or the New-York journal revived	20 v. ;	NA
1784	P. Bagnell and J. Baldwin, number ..., of the Volunteer journal; or, Independent gazetteer	v. ;	NA
1784	The South Carolina state gazette, and general advertiser	v. :	NA
1784	The Weekly monitor and American advertiser	v. :	NA
1784	The selector	23 v. ;	NA
1785	Carey's Pennsyvania evening herald, and American monitor	v. ;	NA
1785	John and Robert Baldwin's Volunteer journal; or, Independent gazetteer	v. ;	NA
1785	South Carolina State gazette and daily advertiser	v. :	NA
1785	The Bury post, and Universal advertiser	142 v. ;	NA
1785	The Bury post: or, Suffolk and Norfolk advertiser	40 v. ;	NA
1785	The Delaware gazette	v. ;	NA
1785	The Dublin morning post	v. :	NA
1785	The St. Christopher gazette	v. ;	NA
1785	The Strabane journal. Or the general advertiser	v. ;	NA
1785	The York chronicle	v. :	NA
1786	Election budget	v. :	NA
1786	India Courier extraordinary	3v. ;	NA
1786	The Barbados mercury	v. ;	NA
1786	The New-York gazetteer, and country journal	v. ;	NA
1786	The North Carolina gazette	v. ;	NA
1786	The Shrewsbury chronicle and Wood's Shropshire, Montgomeryshire, Denbighshire, Merionethshire, &c. general advertiser	v. :	NA
1786	The Yorkshire journal, and general weekly advertiser	v. ;	NA
1787	Coventry mercury: or, The Warwickshire, Northamptonshire, Leicestershire, and Oxfordshire general advertiser	v. :bill. ;	NA
1787	John Baldwin's Volunteer journal; or, General advertizer	v. ;	NA
1787	John Baldwin's Volunteer journal; or, Weekly advertizer	v. ;	NA
1787	The Dublin chronicle	v. ;	NA
1787	The Hull packet, and Humbrian gazette	v. :	NA
1787	The North-Carolina gazette; or the Edenton intelligencer	v. ;	NA
1787	The Virginia gazette, and Winchester advertiser	v. :	NA
1787	The Weekly monitor	v. :	NA
1788	Collier's Litchfield weekly monitor	v. :	NA
1788	Lord's Munster herald: or, General advertiser	v. ;	NA
1788	The Barbados-gazette	v. ;	NA
1788	The Canterbury journal	v. :	NA
1788	The Citizen	5 v. ;	NA
1788	The Drogheda journal; or, Meath and Louth advertiser	v. ;	NA
1788	The Dublin Evening Packet	v. ;	NA
1788	The Dublin packet; or, Weekly advertiser	v. ;	NA
1788	The Hull packet	v. :	NA
1788	The Munster packet; or, General advertiser	v. ;	NA
1788	The Salisbury and Winchester journal	v. ;	NA
1788	The Salisbury and Winchester journal, and general advertiser	v. ;	NA
1788	The Savanna-la-Mar gazette	v. ;	NA
1788	The royal Grenada gazette	v. ;	NA
1789	Brice's old Exeter journal or western advertiser	v. ;	NA
1789	Journal de l'Europe	v. ;	NA
1789	Ramsey's Waterford chronicle	v. :	NA
