publication.year	publication.title	document.pages.original	document.pages.total
1758	The history of the arabians, under the government of the caliphs, from Mahomet, their founder, to the death of Mostazem, the fifty-sixth and last abassian caliph; containing the space of six hundred thirty-six years. With notes, historical, critical and explanatory together with genealogical and chronological tables, and a complete index to each volume. By the Abbe de Marigny. Translated from the French, with additional notes. In four volumes	4v. ;	NA
1759	A collection of original letters and papers, concerning the affairs of England, from the year 1641 to 1660. Found among the Duke of Ormonde's papers. In two volumes. By Tho. Carte, M.A	2v. ;	NA
1759	The Roman history, from the building of Rome to the ruin of the Commonwealth	4v. ;	2071 p.
1759	The history of England	3v. ;	NA
1759	The history of Scotland	2v. ;	898 p.
1759	The history of the Moravians	2 v. ;	NA
1760	A supplement to the first book of the second part of The credibility of the Gospel history	3v. ;	1443 p.
1760	The General magazine	24 v. ;	NA
1760	The Grand magazine	35 v. :	NA
1760	The New American magazine	27 v. :	NA
1760	The dramatic works of Aaron Hill	2v. ;	840 p.
1760	The history of the excellence and decline of the constitution, religion, laws, manners and genius, of the Sumatrans	2v. ;	684 p.
1760	The life of Edward Earl of Clarendon	2v. ;	1071 p.
1760	The religious magazine	v. ;	NA
1761	The Lawyer's magazine, ... or, Attorney's and solicitor's universal library	v. :	NA
1761	The history of Scotland	2v. ;	1111 p.
1762	A new chronological abridgement of the history of France	2v. ;	899 p.
1762	The Edinburgh magazine	6 v. :	NA
1762	The Edinburgh magazine	72 v. :	NA
1762	The history of England	4v. ;	NA
1762	The history of England	3 v. ;	NA
1762	The history of the reign of the Emperor Charles V	2v. ;	1058 p.
1762	The library	v. :	NA
1762	The library: or, Moral and critical magazine	2 v. :	791 p.
1762	The martial atchievements of the Scots nation: ... By Patrick Abercromby, ... In four volumes. ..	4v. ;	NA
1763	Hyfforddı̈ad i wybodaeth jachusol o egwyddorjon a dyledswyddau crefydd: sef, Holı̈adau ac Attebı̈on y sgrthurol ynghylch yr athrawjaeth a gynhwysir yng nghatecism yr eglwys. Angenrheidjol i'w dysgu gan Hen a Jeuaingc; Y Rhan Gyntaf. Yn traethu ynghylch Cwymp Dyn trwy Bechod, a'i Adgyweiriad trwy Grist; Rhagorïaeth, Breintjau, ac Ammodau'r Cyfammod Grâs; y Manteision mawrjon, y Cyssuron rhagorol, a 'r Dyledswyddau Crefyddol, sy'n tarddu oddi wrth y Breintjau hynny: Ynghyd â Rhwymedigaeth, Natur, a Nodau'r Hunanymwadïad; y Ffydd a'r Ufudd-Dod a gynhwysir yn Ammodau'r Cyfammod; ac amryw bethau buddjol ych waneg. Gan y Parchedig. Mr. Griffith Jones, Gynt Person Llandowror yn Sir Gaersyrddin	5v. ;	NA
1763	Political annals	2v. ;	647 p.
1763	The Theatrical review	6 v. ;	NA
1763	The history of England	8v. ;	4568 p.
1763	The history of Italy	10v. ;	4175 p.
1764	A complete history of the origin and progress of the late war	2v. ;	774 p.
1764	A view of the principal deistical writers that have appeared in England in the last and present century	2v. ;	906 p.
1764	The Birmingham register; or Entertaining museum	v. ;	NA
1764	The Coventry museum; or The universal entertainer	v. ;	NA
1764	The history of religion	4v. ;	2038 p.
1764	Tou xenophōntos Hē tou Kyrou Anabasis	4v. ;	1036 p.
1765	Contemplations on the history of the New Testament	2v. ;	NA
1765	Letters writ by a Turkish spy, who liv'd five and forty years undiscover'd at Paris. ..	8v. ;	NA
1765	Original papers relative to the disturbances in Bengal. Containing every material transaction from 1759 to 1764. In two volumes. ..	2v. ;	NA
1765	The British magazine or Literary entertainment of knowledge and pleasure	4 v. ;	NA
1765	The state letters of Henry Earl of Clarendon Lord Lieutenant of Ireland during the reign of K. James the Second: and His Lordship's diary for the years 1687, 1688, 1689 and 1690	2v. ;	NA
1765	The universal museum; or, The entertaining repository	v. ;	NA
1766	A collection of the most interesting tracts	2v. ;	500 p.
1766	A view of the principal deistical writers that have appeared in England in the last and present century	2v. ;	906 p.
1766	The history of Scotland during the reigns of Queen Mary and of King James VI	2v. ;	906 p.
1766	The history of Scotland, from the earliest accounts of that nation, to the reign of King James VI. Translated from the Latin of George Buchanan. In Two Volumes. To which is annexed, a Genealogy of all the Kings from Fergus I. to James VI. with the Year of the World, and the year of Christ, when each began his reign. ..	2v. ;	NA
1767	A new and impartial collection of interesting letters	2v. ;	696 p.
1767	A new and impartial collection of interesting letters	2v. ;	NA
1767	The roman history	8v. ;	3942 p.
1767	Tou xenophōntos Hē tou Kyrou paideia	4v. ;	1246 p.
1768	Le ministre de Wakefield, histoire supposée écrite par lui-même. ..	2v. ;	476 p.
1768	The history of the rebellion and civil-war in Ireland	2v. ;	620 p.
1769	Anecdotes russes	2v. ;	545 p.
1769	Histoire générale des dogmes et opinions philosophiques. Depuis les plus anciens temps jusqu'à nos jours. Tirée du Dictionnaire encyclopédique, des arts & des sciences. ..	3v. ;	NA
1769	Letters written by His Excellency Hugh Boulter	2v. ;	635 p.
1769	New observations on Italy and its inhabitants. Written in French by two Swedish gentlemen. Translated into English by Thomas Nugent, L.L.D. and fellow of the Society of Antiquaries. ..	2v. ;	NA
1769	The Roman history	2v. ;	NA
1769	The city remembrancer	2 v. ;	830 p.
1769	The history of England	8v. ;	NA
1769	The history of Paraguay. Containing amongst many other new, curious, and interesting particulars of that country, a full and authentic account of the establishments formed there by the Jesuits, ... Written originally in French, by the celebrated Father Charlevoix. In two volumes. ..	2v. ;	NA
1769	The history of Paraguay. Containing amongst many other new, curious, and interesting particulars of that country, a full and authentic account of the establishments formed there by the Jesuits, from among the savage natives, in the very centre of barbarism: establishments allowed to have realized the sublime ideas of Fenelon, Sir Thomas More, and Plato. Written originally in French, by the celebrated Father Charlevoix. In two volumes. ..	2v. ;	NA
1769	The history of Scotland	2v. ;	NA
1769	The history of the life of King Henry the Second, and of the age in which he lived, in five books: to which is prefixed, a history of the revolutions of England from the death of Edward the Confessor to the birth of Henry the Second: by George Lord Lyttelton	4v. ;	NA
1769	The history of the reign of the Emperor Charles V	3v. ;	NA
1770	An historical and geographical description of the British Empire	4 v. :	NA
1770	An history of the revolutions that happened in the government of the Roman Republic. Written in French by the Abbot de Vertot, of The Royal Academy of Inscriptions and Belles-Lettres. Translated into English, in two volumes, by Mr. Ozell. To which is prefixed A Translation of a Memorial sent from London by the late Earl Stanhope to the Abbot De Vertot at Paris; containing divers Questions relating to the Constitution of the Roman Senate. With the Abbot's Answer. ..	2v. ;	NA
1770	Hibernica	2v. ;	515 p.
1770	Letters written by His Excellency Hugh Boulter	2v. ;	506 p.
1770	Llyfr gweddi gyffredin	[No pagination provided] ;	NA
1770	The American gazette	6 v. ;	NA
1770	The Historical, political, and literary register	v. ;	NA
1770	The Roman history	2v. ;	NA
1770	The history of England, from the accession of James I. to that of the Brunswick line	v.1 ;	NA
1770	The history of Ireland	2v. ;	677 p.
1770	The present state of Europe	3v. ;	1330 p.
1770	Trysorfa gwybodaeth, neu, Eurgrawn Cymraeg. ..	15 v. ;	NA
1771	An authentic narrative of the oppressions of the islanders of Jersey. To which is prefixed a succinct history of the military actions, constitution, laws, customs, and commerce of that island. ..	2v. ;	NA
1771	Buchanan's history of Scotland	2v. ;	827 p.
1771	Elements of the history of England	2v. ;	786 p.
1771	La Dunciade	2v. ;	617 p.
1771	Letters of the Marchioness of Pompadour	2v. ;	NA
1771	Moral and political dialogues	3v. ;	NA
1771	The North Briton	2v. ;	NA
1771	The Repository: or Treasury of politics and literature	2 v. ;	998 p.
1771	The history of England	4v. :	1782 p.
1771	The history of the reign of Charles the Fifth, Emperor of Germany	3v. ;	1246 p.
1771	The history of the reign of Charles the Fifth, Emperor of Germany, and King of Spain	2v. ;	NA
1771	The history of the state and sufferings of the Church of Scotland	2v. ;	1008 p.
1772	Desiderata curiosa Hibernica	2v. ;	1132 p.
1772	Lettres de Madame la Marquise de Pompadour	3v. :	310 p.
1772	Memoires de Madame la marquise de Pompadour	2v. ;	920 p.
1772	The Perth magazine	v. ;	NA
1772	The Perth magazine of knowledge and pleasure. (Perth, Scotland : Quarterly	6 v. ;	NA
1772	The history of Scotland	2v. ;	914 p.
1772	The history of the life of King Henry the Second, and of the age in which he lived, in five books: to which is prefixed, a history of the revolutions of England from the death of Edward the Confessor to the birth of Henry the Second: by George Lord Lyttelton. The second edition. ..	2v. ;	NA
1773	Essay on the character, manners, and genius of women in different ages	2v. ;	385 p.
1773	Journal de Pierre le Grand	2v. ;	578 p.
1773	The Scots farmer	25 v. :	NA
1773	The history of Ireland from the invasion of Henry II	3v. ;	1686 p.
1773	The history of Manchester	2v. :	838 p.
1773	The works of Flavius Josephus	3v. :	NA
1773	The works of Flavius Josephus	3vol. :	NA
1774	An Historical register of publick occurrences	v. ;	NA
1774	Les droits des trois puissances alliées sur plusieurs provinces de la république de Pologne	2v. ;	671 p.
1774	The Edinburgh repository: or, Fortnight's magazine	v. ;	NA
1774	The grecian history	2v. ;	756 p.
1774	The history of England	4v. :	1800 p.
1774	The history of Ireland	3v. ;	1688 p.
1774	The history of Ireland from the invasion of Henry II	4 v. ;	NA
1774	The history of the revolutions of Denmark. With an account of the present state of that Kingdom and people. By John Andrews, L.L.D. In two volumes. ..	2v. ;	NA
1774	The present truth	2v. ;	826 p.
1775	Letters and journals	2 v. ;	940 p.
1775	Letters, and journals	2 v. ;	NA
1775	Reliques of ancient English poetry	3v. :	1267 p.
1775	The British chronologist	3v. ;	1455 p.
1775	The Dundee magazine; or, a History of the present times	1 v. ;	NA
1775	The Gentleman and lady's weekly magazine	61 v. ;	NA
1775	The Roman history	8v. ;	NA
1775	The Roman history	2v. ;	669 p.
1775	The Scots weekly magazine, or Grand repository	v. ;	NA
1775	The history of England	8v. ;	NA
1775	The history of Ireland	3v. ;	1731 p.
1775	The history of Scotland	2v. ;	675 p.
1775	The present state of music in Germany, the Netherlands, and United Provinces	2v. ;	746 p.
1775	The works of Flavius Josephus	4v. ;	2044 p.
1776	A philosophical and political history of the settlements and trade of the Europeans in the East and West Indies	4v. ;	2175 p.
1776	Moral and political dialogues	3v. :	938 p.
1776	Mémoires de la Grande-Bretagne et de l'Irlande	2v. ;	866 p.
1776	The Carlisle magazine	v. ;	NA
1776	The Newcastle weekly magazine; or Compendium of politics, literature, and amusement	v. :	NA
1776	The expedition of Cyrus into Persia	2v. ;	710 p.
1776	The history of Scotland	2v. ;	1106 p.
1777	Beyträge zur Geschichte der teutschen Sprache und National-Litteratur	2v. ;	650 p.
1777	Lectures upon the most remarkable characters and transactions recorded in the Book of Genesis	2v. ;	653 p.
1777	Memoirs of the Kings of France	2v. ;	834 p.
1777	The history of America	3v. ;	1060 p.
1777	The history of the decline and fall of the Roman Empire	2 v.;	821 p.
1777	The history of the reign of Philip the Second	2v. ;	891 p.
1777	The speeches of Iohn Wilkes	3v. ;	555 p.
1778	A view of universal modern history	3v. ;	1208 p.
1778	Memoirs of the Duke of Sully: prime minister to Henry the Great ..	5 v. :	NA
1778	Sacred history	3v. ;	1640 p.
1778	Sketches of the history of Man	4v. ;	1886 p.
1778	The Dundee weekly magazine; or, a History of the present times	v. ;	NA
1778	The English magazine	2 v. ;	NA
1778	The Monthly intelligencer, or Repository of news, foreign and domestic	v. ;	NA
1778	The history of England	8v. ;	4232 p.
1779	A view of universal modern history	3v. ;	1212 p.
1779	An historical account of the rise and progress of the colonies of South Carolina and Georgia	2v. ;	691 p.
1779	Observations on the means of exciting a spirit of national industry	2v. ;	804 p.
1779	The Old and New Testament connected	4v. ;	NA
1779	The Weekly magazine, or, Edinburgh amusement	46 v. :	NA
1779	The Weekly magazine, or, Edinburgh amusement	v. ;	NA
1779	The Whig magazine, or, Patriot miscellany	v. ;	NA
1779	The history of England, from the earliest times to the death of George II. By Dr. Goldsmith	4v. :	1782 p.
1779	The history of modern Europe	2v. ;	1231 p.
1779	The history of modern Europe	2v. ;	1233 p.
1779	The history of the reign of Philip the second	3v. ;	1287 p.
1779	The history of women	2v. ;	746 p.
1779	The history proceedings and debates of the fifth session of the House of Commons of the fourteenth Parliament of Great Britain	v. ;	NA
1780	A New collection of historical, political, poetical, critical and moral pieces	2 v. ;	NA
1780	Emma Corbett	3v. ;	NA
1780	Emma corbett; or, The miseries of civil war	3v. ;	628 p.
1780	The Edinburgh eighth-day magazine; or, Scots town and country intelligencer	3 v. :	NA
1780	The Reformer	4 v. ;	NA
1781	A short history of the Westminster Forum	2v. ;	456 p.
1781	C. Cornelii Taciti opera	2v. ;	794 p.
1781	Emma Corbett	3v. ;	626 p.
1781	Letters on several subjects	2v. ;	476 p.
1781	Lettres iroquoises, ou correspondance politique	3v. ;	NA
1781	The Protestant packet, or British monitor	2 v. ;	NA
1781	The history of Scotland	2v. ;	1096 p.
1781	The history of remarkable events in the Kingdom of Ireland	2v. ;	787 p.
1781	The roman history	2v. ;	1043 p.
1782	An history of the corruptions of Christianity	2v. ;	959 p.
1782	Anecdotes of eminent painters in Spain	2v. ;	464 p.
1782	Anecdotes of painting	4v. ;	1388 p.
1782	Annals of the troubles in the Netherlands	2v. ;	NA
1782	The Edinburgh magazine, or Literary amusement	v. ;	NA
1782	The Weekly miscellany; or, Instructive entertainer	19 v. ;	NA
1782	The Weekly miscellany; or, agreeable & instructive entertainer	v. ;	NA
1782	The history of Scotland	2v. ;	919 p.
1782	The history of Scotland	2v. ;	868 p.
1782	The history of modern Europe	2v. ;	NA
1782	The history of women	2v. ;	1076 p.
1783	A history of Ireland	2v. ;	764 p.
1783	Anecdotes du dixhuitième siècle	2v. ;	545 p.
1783	Emma Corbett	3v. ;	NA
1783	Galerie philosophique du seizieme siecle	3v. ;	1348 p.
1783	Lectures on rhetoric and belles lettres	3v. ;	1311 p.
1783	Lectures on rhetoric and belles lettres	3v. ;	1308 p.
1783	The history of the progress and termination of the Roman Republic	3v. ;	1628 p.
1784	An Impartial history of the war in America, between Great Britain and the United States	3 v. :	1097 p.
1784	Histoire de l'administration de Lord North	3v. :	554 p.
1784	Journal politique et litteraire d'Angleterre	13 v. ;	NA
1784	Select works of the Emperor Julian	2v. ;	780 p.
1784	The Edinburgh weekly magazine	v. ;	NA
1784	The Parliamentary register	10 v. ;	NA
1784	The Parliamentary register	15v. ;	6649 p.
1784	The history of England	4v. :	1787 p.
1784	The history of Great Britain, from the earliest account of time, to the death of Sir William Wallace. Compiled from original authors. The second edition corrected. In two volumes. ..	2v. ;	NA
1784	The history of modern Europe	2v. ;	1260 p.
1784	The history of modern Europe	2v. ;	1211 p.
1784	The works of the long-mournful and sorely-distressed Isaac Penington, Whom The Lord, in his tender Mercy, at length visited and relieved by the Ministry of that despised People called Quakers; and in the Springings of that Light, Life, and Holy Power in him, which they had truly and faithfully testified of, and directed his Mind to, were these Things written; and Are now published as a thankful Testimony of the Goodness of the Lord unto him, and for the Benefit of others. ..	4v. ;	NA
1785	A collection of all the treaties of peace, alliance, and commerce, between Great-Britain and other powers	3v. ;	1306 p.
1785	A treatise on the administration of the finances of France	3v. ;	1558 p.
1785	Accounts of Pennsylvania	1v. (various pagings) ;	NA
1785	Histoire des troubles de L'Amérique anglaise	2v. ;	649 p.
1785	Remarks upon the history of the landed and commercial policy of England, from thf [sic] invasion of the Romans to the accession of James the First. In two volumes. ..	2v. ;	NA
1785	The Newcastle magazine: or, Monthly journal	2 v. :	NA
1785	The Oriental magazine	v. :	NA
1785	The Oriental magazine; or, Calcutta amusement	v. :	NA
1785	The grecian history	2v. ;	897 p.
1785	The history of England	5v. ;	2443 p.
1785	The history of France	2v. ;	627 p.
1785	The history of the reign of Philip the Second	3 v. ;	1293 p.
1785	The history of the revolution of South-Carolina	2 v. :	1077 p.
