tokens,amounts,keep_stop,
S[immons].,79,1,
Phil.,78,1,
N[athaniel].,78,1,
J[osiah].,78,1,
3,76,,
Majesty.,76,,
And.,75,1,
Matt.,75,1,
Brab.,75,1,
W.O.,75,1,
S[arah].,75,1,
Sen.,74,1,
C[otes].,74,1,
impress.,74,1,
Mat.,73,1,
i.e.,73,1,
[N.,73,1,
C[harles].,72,1,
E.G.,71,1,
G[odbid].,71,1,
M.F.,71,1,
M[ottershed].,71,1,
junr.,69,1,
Corn.,69,1,
W.W.,69,1,
8,69,,
R[oger].,69,1,
H.S.,68,1,
Wil.,68,1,
R.C.,68,1,
Smith.,66,,
R.B.,66,1,
T.S.,66,1,
Esquires.,65,,
Pater-Noster-Row.,65,,
[H.,65,1,
5,64,,
B.C.,64,1,
M[atthew].,64,1,
R[oycroft].,64,1,
I[bbitson].,64,1,
H[eptinstall].,64,1,
P[urslowe].,64,1,
L[ownes].,64,1,
W.G.,63,1,
typographi.,63,1,
0,62,,
Hon.,62,1,
6d.,61,1,
A[lexander].,61,1,
A[ndrew].,61,1,
Holborn.,60,,
Andrews.,60,,
Sa.,60,1,
W[arren].,60,1,
Em.,59,1,
A[braham].,59,1,
[E.,59,1,
Temple-Bar.,58,,
Oxon.,58,1,Oxford
Fran.,58,1,
Alston.,58,,
Cha.,58,1,
Nat.,58,1,
B[ennet].,58,1,
N.E.,58,1,
Donaldson.,57,,
Sheldoniano.,57,,
Johan.,57,1,
G.D.,57,1,
University.,56,,
J.J.,55,1,
Martins.,55,,
Paternoster-Row.,55,,
Son.,55,,
20,55,,
Ph.,54,1,
Anth.,53,1,
32,53,,
Decemb.,53,1,
lieut.,53,1,
Manchester.,52,,
Parliament.,52,,
D[avid].,52,1,
T.P.,52,1,
Retale.,52,,
2,51,,
B[ernard].,51,1,
academicis.,50,,
D[aniel].,50,1,
H[umphrey].,50,1,
B.G.,50,1,
R.D.,50,1,
[S.,50,1,
1s.,49,1,
H.H.,49,1,
M.C.,49,1,
R[oberts].,49,1,
Saur.,49,,
Matth.,48,1,
excudebat.,48,,
13,47,,
Fleetstreet.,47,,
22,47,,
Ant.,47,1,
Robt.,47,1,
E.P.,47,1,
R.R.,47,1,
Green.,47,,
J.A.,47,1,
E[llen].,47,1,
Row.,46,,
Bart.,46,1,
2s.,46,1,
viz.,46,1,
Hall.,46,,
1799,45,,
An.,45,1,
Poultry.,45,,
D.I.,45,1,
A[lice].,45,1,
1642,45,,
T[hompson].,45,1,
Aldersgate.,45,,
Edinburgh.,44,,
9,44,,
an.,44,1,
A.C.,44,1,
A[lsop].,44,1,
H.B.,44,1,
1661,44,,
T.F.,44,1,
T[ace].,44,1,
the.,44,,
18,43,,
Nich.,43,1,
11,43,,
Exchange.,43,,
Ferd.,43,1,
T.J.,43,1,
S[nodham].,43,1,
impressoris.,43,,
28,42,,
Company.,42,,
G.C.,42,1,
37,42,,
[F.,42,1,
72,41,,
Fra.,41,1,
Soc.,41,1,
A.N.,41,1,
6,41,,
B[enjamin].,41,1,
Acad.,41,1,
Boston.,41,,
23,40,,
W.J.,40,1,
E[veringham].,40,1,
York.,39,,
Thom.,39,1,
Bibliop.,39,1,
Geor.,39,1,
Maiestie.,39,,
7,38,,
H.C.,38,1,
O[kes].,38,1,
N[icholas].,38,1,
F[awcet].,38,1,
Ioh.,38,1,
Mc.,37,1,
71,37,,
Ludlow.,37,,
10,37,,
Brown.,37,,
25,37,,
in.,37,,
M[axwell].,37,1,
co.,36,1,
Cheapside.,36,,
Cantab.,36,1,
1660,36,,
F.L.,36,1,
VV[illiam].,36,1,
J.T.,35,1,
Johnson.,35,,
F.C.,35,1,
19,35,,
L[each].,35,1,
Allen.,35,,
R.N.,35,1,
H[all].,35,1,
typographus.,35,,
Ritchie.,34,,
Oxford.,34,,
Bentham.,34,,
Feb.,34,1,
A.W.,34,1,
Georg.,34,1,
R.O.,34,1,
L[egate].,34,1,
N.T.,34,1,
C.D.,33,1,
Octob.,33,1,
29,33,,
bibliop.,33,1,
R[alph].,33,1,
17,32,,
Worcester.,32,,
16,32,,
12,32,,
Guliel.,32,,
Westminster.,32,,
Square.,32,,
104,32,,
d.,32,1,
M.L.,32,1,
B[raddyll].,32,1,
I.L.,32,1,
imp.,32,1,
1796,31,,
Hodson.,31,,
Booksellers.,31,,
Church-yard.,31,,
Yard.,31,,
W.D.,31,1,
J[oseph].,31,1,
L[uke].,31,1,
1685,31,,
K[ingston].,31,1,
L.N.,31,1,
M[illet].,31,1,
privilegio.,31,1,
A[llde].,31,1,
Pine.,30,,
Bensley.,30,,
Eddowes.,30,,
Wright.,30,,
3s.,30,1,
Esq.,30,1,
Typographi.,30,1,
I.H.,30,1,
15,30,,
30,30,,
H[ills].,30,1,
Septemb.,30,1,
A.G.,30,1,
B.A.,30,1,
Ioan.,30,1,
Goodwin.,30,,
46,29,,
Dilly.,29,,
Fleet-street.,29,,
w.,29,1,
D.M.,29,1,
Savoy.,29,,
Y[oung].,29,1,
R.L.,29,1,
W.R.,29,1,
C[reede].,29,1,
Gio.,28,1,
editor.,28,,
Warwick-Lane.,28,,
Steph.,28,1,
A.B.,28,1,
21,28,,
Bibliopol.,28,1,
P[eter].,28,1,
Cornhil.,28,,
W.A.,28,1,
L[ichfield].,28,1,
I.D.,28,1,
Rog.,28,1,
Bath.,27,,
1795,27,,
Alexr.,27,1,
Edwd.,27,1,
T.G.,27,1,
W.S.,27,1,
Clarendoniano.,27,,
Majestie.,27,,
F.K.,27,1,
A[ugustine].,27,1,
S[immes].,27,1,
[G.,27,1,
Tower-Hill.,26,,
Jones.,26,,
Spilsbury.,26,,
Hills.,26,,
Hill.,26,,
Ireland.,26,,
Raikes.,26,,
Old-Street.,26,,
Watts.,26,,
L.C.,26,1,
[A.,26,1,
Lib.,26,1,
H[arper].,26,1,
Melch.,26,1,
W.L.,25,1,
Henr.,25,1,
Kirkby.,25,,
Jan.,25,1,
Theo.,25,1,
1st.,25,1,
Woodfall.,25,,
Royal-Exchange.,25,,
Thos.,25,1,
W[right].,25,1,
Novemb.,25,1,
received.,25,,
Hanover-Square.,25,,
L[eake].,25,1,
T.L.,25,1,
M[athewes].,25,1,
149,25,,
dozen.,25,,
[M.,24,1,
Jackson.,24,,
24,24,,
14,24,,
Paris.,24,,
4d.,24,1,
L[eonard].,24,1,
C[hilde].,24,1,
Printed.,24,1,
[C.,24,1,
Day.,24,,
332,23,,
Soho.,23,,
Spring-gardens.,23,,
Pall-Mall.,23,,
Car.,23,1,
Christ.,23,1,
Creech.,23,,
Jno.,23,1,
White.,23,,
Mris.,23,1,
Hindmarsh.,23,,
Prince.,23,,
L.L.,23,1,
A[nn].,23,1,
L[angley].,23,1,
A.P.,23,1,
J[oshua].,23,1,
[P.,23,1,
38,22,,
Ar.,22,1,
Nourse.,22,,
Nicholson.,22,,
Covent-Garden.,22,,
printers.,22,,
Snow-Hill.,22,,
d'A.,22,1,
Privilegio.,22,,
W.T.,22,1,
W.C.,22,1,
T[yler].,22,1,
E.A.,22,1,
voc.,22,1,
Reg.,22,1,
B[eale].,22,1,
B[adger].,22,1,
R.M.,22,1,
[B.,22,1,
Impress.,22,1,
Davis.,21,,
Fields.,21,,
Anno.,21,1,
Water-side.,21,,
54,21,,
1659,21,,
Bowyer.,21,,
Cooke.,21,,
Phillips.,21,,
Mawman.,21,,
Flesher.,21,,
L[eybourne].,21,1,
E[van].,21,1,
H[olt].,21,1,
M.J.,21,1,
T[hackeray].,21,1,
1798,20,,
40,20,,
MDCCLXVIII.,20,,
Sept.,20,1,
Farley.,20,,
Math.,20,1,
Numb.,20,1,
Lond.,20,1,
C.G.,20,1,
Jas.,20,1,
High-Street.,20,,
by.,20,1,
Cross.,20,,
G.F.,20,1,
G.B.,20,1,
vulg.,20,1,
C[oles].,20,1,
S.I.,20,1,
I.C.,20,1,
Maiest.,20,1,
L[egat].,20,1,
XCII.,20,1,
Dame-Street.,20,,
48,19,,
l'auteur.,19,,
Archdeacon.,19,,
1709,19,,
Adam.,19,1,
Robertson.,19,,
Luckman.,19,,
Jany.,19,1,
Wilson.,19,,
Gray.,19,,
G.J.,19,1,
Gower.,19,,
bibliopol.,19,1,
4s.,19,1,
62,19,,
Tho[mas].,19,1,
N.B.,19,1,
Ludgate.,19,,
I.R.,19,1,
A[stwood].,19,1,
Mich.,19,1,
1688,19,,
acad.,19,1,
A[bigail].,19,1,
F[ield].,19,1,
R[edmayne].,19,1,
M[oses].,19,1,
T[urner].,19,1,
1794,18,,
1719,18,,
Queen-Street.,18,,
Jam.,18,1,
L.B.,18,1,
Charing-Cross.,18,,
47,18,,
Garden.,18,,
London-Bridge.,18,,
S.H.,18,1,
N.R.,18,1,
B[ishop].,18,1,
J.N.,18,1,
27,18,,
P[layford].,18,1,
B[ell].,18,1,
1648,18,,
S.W.,18,1,
H[aly].,18,1,
I[onah].,18,1,
S[tansby].,18,1,
êd.,18,1,
1775,18,,
Register.,18,,
u.,18,1,
Billmeyer.,18,,
Ludgate-Street.,17,,
Elliot.,17,,
Bell.,17,,
Gt.,17,1,
1783,17,,
1791,17,,
printer.,17,,
Baylis.,17,,
and.,17,1,
Crownfield.,17,,
Ro.,17,1,
senr.,17,1,
Br.,17,1,
Baldwin.,17,,
H.P.,17,1,
T.A.,17,1,
M.B.,17,1,
31,17,,
Dublin.,17,,
Arch.,17,1,
H.W.,17,1,
P[aine].,17,1,
R[aworth].,17,1,
T.D.,17,1,
G[reen].,17,1,
Gualt.,17,1,
B[rugis].,17,1,
O[ulton].,17,1,
F[elix].,17,1,
Jonath.,17,1,
I.B.,17,1,
1649,17,,
S.S.,17,1,
Blare.,17,,
F[reeman].,17,1,
P[urfoot].,17,1,
V[alentine].,17,1,
ap.,17,1,
Arn.,17,1,
1793,17,,
Market-Street.,17,,
gross.,17,,
Bond-Street.,16,,
Dickson.,16,,
Worship-Street.,16,,
Robinson.,16,,
Da.,16,1,
office.,16,,
MDCCC.,16,1,
Tracts.,16,,
Rivington.,16,,
Britain.,16,,
Ra.,16,1,
Greville-Street.,16,,
Paul's.,16,,
Church.,16,,
London-bridge.,16,,
Newcomb.,16,,
2d.,16,1,
S[tephen].,16,1,
Snow-hill.,16,,
J[ohnson].,16,1,
H[odgkin].,16,1,
typog.,16,1,
M[armaduke].,16,1,
26,16,,
M.M.,16,1,
1689,16,,
Nic.,16,1,
C[lark].,16,1,
W.I.,16,1,
S.C.,16,1,
Tottelli.,16,,
[f.,16,1,
Union-Street.,16,,
Bookseller.,15,,
Watson.,15,,
Nichols.,15,,
Char.,15,1,
Westminster-Hall.,15,,
Anderson.,15,,
E.B.,15,1,
Gulielm.,15,1,
1784,15,,
Deacon.,15,,
Academicis.,15,,
Steel.,15,,
Junior.,15,,
Bridge.,15,,
Smithfield.,15,,
Fletcher.,15,,
Clarendon-Press.,15,,
Foulis.,15,,
C.C.,15,1,
R.T.,15,1,
Long-Lane.,15,,
Whitehall.,15,,
Taylor.,15,,
MDCCXV.,15,1,
pr.,15,1,
C[rouch].,15,1,
1683,15,,
R.A.,15,1,
S.R.,15,1,
1691,15,,
1686,15,,
1679,15,,
Christoph.,15,1,
1699,15,,
Council.,15,,
I[ones].,15,1,
Palmer.,15,,
MDCCLXXXVIII.,15,1,
1768,15,,
single.,15,,
182,15,,
Bumstead.,15,,
Num.,15,1,
8d.,15,1,
39,14,,
1647,14,,
Norwich.,14,,
1710,14,,
Close.,14,,
Evans.,14,,
MDCCXCI.,14,1,
195,14,,
1704,14,,
Thompson.,14,,
Kath.,14,1,
Sol.,14,1,
Little-Britain.,14,,
street.,14,,
Benja.,14,1,
R.S.,14,1,
Aldermanbury.,14,,
Josh.,14,1,
1717,14,,
MDCCLXXVI.,14,1,
1700,14,,
directs.,14,,
C.B.,14,1,
supplied.,14,,
A[bel].,14,1,
1698,14,,
n.,14,1,
H[orton].,14,1,
1684,14,,
G[regory].,14,1,
H.M.,14,1,
H[unt].,14,1,
ye.,14,1,
C[ollins].,14,1,
1639,14,,
1603,14,,
Domini.,14,1,
57,14,,
85,14,,
Grosvenor-Square.,14,,
33,13,,
1708,13,,
Willm.,13,1,
Office.,13,,
U.,13,1,
Strahan.,13,,
MDCCLXXXVI.,13,1,
Londini.,13,1,
Keymer.,13,,
Matthews.,13,,
Augustins.,13,1,
MM.,13,1,
Thurlbourn.,13,,
March.,13,,
Newbery.,13,,
Richardson.,13,,
M.D.,13,1,
MDCCXCV.,13,1,
1755,13,,
Chapman.,13,,
Paterson.,13,,
Gate.,13,,
1712,13,,
B.B.,13,1,
R.P.,13,1,
J[acob].,13,1,
M[argaret].,13,1,
P.E.,13,1,
G.P.,13,1,
R[awlins].,13,1,
B.M.,13,1,
H.R.,13,1,
Chancery-Lane.,13,,
Brooksby.,13,,
Southwark.,13,,
C.R.,13,1,
S[hort].,13,1,
H[aviland].,13,1,
solum.,13,1,
Seres.,13,1,
off.,13,1,
typ.,13,1,
Univ.,13,1,
Newbury-Port.,13,,
jeune.,12,,
Baker.,12,,
Society.,12,,
Cadell.,12,,
Thorn.,12,,
Belcher.,12,,
132,12,,
Spring-Gardens.,12,,
1747,12,,
Dodsley.,12,,
Jn.,12,1,
Glasgow.,12,,
MDCCXCII.,12,1,
Octr.,12,1,
1713,12,,
1790,12,,
1766,12,,
45,12,,
1753,12,,
XC.,12,1,
M.DCC.XCIV.,12,1,
had.,12,,
Lombard-Street.,12,,
for.,12,1,
Balfour.,12,,
1771,12,,
Barker.,12,,
Whittle.,12,,
Walt.,12,,
MDCCLXV.,12,1,
Capt.,12,1,
1740,12,,
1687,12,,
1748,12,,
MDCCLXXXV.,12,1,
Easton.,12,,
C.W.,12,1,
Ruddimans.,12,,
S.B.,12,1,
[sic].,12,1,
Al.,12,1,
1681,12,,
G.W.,12,1,
Amen-Corner.,12,,
Flesh-Market.,12,,
Timoth.,12,1,
W.E.,12,1,
C.P.,12,1,
market.,12,,
E.H.,12,1,
1696,12,,
I.M.,12,1,
August.,12,1,
G[rover].,12,1,
D[exter].,12,1,
J.K.,12,1,
LL.,12,1,
G[artrude].,12,1,
I.F.,12,1,
E.W.,12,1,
gate.,12,,
R.J.,12,1,
M.H.,12,1,
Clark.,12,,
Ia.,12,1,
L[ing].,12,1,
[s.n.,12,1,
Saml.,12,1,
XCV.,12,1,
Bartholomew-Close.,12,,
Court-House.,12,,
(Pr.,12,1,
Sower.,12,,
Cooper.,11,,
House.,11,,
Grafton-Street.,11,,
Wood.,11,,
1776,11,,
Hazard.,11,,
Parker.,11,,
anno.,11,1,
deceas'd.,11,,
Spitalfields.,11,,
Amsterdam.,11,,
Symonds.,11,,
1744,11,,
MDCCXCIV.,11,1,
65,11,,
M.DCC.LXXV.,11,1,
1653,11,,
MDCCLXXIX.,11,1,
1705,11,,
1774,11,,
1716,11,,
Holbourn.,11,,
1702,11,,
fils.,11,1,
Cox.,11,,
1786,11,,
bookseller.,11,,
H.N.,11,1,
Ludgate-Hill.,11,,
P.B.,11,1,
Ian.,11,1,
H[ugh].,11,1,
I[ames].,11,1,
&.,11,1,
Jr.,11,1,
W[ilson].,11,1,
Ab.,11,1,
S[treater].,11,1,
Edv.,11,1,
G.A.,11,1,
Iohan.,11,1,
V[ere].,11,1,
Clarke.,11,,
E[ld].,11,1,
Berthelet.,11,,
Watkins.,11,,
Clerkenwell.,11,,
Jermyn.,11,,
MDCCLXXV.,11,1,
Kingston-Buildings.,11,,
Lee.,11,,
Bell-Tavern.,11,,
Sil.,10,1,
1727,10,,
34,10,,
Johnston.,10,,
1777,10,,
Hookham.,10,,
[No.,10,1,
Miller.,10,,
MDCCLXII.,10,1,
Chalmers.,10,,
Stevenson.,10,,
Kent.,10,,
1715,10,,
1792,10,,
Davies.,10,,
Jacques.,10,,
Pearson.,10,,
Russell.,10,,
Rackham.,10,,
1682,10,,
Powell.,10,,
Londres.,10,,
1781,10,,
MDCCLXVII.,10,1,
M.W.,10,1,
press.,10,,
Snowhill.,10,,
A.D.,10,1,
Senr.,10,1,
MDCCXIII.,10,1,
Hughs.,10,,
Bill.,10,,
Collins.,10,,
1797,10,,
R.V.,10,1,
Sprange.,10,,
1743,10,,
Ann.,10,1,
Norris.,10,,
Stationers-Hall.,10,,
Fr[ancis].,10,1,
Lincoln's-Inn-Fields.,10,,
1697,10,,
1690,10,,
G.H.,10,1,
R.G.,10,1,
vocat.,10,1,
M.P.,10,1,
R.Y.,10,1,
H[odgkinson].,10,1,
I.W.,10,1,
I[slip].,10,1,
1655,10,,
1643,10,,
L[loyd].,10,1,
A[wnsham].,10,1,
A.R.,10,1,
29th.,10,1,
Pauli.,10,1,
Scoloker.,10,,
Iones.,10,,
grace.,10,,
(R.,10,1,
MDCCXVI.,10,1,
51,10,,
Jaques.,10,,
Typographos.,10,,
Representatives.,10,,
MDCCLXXXIV.,10,1,
Chesnut-Street.,10,,
40s.,10,1,
MDCCLXVI.,9,1,
Tomo.,9,,
Theoph.,9,,
Pote.,9,,
1769,9,,
Bailey.,9,,
Bettenham.,9,,
MDCCLXXII.,9,1,
Paul.,9,,
S.A.,9,1,
MDCCLXXVII.,9,1,
Borough.,9,,
Urie.,9,,
1788,9,,
Waterside.,9,,
1745,9,,
Cheyne.,9,,
Marshall.,9,,
Suffield.,9,,
Dec.,9,1,
Richd.,9,1,
st.,9,1,
shop.,9,,
there.,9,,
Fils.,9,1,
Campbell.,9,,
Printers.,9,,
II.,9,1,
Spence.,9,,
Ruddimannos.,9,,
Inglis.,9,,
1701,9,,
1746,9,,
VI.,9,1,
P.F.,9,1,
veneunt.,9,,
M.DCC.LXXXVIII.,9,1,
50,9,,
Cl.,9,1,
B.H.,9,1,
MDCCLXXXII.,9,1,
Pr.,9,1,
53,9,,
1692,9,,
III.,9,1,
A.H.,9,1,
G.L.,9,1,
esquires.,9,,
M[eighen].,9,1,
G[abriel].,9,1,
E.R.,9,1,
Jon.,9,1,
J[onathan].,9,1,
J.Y.,9,1,
H[ayes].,9,1,
P.L.,9,1,
R.L.S.,9,1,
1674,9,,
H[annah].,9,1,
Barth.,9,1,
1663,9,,
Franc.,9,1,
D[orman].,9,1,
Norton.,9,,
Tom.,9,1,
DC.,9,1,
Vere.,9,,
Daniel.,9,,
C[harlewood].,9,1,
sereniss.,9,1,
Maiestatis.,9,,
Colledge.,9,,
(pret.,9,1,
MDCCXCVII.,9,1,
9d.,9,1,
Smellie.,9,,
1760,9,,
Clerkenwell-Close.,9,,
MDCCXXIII.,9,1,
Zweyten-Strasse.,9,,
Albany.,9,,
Streets.,9,,
Königs-Strasse.,9,,
Second-Street.,9,,
(P.,8,1,
Margt.,8,1,
Ward.,8,,
MDCCXVIII.,8,1,
Moorfields.,8,,
Bristol.,8,,
Sr.,8,1,
1763,8,,
junior.,8,,
Drury-Lane.,8,,
43,8,,
Saint-Jacques.,8,,
MDCCXIV.,8,1,
Horse-Fair.,8,,
1780,8,,
Stockdale.,8,,
1770,8,,
1785,8,,
1567,8,,
Longman.,8,,
Court.,8,,
Nov.,8,1,
1758,8,,
Lichfield.,8,,
Novr.,8,1,
Is.,8,1,
Elmsly.,8,,
MDCCLVII.,8,1,
Hodges.,8,,
Mall.,8,,
comp.,8,1,
Wilkins.,8,,
1725,8,,
1751,8,,
Sar.,8,1,
M.DCC.LXVIII.,8,1,
print.,8,,
A.L.,8,1,
c.,8,1,
1650,8,,
Paramore.,8,,
Edinr.,8,1,
West.,8,,
MDCCLXXXVII.,8,1,
James's.,8,,
1787,8,,
1742,8,,
Newcastle.,8,,
May.,8,1,
Martin.,8,,
Hatton-Garden.,8,,
E.E.,8,1,
Castle-Street.,8,,
S.D.,8,1,
Guiliel.,8,,
1693,8,,
M.G.,8,1,
typograph.,8,,
S[peed].,8,1,
J.O.,8,1,
1675,8,,
Typog.,8,1,
Cotes.,8,,
F.N.,8,1,
Londin.,8,1,
1676,8,,
1666,8,,
R.F.,8,1,
Coles.,8,,
autoris.,8,1,
B[urton].,8,1,
LXXXVII.,8,1,
Val.,8,1,
vi.,8,1,
Scotland.,8,,
Paules.,8,,
Y.,8,1,
P[arsons].,8,1,
Heigham.,8,,
Redman.,8,,
1640,8,,
1621,8,,
Old-Bailey.,8,,
Charity.,8,,
Sons.,8,,
M.DCC.XCIII.,8,1,
70,8,,
M.DCC.LXXIII.,8,1,
Fil.,8,1,
Printing-Office.,8,,
MDCCXXVI.,8,1,
Library.,8,,
1752,8,,
MDCCLXXXIII.,8,1,
Levi.,8,,
dols.,8,1,
Third-Street.,8,,
Fleet.,8,,
Newbury-Street.,8,,
Moräviän-Ally.,8,,
Sellers--no.,8,,
Stoddard.,8,,
1778,7,,
M'lean.,7,,
Leadenhall-Street.,7,,
Hatchard.,7,,
1706,7,,
Capel-Street.,7,,
Macfarquhar.,7,,
LXXXVIII.,7,1,
Fisher.,7,,
1714,7,,
MDCCXC.,7,,
Decker.,7,,
Millar.,7,,
77,7,,
Poultrey.,7,,
1779,7,,
MDCCIII.,7,1,
Mes.,7,1,
MDCCXL.,7,1,
1720,7,,
Cor.,7,1,
M.DCC.LXIX.,7,1,
Duchesne.,7,,
-J.,7,1,
M.DCC.LXXXIX.,7,1,
Tottell.,7,,
4th.,7,1,
Cork-Hill.,7,,
Bern.,7,1,
Sanders.,7,,
Dean.,7,,
MDCCIX.,7,1,
Cary.,7,,
Hurst.,7,,
C.S.,7,1,
Rt.,7,1,
73,7,,
1789,7,,
MDCCXLV.,7,1,
Leeds.,7,,
Gil.,7,1,
Wotherspoon.,7,,
MDCCLXXI.,7,1,
Jacob.,7,1,
Londn.,7,1,
Pennington.,7,,
MDCCLXXVIII.,7,1,
1730,7,,
ann.,7,1,
Roberts.,7,,
1703,7,,
Marsh.,7,,
1711,7,,
N.L.,7,1,
1646,7,,
Rose.,7,,
Gill.,7,,
L.J.,7,1,
libraires.,7,,
1726,7,,
M.DCC.XL.,7,1,
Faden.,7,,
41,7,,
Seven-Dials.,7,,
stationer.,7,,
Road.,7,,
Pater-noster-Row.,7,,
A[ustin].,7,,
J[ane].,7,,
C[ornelius].,7,,
C[room].,7,,
C[hristopher].,7,,
J[eremiah].,7,,
printing-office.,7,,
Keble.,7,,
1677,7,,
I.G.,7,1,
Temple-Change.,7,,
M[axey].,7,1,
order.,7,,
F.S.,7,1,
Pauls.,7,1,
typogr.,7,1,
D[owning].,7,1,
G[iles].,7,1,
typographum.,7,,
1641,7,,
C[urtis].,7,1,
1694,7,,
T[onson].,7,1,
B[ruce].,7,1,
B[attersby].,7,1,
I.O.,7,1,
R[obinson].,7,1,
e.,7,1,
E.F.,7,1,
Edvv.,7,1,
R.VV.,7,1,
M.I.,7,1,
1678,7,,
Febr.,7,1,
1695,7,,
G[rove].,7,1,
E.S.,7,1,
17th.,7,1,
excus.,7,1,
Skinnerrow.,7,,
Majest.,7,1,
sonne.,7,,
Bynneman.,7,,
Do.,7,1,
viii.,7,1,
Rabanus.,7,,
[I.,7,1,
impres.,7,1,
Oswen.,7,,
Tottel.,7,,
1611,7,,
Worde.,7,,
1601,7,,
Robertes.,7,,
Christ-Church.,7,,
Wine-Street.,7,,
MDCCLXIII.,7,1,
pictures.,7,,
MDCCLXIX.,7,1,
MDCCLX.,7,1,
DCC.,7,1,
Morris.,7,,
XCI.,7,1,
LXXXII.,7,1,
MDCCLXXIV.,7,1,
Newgate-Street.,7,,
MDCCLIV.,7,1,
67,7,,
(H.,7,1,
M.DCC.LXXXVII.,7,1,
116,7,,
Marlborough-Street.,7,,
B.F.,7,1,
town-house.,7,,
Main-Street.,7,,
State-Street.,7,,
cheap.,7,,
London--printed.,7,,
MDCCLVI.,6,1,
Tavern.,6,,
MDCCXLIX.,6,1,
Chelmsford.,6,,
....,6,,
166,6,,
law-printers.,6,,
MDCCXCVIII.,6,1,
55,6,,
Wynd.,6,,
Abr.,6,1,
Minories.,6,,
MDCCXLVI.,6,1,
