"","x"
"31","printed by J. Paramore, at the Foundry, Moorfields: and sold at the New Chapel, City-Road; and at the Rev. Mr. Wesley's preaching-houses in town and country"
"32","printed and sold at the New-Chapel, City-Road; and at the Rev. Mr. Wesley's preaching-houses in town and country"
"33","printed and sold at the New Chapel, City-Road; and at the Rev. Mr. Wesley's preaching-houses in town and country"
"34","Printed by J. Paramore; and sold at the new chapel, City-Road; and at the Rev. Mr. Wesley's Preaching-Houses in town and country"
"35","printed by Mr. James Davidson and Company, and sold at the said Mr. James Davidson's shop, and other booksellers in town, 1727. And re-printed"
"36","printed for William Guess, near Temple-Bar, and sold at the pamphlet-shops"
"37","printed by John Grabham, in Narrow-Wine-Street; and sold at the New Room, in the Horse-Fair; and at the Foundry, near Upper-Moor-Fields, London"
"38","printed by J. Paramore, at the Foundry, Moorfields: and sold at the New Chapel, City-Road; and at the Rev. Mr. Wesley's preaching-houses in town and country"
"39","Printed for J. Millan, at Lock's Head in New-street, between Marybone-street and Piccadilly; and sold at his shop near Whiteball"
"40","printed for J. Millan; and sold at his shop"
"41","sold at the Edinburgh Lying-in Hospital, for the benefit of that charity"
"42","printed by J. M'Kenzie and Son, Booksellers and Stationers, High-Street; and sold at Mr. G. Dyer's Library, Fore-Street; also, by Mr. W. Richardson, London"
"43","printed by R. Hawes, and sold at the Foundry in Moorfields; and at the Rev. Mr. Wesley's preaching-houses, in town and country"
"44","printed by J. Paramore, at the Foundry, Moorfields: and sold at the new chapel, City-Road; and at the Rev. Mr. Wesley's preaching-houses in town and country"
"45","printed for John Rice, College-Green, and sold at his shops in Philadelphia, Baltimore, and Charles-Town, North America"
"46","printed for the author; and sold at the Lecture-Room, No. 2, Beaufort-Buildings, Strand; and by D. I. Eaton, No. 74, Newgate-Street"
"47","Printed and sold at the printing-office in Bow-church-yard, London"
"48","Printed and sold at the printing-office in Bow-church-yard, London"
"49","printed by S. Powell, and sold at Mr. Verney's, by Mrs. Crump, and Mr. Watts"
"50","Printed by Thomas Lumisden and John Robertson, and sold at their Printing-house in the Fish-market"
"51","sold at H. Fenwick's wholesale book warehouse, Snow Hill"
"52","printed for G. Whitfield, New-Chapel, City-Road; and sold at the Methodist preaching-houses, in town and country"
"53","printed by A. Weir and A. M'lean. Sold at the shop of Alex. Weir, near the Cross"
"54","Dublin printed: London reprinted, and sold at the pamphlet shops in London and Westminster"
"55","printed for Alexander Donaldson. And sold at his shop, London; and at Edinburgh"
"56","Printed and sold at the office of G. Nicholson, No. 9, Spring-gardens. Sold also by T. Knott, No. 47, Lombard-street; and Champante and Whitrow, Jewry-street, London"
"57","printed by R. Fleming and Company, and sold at the shop of Messieurs Davidson and Trail, in the Parliament-Close"
"58","printed by J. Paramore, at the Foundry, Moorfields: and sold at the New Chapel, City-Road; and at the Rev. Mr. Wesley's preaching-houses in town and country"
"59","printed by R. Hawes, and sold at the Foundry, in Moorfields, and at the Rev. Mr. Wesley's preaching houses in town and country"
"60","Printed and sold at the printing-office in Bow Church-yard, London"
"61","printed and sold at Sympson's Warehouse"
"62","printed by J. P. and sold at most booksellers and pamphlet-shops in town"
"63","printed by R. Hawes, and sold at the Foundry in Moorfields; and at the Rev. Mr. Wesley's preaching-houses, in town and country"
"64","printed and sold at the New Chapel, City-Road; and at the Rev. Mr. Wesley's preaching-houses, in town and country"
"65","printed for G. Whitfield, City-Road, and sold at the Methodist preaching-houses in town and country"
"66","printed for A. Donaldson, and sold at his shop corner of Arundel-Street, in the Strand, London; and at Edinburgh"
"67","printed for the editor, and sold at (No.15) Parliament-Street [by Thomas Byrne]"
"68","printed, and sold at the booksellers shops"
"69","printed for J. Roberts, near the Oxford-Arms in Warwick-Lane; and sold at the pamphlet-shops in Westminster-Hall, at Temple-Bar, and the Royal-Exchange"
"70","Printed and sold at the printing-office in Bow-church-yard, London"
"71","sold at their chapel in Margaret-Street near Oxford Market, and at Mr. Dilly's in the Poultry"
"72","printed by T. Gillet; and sold at Surry Chapel: also by T. Chapman; J. Matthews; Mr. Ogle; Mr. Piner; and Mr. Wilkinson; Mr. Ogle and Mr. Guthrie, Edinburgh; and Mr. Ogle, Glasgow"
"73","printed, for the benefit of Elizabeth Canning, and sold at all the booksellers and pamphlet-shops in London and Westminster"
"74","printed by William and Cluer Dicey; and sold at their printing-office in Northampton"
"75","Printed for the author, and sold at his music-shop at the Harp and Hautboy, High-Street, Edinburgh"
"76","Printed and sold at the printing-office in Bow Church yard, London"
"77","Printed by Thomas Lumisden and John Robertson, and sold at their Printing-house in the Fish-market, and by most book-sellers both in town and country"
"78","printed and sold at the Opera-Office in the Hay-Market"
"79","Sold at the Infirmary at twelve, at the College-Gate at one o'clock afternoon, and no where else"
"80","sold at the King's Theatre in the Hay-Market"
"81","Printed by R. Napper, 29, Capel-Street; and sold at the Methodist Preaching-Houses in town and country"
"82","Printed and sold at the printing office in Stonecutter Fleet market"
"83","printed by T. Lumisden and Company: sold at their Printing-house in the Fish-market"
"84","printed by Felix Farley; and sold at the School-Room in the Horse-Fair: also by T. Trye, near Gray's-Inn Gate, Holborn; and at the Foundery near Upper-Moor-Fields, London"
"85","printed by John Grabham, in Narrow-Wine-Street; and sold at the New Room, in the Horse-Fair; and at the Foundry, near Upper-Moor-Fields, London"
"86","Printed and sold at the printing-office, in Bow-church-yard, London"
"87","printed for Alexander Donaldson. Sold at his shop, No. 48, St. Paul's Church-Yard, London; and at Edinburgh"
"88","printed by A. Weir and A. M'lean. Sold at the shop of A. Weir, near the Crose"
"89","printed for the author, by W. Chalklen; and sold at No. 49, Gracechurch-Street; and E. and T. Williams, No. 133, Strand"
"90","Re-printed, and sold at the Old Post-Office Coffee House in Fishamble-street"
"91","printed for Alex. Donaldson, and sold at his shop (no. 195.) in the Strand, London; and at Edinburgh"
"92","printed for A. Freeman in Fleet-Street: and sold at all the pamphlet-shops"
"93","printed for John Rice, and sold at his shops in Philadelphia, Baltimore and Charles-town, North America"
"94","printed for H. Jefferys, in Mercer's-Chaple, Cheapside, and sold at the Royal Exchange"
"95","Printed [by W. and C. Dicey] and sold at the printing-office in Bow-Church-Yard, London"
"96","printed by Auld and Smellie; and sold at their printing-house, Morocco's close, Lawn-Market; and at the shop of John Balfour, Bookseller"
"97","printed by James Blow, and are to be sold at his shop"
"98","Printed and sold at the printing-office in Bow-Church-Yard, London"
"99","Printed and sold at the printing-office in Bow-Church-Yard, London"
"100","Printed and sold at the printing-office in Bow-Church-Yard, London"
"101","printed for T. Salisbury; and sold at No 293, Oxford-Road, and under the Piazza, Covent-Garden; and all the booksellers in town and country"
"102","printed by James Duncan, and sold at his shop, opposite the Main Guard, Trongate"
"103","printed for Alexander Donaldson; and sold at his shop, No. 48, East Corner of St. Paul's Church-Yard, London; and at Edinburgh"
"104","Printed and sold at the printing-office in Bow-church-yard, London"
"105","printed and sold at the Bible in George-Yard, Lombard-Street"
"106","Sold at no. 3. Moors-court-catharine, Wheel alley [sic], White chapel"
"107","Printed and sold at the printing-office in Bow church-yard, London"
"108","printed for A. Moore, and sold at the White-Hart, next E. Lynn's, Whip-Maker, over-against Devereux-Court, without Temple-Bar"
"109","printed by J. Paramore, at the Foundry, Moorfields: and sold at the Rev. Mr. Wesley's chapel, in the City Road, and at all his preaching-houses in town and country"
"110","printed by J. Fry and Co. and sold at the Foundry, near Upper-Moorfields"
"111","Printed by R. Hawes, and sold at the Foundry in Moorfields; and at the Rev. Mr. Wesley's Preaching-Houses, in town and country"
"112","printed by R. Hawes in Dorset-Street, Spitalfields; and sold at the New-Chapel, City-Road; and at the Rev. Mr. Wesley's preaching-houses, in town and country"
"113","printed by W. Cheyne, and sold at most booksellers shops in town"
"114","Printed and sold at the printing-office in Bow-Church-Yard, London"
"115","printed for the author, and sold at the Bluecoat-Boy; at Mrs. Ashburn's China-Shop; at the Leg and Dial; at the Prince of Wales's Arms; at Mr. Trye's; and by the booksellers in town and country"
"116","printed for the author, and sold at Mrs. Wharton's Toy-Shop, the Bluecoat-Boy: at Mrs. Ashburn's China-Shop; at Mrs. Condall's Toy-Shop; at the Prince of Wales's Arms; at Mr. Trye's; and at all the booksellers in town and country"
"117","printed, and sold at Mrs. Ashburn's China-Shop, the Corner of Fleet-Ditch; at the Bluecoat-Boy, near the Royal-Exchange; at the Prince of Wales's Arms, in Tavistock-Street, Covent-Garden; by W. Innys, in Pater-Noster Row; J. Hodges, on London-Bridge; T. Trye, near Gray's-Inn-Gate, Holborn; B. Dod, in Ave-Mary-Lane; J. Brotherton, in Cornhill; and by the booksellers in town and country, M.DCC.LV. - This Book is publish'd with His Majesty's Royal Licence; and whoever prints it, or any Part of it, will be prosecuted"
"118","Printed and sold at the printing-office in Bow-church-yard, London"
"119","printed for Alexander Donaldson; and sold at his shop, No. 48. St. Paul's Church-Yard, London; and at Edinburgh"
"120","printed for T. Wood, and are to be sold at the King's Theatre in the Hay-Market"
"121","printed by H. Cock, and sold at the Foundery, near Upper-Moorfields; by T. Trye; and G. Englefield"
"122","printed by J. Grabham and W. Pine in Wine-Street; and sold at the New-Room in the Horse-Fair; and at the Foundery, near Upper-Moor-Fields, London"
"123","re-printed by Mr. Robert Freebairn, and sold at his shop in the Parliament-Closs"
"124","London printed, and reprinted in Dublin, by and for Sam. Fairbrother, Bookseller, and are to sold at his Shop at the King's-Arms in Skinner-Row, opposite to the Tholsel"
"125","printed for Thomas Payne in Castle-Street, next the Meuse-Gate, near Charing-Cross; and Sold at the Booksellers and Pamphlet-Shops in London and Westminster"
"126","printed for Benj. Tooke: and are to be sold at John Paton's shop in the Parliament-Closs"
"127","printed by William Duncan, and sold at his shop"
"128","Printed and sold at the printing-office in Bow-Church-Yard. London"
"129","printed by James Knox, and sold at his shop near the head of the Salt-Mercat"
"130","printed by R. Hawes, and sold at the New-Chapel , City-Road ; and at the Rev. Mr. Wesley's preaching-houses, in Town and Country"
"131","Printed and sold at the printing-office in Bow-Church-Yard, London"
"132","Printed and sold at the printing-office, in Bow Church-yard London"
"133","Printed and sold at the printing-office in Bow-Church-Yard, London"
"134","Printed [by W. and C. Dicey] and sold at the printing-office in Bow Church-yard, London"
"135","printed for J. Buckland, at the Buck in Pater-Noster-Row, and sold at the pamphlet shops at the Royal Exchange, Temple-Bar, and Charing-Cross"
"136","printed by Robert Brown, and are to be sold at Mr. John Macky's shop in the Parliament Closs"
"137","printed by R. Hawes, and sold at the Foundery in Moorfields; and at the Rev. Mr. Wesley's preaching-houses, in Town and Country"
"138","Printed by J. Paramore, and sold at the New Chapel, City-Road; and at the Rev. Mr. Wesley's Preaching-Houses in town and country"
"139","printed by R. Hawes, and sold at the New-Chapel , City-Road ; and at the Rev. Mr. Wesley's preaching-houses, in Town and Country"
"140","printed for A. Moore , near St. Paul's ; and sold at the pamphlet-shops of London and Westminster"
"141","Printed and sold at the printing-office in Bow-Church-Yard, London"
"142","printed and sold by S. Farley, in Castle-Green; also sold at No.6, in Redcross-street; and to be had of all the booksellers in Great-Britain and Ireland"
"143","printed by J. Watts, and sold at the corner of Sycomore-Alley, in Dames-Street"
"144","printed by R. Edwards; and sold at the Methodist chapels"
"145","printed and sold at the printing-office in Stone-Cutter-Street, Fleet-Market"
"146","Printed and sold at No. 41, Long-Lane"
"147","printed by J. Davenport, No. 7, Little Catherine Street, Strand; and sold at No. 70, Turnmill Street, Clerkenwell"
"148","printed by W. Strahan; and sold at the Tabernacle , near Moor-Fields ; by G. Keith , in Gracechurch Street ; Thomas Field , near St. Paul's Church-Yard ; and E. Dilly, in the Poultry"
"149","Printed and sold at the printing-office in Bow-Church-Yard, London"
"150","printed for J. Robinson; and sold at the Tabernacle, and by Mr. John Sims, Hoxton"
"151","printed for [Samuel Bunchley], and sold at the publishing-office, in Dove-Court, near Bearbinder-Lane"
"152","printed by H. Woodfall , in Paternoster-Row ; and sold at the Theatre-Royal in Covent-Garden"
"153","printed by Wm. Dicey, and sold at Mr. Burnham's snuff-shop, and by Mathias Dagnell Bookseller in Aylesbury; Paul Stevens in Bicester; William Ratten Bookseller in Coventry; Caleb Ratten Bookseller in Harborough; Thomas Williams in Tring; Anthony Thorpe in St. Albans; William Peachey near St. Bennet's Church in Cambridge; Mary Timbs in Newport-Pagnell; John Timbs in Stony-Stratford; Jeremiah Roe in Derby; John Hirst in Leeds; Thomas Gent in York; John White Printer in Newcastle upon Tyne; and by Churrude Brady in St. Ives, At all which Places Chapmen and Travellers may be furnish'd with the best Sorts of Old and New Ballads Broadsheets &c"
"154","printed for M. Smith , and sold at No. 46, Fleet-Street; by all the Booksellers in Piccadilly, Pater-Noster Row, and the Royal Exchange ; it may also be had of the booksellers at Oxford, Cambridge, and Bath"
"155","printed for T. Cooper at the Globe in Pater-Noster Row, and sold at the pamphlet shops of London and Westminster"
"156","printed by T. Gardner, and sold at his printing-office, at Cowley's-Head, opposite St. Clement's-Church in the Strand"
"157","[printed by Will. Sleater, The Books of the Burletta are sold at the Theatre in Smock-Alley"
"158","printed by R. Hawes, and sold at the Foundery in Moorfields; and at the Rev. Mr. Wesley's preaching-houses, in town and country"
"159","printed by John Grabham; and sold at the New Room in the Horse-Fair; and at the Foundery, near Upper-Moor-Fields, London"
"160","Printed by John Bryce, and are to be sold at his Printing-House in the Bridge-gate"
"161","printed by R. Hawes, and sold at the New Chapel in the City-Road, and at the Rev. Mr. Wesley's preaching-houses in town and country"
"162","printed by J. Paramore , at the Foundry, Upper Moorfields : and sold at the New Chapel, City-Road; and at the Rev. Mr. Wesley's preaching-houses in town and country"
"163","printed by A. Weir and A. M'Lean. Sold at the shop of Alex. Weir"
"164","printed for Couch and Lakin; and sold at No. 55, Fleet-Street; and at the Royal-Exchange"
"165","re-printed by George Mosman, and are to be sold at his Shop in the Parliament-Closs"
"166","printed by A. Donaldson, and sold at his shop, No. 48, East corner of St. Paul's Church yard, London; and at Edinburgh"
"167","printed for A. Donaldson, and sold at his shops in London and Edinburgh"
"168","printed for the author, and sold at his house; as likewise by Messieurs Prevost, Du-Noyer, Willock, Brindley, Nourse, and Roycarol"
"169","printed by Henry Galbraith and Company, and to be sold at their printing-office, and by the booksellers"
"170","London: printed. Dublin: re-printed by Francis Dickson, and sold at the Four-Courts Coffee-House in Wine-Tavern-Street"
"171","printed by T. Lumisden and J. Robertson, and sold at their printing-house in the Fish-Market"
"172","Printed and sold at No. 4. Aldermary Church Yard"
"173","printed by John Bryce; and sold at his shop opposite Gibson's-Wynd, Saltmarket"
"174","printed by John Ritchie. Sold at the Society's library"
"175","printed by T. Maccleish & Co: sold at their office; by J. Ogle, J. Guthrie, and G. Panton; P. Lyle, Dalkeith; E. Leslie, Dundee; M. Ogle, Glasgow; G. Charles, Hamilton; and J. Palmer, Kelso"
"176","printed for J. Perry; and sold at the pamphlet shops in Fleet-Street, Royal Exchange and Charing-Cross"
"177","re-printed by William Adams junior, and sold at the sign of the printing-press in the Parliament Close. Anno Dom"
"178","printed for G. Keith , at the Bible in Grace-Church-Street ; J. Oswald , in the 'poultry ; and sold at the Tabernacle-House, near Moorfields"
"179","London printed, and Edinburgh, re-printed by Alexander Alison and John Trail, and sold at his shop in the Parliament-Closs"
"180","Printed for the author, and are to be sold at Mr. Robinson's, a looking-glass shop, over against Serjeants-Inn, Fleetstreet"
"181","printed for the author, and are to be sold at Mr. Robinson's"
"182","printed by J. Paramore: and sold at the New Chapel; and at the Rev. Mr. Wesley's preaching-houses, in town and country"
"183","printed by G. Whitfield, City-Road, and sold at all the Methodist preaching-houses in town and country"
"184","Printed by Henry Cock; and sold at the Foundery in Upper Moor-fields, and in the Horse-fair, Bristol"
"185","printed by William Pine , in Wine-Street ; and sold at the New Room, in the Horse-Fair; and at the Foundery, near Upper Moor-Fields, London"
"186","printed by R. Hawes, and sold at the Foundry, in Moorfields, and at the Rev. Mr. Wesley's preaching-houses in town and country"
"187","printed by S. Powell, and sold at Mr. Verney's, by Mrs. Crump, and Mr. Watts"
"188","printed by J. Paramore , at the Foundry, Moorfields : and sold at the New Chapel , City-Road ; and at the Rev. Mr. Wesley's preaching-houses in town and country"
"189","printed by J. Paramore , at the Foundry, Moorfields : and sold at the New Chapel , City-Road ; and at the Rev. Mr. Wesley's preaching-houses in town and country"
"190","printed by Felix Farley; and sold at the School-Room in the Horse-Fair. Also by T. Trye , near Gray's-Inn Gate, Holborn. Hen. Butler , in Bow Church-Yard ; and at the Foundry near Upper-Moor-Fields, London"
"191","printed by R. Hawes, and sold at the New-Chapel , City-Road ; and at the Rev. Mr. Wesley's preaching-houses, in town and country"
"192","printed by J. Paramore , at the Foundery, Moorfields : and sold at the New Chapel , in the City-Road ; and at the Rev. Mr. Wesley's preaching-houses in town and country"
"193","printed by R. Hawes, and sold at the Foundry; and at the Rev. Mr. Wesley's preaching-houses, in town and country"
"194","printed by R. Hawes, and sold at the New Chapel in the City-Road, and at the Rev. Mr. Wesley's preaching-houses in town and country"
"195","printed by S. Powell, and sold at Mr. Verney's in Little Ship-Street, by Mrs. Crump in Marlborough-Street, opposite to the Society-House, and Mr. Watts in Park-Street, near the Comb"
"196","printed by Robert Hawes , the Corner of Dorset-Street, Crispin-Street, Spitalfields. And sold at the Foundry, Moorfields"
"197","Printed by J. Fry and Co. and sold at the Foundry, near Upper Moorfields"
"198","Printed for John Briggs merchant, and sold at his shop in the Lucken-booths"
"199","Printed for C. Elliot, Edinburgh; and sold at Glasgow by Dunlop and Wilson, and at Stirling by W. Anderson"
"200","printed by John Bryce, and sold at his shop"
"201","Printed by John Bryce, and are to be sold at his Shop in the Salt-mercat"
"202","printed for J. Robinson, at the Golden-Lion in Ludgate-Street; and sold at the pamphlet-shops in London and Westminster"
"203","printed for the author, and sold at his house, two Doors below Crane-Court, Fleet-Street"
"204","Printed by Robert and Thomas Duncan, and sold at their Shop, Pope's Head, Salt-Market"
"205","Printed and sold at the printing-office in Bow church yard, London"
"206","Printed and sold at the printing-office in Bow-church-yard, London"
"207","Printed for Alexander Donaldson: and sold at his Shop (No. 48.) in St. Paul's Church-yard, London; and at Edinburgh"
"208","printed and sold at Laidler's Office"
"209","printed for the author, and sold at his house between Chancery Lane and Temple Bar ; J. Murray , Fleet-Street ; J. Bew , Paternoster-Row ; and L. Davis, Holborn"
"210","printed for the author; and to be sold at most booksellers, and pamphlet shops in town"
"211","printed for Richard Chandler, and sold at the Ship without Temple-Bar, and at York and Scarborough"
"212","printed by James Blow, and are to be sold at his shop"
"213","In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edw. Sayer, Esq;) for C. Ward and R. Chandler, and sold at their shop at Scarborough"
"214","printed by J. Mennons, and sold at his shop, and by all the booksellers"
"215","printed by A. Donaldson, and sold at his shops in London and Edinburgh"
"216","printed for the author, and sold at his house, No. 1, Newgate Street"
"217","printed for J. Nicolson in the Old-Baily ; and sold at all the pamphlet-shops in London and Westminster; and by the news-sellers"
"218","Printed by James Knox, and sold at his shop near the head of the Salt-mercat"
"219","Printed by Joseph Galbraith, and to be sold at his Printing House in Paul's Closs above the Cross, and by the booksellers in town and country"
"220","Printed for Thomas Robins, in Fleetstreet, and sold at the Royal Exchange, St. James's, Bond-Street, and Charing-Cross"
"221","printed by John Gray and Gavin Alston. Sold at their printing-house"
"222","printed by R. Hawes, and sold at the New-Chapel, City-Road; and at the Rev. Mr. Wesley's preaching-houses, in town and country"
"223","printed by J. Paramore and sold at the New Chapel, City-Road; and at the Rev. Mr. Wesley's praching houses in town and country"
"224","published December 4th, 1790, by William Holland. Sold at Phillip's Caricature-Room, Leicester"
"225","printed by William Duncan sen. and sold at his shop"
"226","Printed for the author, and are to be sold at Mr. Robinson's, a Looking-Glass Shop, over against Serjeants-Inn, Fleetstreet"
"227","printed for, and by John Galbraith, and sold at his printing office"
"228","printed for the booksellers of all nations, and sold at the Bible and Sun in St. Paul's Church-Yard [by J. Newbery]"
"229","printed by James Watson, and sold at his shop, next door to the Red-Lion, opposite to the Lucken-Booths"
"230","Printed and sold at the printing-office in Bow church yard"
"231","printed by J. Belcher. 1795. Sold at the Methodist chapels"
"232","printed by S. Powell, and sold at Mr. Verney's in Little Ship-Street, by Mrs. Crump in Marlborough-Street, opposite to the Society-House, and Mr. Watts in Park-Street, near the Camb"
"233","Printed by John Bryce, and sold at his Shop, opposite to the New-Church; Salt-Market"
"234","Printed by J. Belcher. 1795. Sold at the Methodist Chapel"
"235","printed for S. Bladon, No. 16, Paternoster Row, and sold at the west end of the town"
"236","Printed; and sold at the Foundery, near Upper-Moorfields"
"237","printed and sold at the New Chapel, City-Road; and at the Rev. Mr. Wesley's preaching-houses, in town and country"
"238","printed by Auld, and Smellie, and sold at their printing house, Morocco's Close. Lawn-Market"
"239","printed for the booksellers of Europe, Asia, Africa and America, [and John Newbery] and sold at the Bible and Sun in St. Paul's Church-yard"
"240","printed by T. Robson and Comp. And sold at their printing-office on the side; the booksellers in town and country; and the distributors of the Newcastle journal"
"241","printed for the author. Sold at the shop of A. Donaldson; and at No. 48, St. Paul's Church-yard, London"
"242","printed and sold at Drury's office, opposite the Bank"
"243","printed for the author. And sold at the corner of Lovat's Court, in Pater-Noster-Row; at Seymour's Library, in Thread-needle-Street; and at all the pamphlet-shops"
"244","printed for, and published by the author. And sold at his house"
"245","Printed by the heirs and successors of Andrew Anderson; and to be sold at the shop of John Vallange bookseller in Edinburgh, anno Dom"
"246","Printed and sold at the printing-office in Bow-Church-Yard, London"
"247","printed for C. Welch in Chelsea, and sold at the Printing-Office in Baldwin's-Gardens"
"248","Printed by A. Donaldson, and sold at his Shop, corner of Arundel-Street, Strand, London; and at Edinburgh"
"249","printed and sold at the New-Chapel, City-Road; and at the Rev. Mr. Wesley's preaching-houses in town and country"
"250","Printed and sold at the printing-office in Bow-church yard, London"
"251","London printed, and Edinburgh re-printed by John Reid, to be sold at the shop below the Caledonia Coffee-House"
"252","Printed and sold at the printing-office in Bow-church-yard, London"
"253","printed: and sold at the Tabernacle, near Upper-Moor-Fields. M DCC LII. Reprinted for, and sold by, G. Terry; J. Murry [sic, for Murray]; and J. Murgatroyd"
"254","Printed and sold at the printing-office in Bow-church-yard, London"
"255","Printed and sold at the printing-office in Bow church-yard, London"
"256","printed by J. Paramore: and sold at the New Chapel, City-Road; and at the Rev. Mr. Wesley's preaching-houses in town and country"
"257","sold at the Edinburgh Lying-in Hospital, for the benefit of that charity"
"258","printed and sold at the printing-office, in Stonecutter-Street, near the Fleet-Market"
"259","Printed and sold at the pinting-office [sic] in Bow-church-yard, London"
"260","printed for Ward and Chandler , at the Ship, next the Rose Tavern, without Temple Bar ; and sold at their shop in Scarborough"
"261","Printed and sold at the printing-office in Bow-church-yard. London"
"262","printed for J. Roberts in Warwick-Lane, and sold at the Pamphlet shops of London and Westminster"
"263","printed and sold at the Printing-Office in the High-Street, Wolverhampton"
"264","Printed and sold at the printing-office, in Bow-church-yard, London"
"265","Printed and sold at the printing-office in Bow-church-yard, London"
"266","printed by T. Lumisden and J. Robertson, and sold at their printing-house in the Fish-Market"
"267","sold at the Foundery, near Upper-Moorfields"
"268","printed by J. M'euen and Company, and are to be sold at his shop, on the North-Side of the Street, opposite to the Cross-Well"
"269","London printed: and Dublin re-printed for the author, and sold at the New Room, and by G. Faulkner"
"270","printed by William Pine. And sold at the New-Room, in the Horse-Fair, and by J. Palmer , in Wine-Street ; and in London, at the Foundery, near Upper-Moor-Fields"
"271","Printed and sold at the printing-office in Bow church-yard, London"
"272","sold at Mr. Dodsley's, Pall-Mall; Mr. Davis's and Mr. Almon's, in Piccadilly; Mr. Hall's, in Gerrard-Street, Soho; Mr. Hutchinson's, in Piccadilly ; Mr. Bingley's, Newgate-Street; Mr. Williams's, Fleet-street; Mr Anderson's. St. Paul's Church yard; Messrs Richardson and Urquhart, Royal Exchange; the booksellers about Charing Cross and Westminster-Hall, and most pamphlet shops in town"
"273","printed, and sold at the Royal Exchange, Temple-Bar, Charing-Cross, and all the pamphlet-shops of London and Westminster"
"274","printed, and sold at all the pamphlet-shops"
"275","printed for, and sold at the shop of John Gillies"
"276","printed for J. Blunt, and Sold at the Pamphlet-Shops of London and Westminster"
"277","printed and sold at the New Chapel, City-Road; and at the Rev. Mr. Wesley's preaching-houses, in town and country"
"278","printed and sold at the New-Chapel, City-Road; and at the Rev. Mr. Wesley's preaching-houses in town and country"
"279","printed by John Bryce, and sold at his shop"
"280","printed by Mr. Robert Freebairn, and sold at his shop in the Parliament-Closs"
"281","printed, and sold at the publishing-office, in Bearbinder-Lane"
"282","printed by Willison and Darling: and sold at the shop of W. Darling; and by most other booksellers in Great Britain"
"283","printed for John Brigs merchant, and sold at his shop"
