"publisher_orig_data","verb","target_string","person","person_type","place","place_prefix","actor_type"
"In the Savoy: printed by Henry Lintot, Law-Printer to the King's most Excellent Majesty; and sold by R. Baldwin, at the Rose in Pater-Noster Row","printed by","Henry Lintot, Law-Printer to the King's most Excellent Majesty; and","Henry Lintot","person",NA,NA,"print"
"In the Savoy: printed by Henry Lintot, Law-Printer to the King's most Excellent Majesty; and sold by R. Baldwin, at the Rose in Pater-Noster Row","printed by","Henry Lintot, Law-Printer to the King's most Excellent Majesty; and","Law-Printer","unknown",NA,NA,"print"
"In the Savoy: printed by Henry Lintot, Law-Printer to the King's most Excellent Majesty; and sold by R. Baldwin, at the Rose in Pater-Noster Row","sold by","R. Baldwin, at the Rose in Pater-Noster Row","R. Baldwin","person","Rose in Pater-Noster Row","at the","sell"
"printed for W. Hinchliffe, at Dryden's Head, under the Royal-Exchange; and J. Walthoe, jun. over against the Royal-Exchange, in Cornhill","printed for","W. Hinchliffe, at Dryden's Head, under the Royal-Exchange; and J. Walthoe, jun. over against the Royal-Exchange, in Cornhill","W. Hinchliffe","person","Dryden's Head , under the Royal-Exchange","at","print"
"printed for W. Hinchliffe, at Dryden's Head, under the Royal-Exchange; and J. Walthoe, jun. over against the Royal-Exchange, in Cornhill","printed for","W. Hinchliffe, at Dryden's Head, under the Royal-Exchange; and J. Walthoe, jun. over against the Royal-Exchange, in Cornhill","J. Walthoe","person",NA,NA,"print"
"printed by T. Boddely. And sold by J. Leake and W. Frederick, in Bath; R. Dodsley, in London; and J. Fletcher, in Oxford","printed by","T. Boddely. And","T. Boddely.","person",NA,NA,"print"
"printed by T. Boddely. And sold by J. Leake and W. Frederick, in Bath; R. Dodsley, in London; and J. Fletcher, in Oxford","sold by","J. Leake and W. Frederick, in Bath; R. Dodsley, in London; and J. Fletcher, in Oxford","J. Leake","person","Bath","in","sell"
"printed by T. Boddely. And sold by J. Leake and W. Frederick, in Bath; R. Dodsley, in London; and J. Fletcher, in Oxford","sold by","J. Leake and W. Frederick, in Bath; R. Dodsley, in London; and J. Fletcher, in Oxford","W. Frederick","person","Bath","in","sell"
"printed by T. Boddely. And sold by J. Leake and W. Frederick, in Bath; R. Dodsley, in London; and J. Fletcher, in Oxford","sold by","J. Leake and W. Frederick, in Bath; R. Dodsley, in London; and J. Fletcher, in Oxford","R. Dodsley","person","London","in","sell"
"printed by T. Boddely. And sold by J. Leake and W. Frederick, in Bath; R. Dodsley, in London; and J. Fletcher, in Oxford","sold by","J. Leake and W. Frederick, in Bath; R. Dodsley, in London; and J. Fletcher, in Oxford","J. Fletcher","person","Oxford","in","sell"
"printed for W. Owen, No. 11, between the Temple-Gates, in Fleet-Street","printed for","W. Owen, No. 11, between the Temple-Gates, in Fleet-Street","W. Owen","person","Temple-Gates , in Fleet-Street","No. 11 , between the","print"
"printed by Peter Hoey, No 1, Skinner-Row, and 33, Ormond-Quay, and John Jones, No 111, Grafton-Street","printed by","Peter Hoey, no. 1, Skinner-Row, and 33, Ormond-Quay, and John Jones, no. 111, Grafton-Street","Peter Hoey","person","Skinner-Row , and 33 , Ormond-Quay , and John Jones , no. 111 , Grafton-Street","no. 1","print"
"Printed for the author by Walter Mowbray",NA,"the author by Walter Mowbray",NA,NA,NA,NA,NA
"chez Thomas Hookham, Libraire, No. 47, New Bond-Street",NA,"chez Thomas Hookham, Libraire, No. 47, New Bond-Street",NA,NA,NA,NA,NA
"printed for T. Cooper, at the Globe in Pater-Noster Row and sold by the booksellers of London and Westminster","printed for","T. Cooper, at the Globe in Pater-Noster Row and","T. Cooper","person","Globe in Pater-Noster Row and","at the","print"
"printed by H. Goldney, Paternoster-Row; and sold by J. Johnson, St. Paul's Church-Yard; J. Debrett, Piccadilly; J. Sewell, Cornhill; and by Mr. Blanchard, No. 4. Dean-Street, Fetter-Lane","printed by","H. Goldney, Paternoster-Row; and","H. Goldney","person","Paternoster-Row",NA,"print"
"printed by H. Goldney, Paternoster-Row; and sold by J. Johnson, St. Paul's Church-Yard; J. Debrett, Piccadilly; J. Sewell, Cornhill; and by Mr. Blanchard, No. 4. Dean-Street, Fetter-Lane","sold by","J. Johnson, St. Paul's Church-Yard; J. Debrett, Piccadilly; J. Sewell, Cornhill; and by Mr. Blanchard, No. 4. Dean-Street, Fetter-Lane","J. Johnson","person","St. Paul's Church-Yard",NA,"sell"
"printed by H. Goldney, Paternoster-Row; and sold by J. Johnson, St. Paul's Church-Yard; J. Debrett, Piccadilly; J. Sewell, Cornhill; and by Mr. Blanchard, No. 4. Dean-Street, Fetter-Lane","sold by","J. Johnson, St. Paul's Church-Yard; J. Debrett, Piccadilly; J. Sewell, Cornhill; and by Mr. Blanchard, No. 4. Dean-Street, Fetter-Lane","J. Debrett","person","Piccadilly",NA,"sell"
"printed by H. Goldney, Paternoster-Row; and sold by J. Johnson, St. Paul's Church-Yard; J. Debrett, Piccadilly; J. Sewell, Cornhill; and by Mr. Blanchard, No. 4. Dean-Street, Fetter-Lane","sold by","J. Johnson, St. Paul's Church-Yard; J. Debrett, Piccadilly; J. Sewell, Cornhill; and by Mr. Blanchard, No. 4. Dean-Street, Fetter-Lane","J. Sewell","person","Cornhill",NA,"sell"
"printed by H. Goldney, Paternoster-Row; and sold by J. Johnson, St. Paul's Church-Yard; J. Debrett, Piccadilly; J. Sewell, Cornhill; and by Mr. Blanchard, No. 4. Dean-Street, Fetter-Lane","sold by","J. Johnson, St. Paul's Church-Yard; J. Debrett, Piccadilly; J. Sewell, Cornhill; and by Mr. Blanchard, No. 4. Dean-Street, Fetter-Lane","Mr. Blanchard","unknown","Dean-Street , Fetter-Lane","No. 4.","sell"
"printed for J. Roberts, at the Oxford-Arms in Warwick-Lane","printed for","J. Roberts, at the Oxford-Arms in Warwick-Lane","J. Roberts","person","Oxford-Arms in Warwick-Lane","at the","print"
"In the Savoy: printed by J. Nutt, assignee of Edw. Sayer Esq; for J. Walthoe in the Middle-Temple Cloysters,; and are to be sold at his shop in Stafford","stringstart","In the Savoy:",NA,NA,"Savoy :","In the","unk"
"In the Savoy: printed by J. Nutt, assignee of Edw. Sayer Esq; for J. Walthoe in the Middle-Temple Cloysters,; and are to be sold at his shop in Stafford","printed by","J. Nutt, assignee of Edw. Sayer Esq; for J. Walthoe in the Middle-Temple Cloysters,; and are to be","J. Nutt","person",NA,NA,"print"
"In the Savoy: printed by J. Nutt, assignee of Edw. Sayer Esq; for J. Walthoe in the Middle-Temple Cloysters,; and are to be sold at his shop in Stafford","printed by","J. Nutt, assignee of Edw. Sayer Esq; for J. Walthoe in the Middle-Temple Cloysters,; and are to be","Edw. Sayer Esq","unknown",NA,NA,"print"
"In the Savoy: printed by J. Nutt, assignee of Edw. Sayer Esq; for J. Walthoe in the Middle-Temple Cloysters,; and are to be sold at his shop in Stafford","printed by","J. Nutt, assignee of Edw. Sayer Esq; for J. Walthoe in the Middle-Temple Cloysters,; and are to be","J. Walthoe","person","Middle-Temple Cloysters ,","in the","print"
"In the Savoy: printed by J. Nutt, assignee of Edw. Sayer Esq; for J. Walthoe in the Middle-Temple Cloysters,; and are to be sold at his shop in Stafford","sold at","his shop in Stafford",NA,NA,"Stafford","his shop in","sell"
"printed by H. Woodfall and W. Strahan, Law Printers to the King's most Excellent Majesty; for W. Owen, near Temple Bar, Fleetstreet","printed by","H. Woodfall and W. Strahan, Law Printers to the King's most Excellent Majesty; for W. Owen, near Temple Bar, Fleetstreet","H. Woodfall","person",NA,NA,"print"
"printed by H. Woodfall and W. Strahan, Law Printers to the King's most Excellent Majesty; for W. Owen, near Temple Bar, Fleetstreet","printed by","H. Woodfall and W. Strahan, Law Printers to the King's most Excellent Majesty; for W. Owen, near Temple Bar, Fleetstreet","W. Strahan","person",NA,NA,"print"
"printed by H. Woodfall and W. Strahan, Law Printers to the King's most Excellent Majesty; for W. Owen, near Temple Bar, Fleetstreet","printed by","H. Woodfall and W. Strahan, Law Printers to the King's most Excellent Majesty; for W. Owen, near Temple Bar, Fleetstreet","Law Printers","unknown",NA,NA,"print"
"printed for T. Becket and P. A. De Hondt, in the Strand","printed for","T. Becket and P. A. De Hondt, in the Strand","T. Becket","person",NA,NA,"print"
NA,NA,"NA",NA,NA,NA,NA,NA
"printed by the assigns of Richard and Edward Atkins, for Abel Roper at the Black Boy against St. Dunstan's Church, Fleetstreet",NA,"the assigns of Richard and Edward Atkins, for Abel Roper at the Black Boy against St. Dunstan's Church, Fleetstreet",NA,NA,NA,NA,NA
"In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edw. Sayer, Esq;) for Weaver Bickerton, at Lord Bacon's Head, the Corner of Palsgrave-Head-Court, without Temple-Bar","stringstart","In the Savoy:",NA,NA,"Savoy :","In the","unk"
"printed by D. Paterson, for W. Gibb, Bookseller in the Parliament-House","printed by","D. Paterson, for W. Gibb, Bookseller in the Parliament-House","D. Paterson","person","Parliament-House","in the","print"
"printed by D. Paterson, for W. Gibb, Bookseller in the Parliament-House","printed by","D. Paterson, for W. Gibb, Bookseller in the Parliament-House","W. Gibb","person","Parliament-House","in the","print"
"printed by D. Paterson, for W. Gibb, Bookseller in the Parliament-House","printed by","D. Paterson, for W. Gibb, Bookseller in the Parliament-House","Bookseller","unknown","Parliament-House","in the","print"
"printed for Elizabeth Watts, in Skinner-Row","printed for","Elizabeth Watts, in Skinner-Row","Elizabeth Watts","person","Skinner-Row","in","print"
"In the Savoy: printed by Henry Lintot (assignee of Edw. Sayer, Esq;) for Dan. Browne","stringstart","In the Savoy:",NA,NA,"Savoy :","In the","unk"
"In the Savoy: printed by Henry Lintot (assignee of Edw. Sayer, Esq;) for Dan. Browne","printed by","Henry Lintot (assignee of Edw. Sayer, Esq;) for Dan. Browne","Henry Lintot","person",NA,NA,"print"
"In the Savoy: printed by Henry Lintot (assignee of Edw. Sayer, Esq;) for Dan. Browne","printed by","Henry Lintot (assignee of Edw. Sayer, Esq;) for Dan. Browne","Edw. Sayer","unknown",NA,NA,"print"
"In the Savoy: printed by Henry Lintot (assignee of Edw. Sayer, Esq;) for Dan. Browne","printed by","Henry Lintot (assignee of Edw. Sayer, Esq;) for Dan. Browne","Esq","unknown",NA,NA,"print"
"In the Savoy: printed by Henry Lintot (assignee of Edw. Sayer, Esq;) for Dan. Browne","printed by","Henry Lintot (assignee of Edw. Sayer, Esq;) for Dan. Browne","Dan. Browne","unknown",NA,NA,"print"
"printed for Richardson and Urquhart, under the Royal Exchange","printed for","Richardson and Urquhart, under the Royal Exchange","Richardson","person",NA,NA,"print"
"printed for Richardson and Urquhart, under the Royal Exchange","printed for","Richardson and Urquhart, under the Royal Exchange","Urquhart","unknown",NA,NA,"print"
"printed for G. Spavan, next Door to the Feathers Tavern. over-against St. Clement's-Church in the Strand; and sold at the pamphlet-shops of London and Westminster","printed for","G. Spavan, next Door to the Feathers Tavern. over-against St. Clement's-Church in the Strand; and","G. Spavan","person",NA,NA,"print"
"printed for G. Spavan, next Door to the Feathers Tavern. over-against St. Clement's-Church in the Strand; and sold at the pamphlet-shops of London and Westminster","printed for","G. Spavan, next Door to the Feathers Tavern. over-against St. Clement's-Church in the Strand; and","Door","unknown",NA,NA,"print"
"printed for G. Spavan, next Door to the Feathers Tavern. over-against St. Clement's-Church in the Strand; and sold at the pamphlet-shops of London and Westminster","sold at","the pamphlet-shops of London and Westminster",NA,NA,"London and Westminster","the pamphlet-shops of","sell"
"printed by L. Lichfield, for A. and J. Churchil, R. Sare, H. Bonwick, W. Freeman, T. Goodwyn, M. Wotton, J. Waltho, S. Manship, J. Nicholson, R. Parker, B. Tooke","printed by","L. Lichfield, for A. and J. Churchil, R. Sare, H. Bonwick, W. Freeman, T. Goodwyn, M. Wotton, J. Waltho, S. Manship, J. Nicholson, R. Parker, B. Tooke","L. Lichfield","person",NA,NA,"print"
"In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edw. Sayer, Esq;) for J. Peele at Locke's Head in Pater-Noster-Row","stringstart","In the Savoy:",NA,NA,"Savoy :","In the","unk"
"printed by the assigns of R. and Edw. Atkins Esquires. For J. Walthoe, and M. Wotton",NA,"the assigns of R. and Edw. Atkins Esquires. For J. Walthoe, and M. Wotton",NA,NA,NA,NA,NA
"printed for the author, and sold by him, at No. 57, Great Britain-Street, and No. 2, Ormond-Quay",NA,"the author, and",NA,NA,NA,NA,NA
"printed by Henry Lintot, Law-Printer to the King's most Excellent Majesty; for W. Owen, at Homer's Head, near Temple Bar","printed by","Henry Lintot, Law-Printer to the King's most Excellent Majesty; for W. Owen, at Homer's Head, near Temple Bar","Henry Lintot","person",NA,NA,"print"
"printed by Henry Lintot, Law-Printer to the King's most Excellent Majesty; for W. Owen, at Homer's Head, near Temple Bar","printed by","Henry Lintot, Law-Printer to the King's most Excellent Majesty; for W. Owen, at Homer's Head, near Temple Bar","Law-Printer","unknown",NA,NA,"print"
"In the Savoy: printed by Henry Lintot (assignee of Edw. Sayer, Esq;) for J. Walthoe, in Cornhill; J. Shuckburgh, near the Inner-Temple Lane; J. Worrall, in Bell-Yard, near Lincoln's Inn and T. Waller, in Fleet-Street","stringstart","In the Savoy:",NA,NA,"Savoy :","In the","unk"
"In the Savoy: printed by Henry Lintot (assignee of Edw. Sayer, Esq;) for J. Walthoe, in Cornhill; J. Shuckburgh, near the Inner-Temple Lane; J. Worrall, in Bell-Yard, near Lincoln's Inn and T. Waller, in Fleet-Street","printed by","Henry Lintot (assignee of Edw. Sayer, Esq;) for J. Walthoe, in Cornhill; J. Shuckburgh, near the Inner-Temple Lane; J. Worrall, in Bell-Yard, near Lincoln's Inn and T. Waller, in Fleet-Street","Henry Lintot","person",NA,NA,"print"
"In the Savoy: printed by Henry Lintot (assignee of Edw. Sayer, Esq;) for J. Walthoe, in Cornhill; J. Shuckburgh, near the Inner-Temple Lane; J. Worrall, in Bell-Yard, near Lincoln's Inn and T. Waller, in Fleet-Street","printed by","Henry Lintot (assignee of Edw. Sayer, Esq;) for J. Walthoe, in Cornhill; J. Shuckburgh, near the Inner-Temple Lane; J. Worrall, in Bell-Yard, near Lincoln's Inn and T. Waller, in Fleet-Street","Edw. Sayer","unknown",NA,NA,"print"
"In the Savoy: printed by Henry Lintot (assignee of Edw. Sayer, Esq;) for J. Walthoe, in Cornhill; J. Shuckburgh, near the Inner-Temple Lane; J. Worrall, in Bell-Yard, near Lincoln's Inn and T. Waller, in Fleet-Street","printed by","Henry Lintot (assignee of Edw. Sayer, Esq;) for J. Walthoe, in Cornhill; J. Shuckburgh, near the Inner-Temple Lane; J. Worrall, in Bell-Yard, near Lincoln's Inn and T. Waller, in Fleet-Street","Esq","unknown",NA,NA,"print"
"In the Savoy: printed by Henry Lintot (assignee of Edw. Sayer, Esq;) for J. Walthoe, in Cornhill; J. Shuckburgh, near the Inner-Temple Lane; J. Worrall, in Bell-Yard, near Lincoln's Inn and T. Waller, in Fleet-Street","printed by","Henry Lintot (assignee of Edw. Sayer, Esq;) for J. Walthoe, in Cornhill; J. Shuckburgh, near the Inner-Temple Lane; J. Worrall, in Bell-Yard, near Lincoln's Inn and T. Waller, in Fleet-Street","J. Walthoe","person","Cornhill","in","print"
"In the Savoy: printed by Henry Lintot (assignee of Edw. Sayer, Esq;) for J. Walthoe, in Cornhill; J. Shuckburgh, near the Inner-Temple Lane; J. Worrall, in Bell-Yard, near Lincoln's Inn and T. Waller, in Fleet-Street","printed by","Henry Lintot (assignee of Edw. Sayer, Esq;) for J. Walthoe, in Cornhill; J. Shuckburgh, near the Inner-Temple Lane; J. Worrall, in Bell-Yard, near Lincoln's Inn and T. Waller, in Fleet-Street","J. Shuckburgh","person","Inner-Temple Lane","near the","print"
"In the Savoy: printed by Henry Lintot (assignee of Edw. Sayer, Esq;) for J. Walthoe, in Cornhill; J. Shuckburgh, near the Inner-Temple Lane; J. Worrall, in Bell-Yard, near Lincoln's Inn and T. Waller, in Fleet-Street","printed by","Henry Lintot (assignee of Edw. Sayer, Esq;) for J. Walthoe, in Cornhill; J. Shuckburgh, near the Inner-Temple Lane; J. Worrall, in Bell-Yard, near Lincoln's Inn and T. Waller, in Fleet-Street","J. Worrall","person","Bell-Yard , near Lincoln's Inn and T. Waller , in Fleet-Street","in","print"
"printed for G. Faulkner, in Essex-Street and J. Rudd, at the Apollo in Dame-Street","printed for","G. Faulkner, in Essex-Street and J. Rudd, at the Apollo in Dame-Street","G. Faulkner","person","Essex-Street and J. Rudd , at the Apollo in Dame-Street","in","print"
"printed by S. Powell, and sold by T. Moore","printed by","S. Powell, and","S. Powell","person",NA,NA,"print"
"printed by S. Powell, and sold by T. Moore","sold by","T. Moore","T. Moore","person",NA,NA,"sell"
"printed for Joseph Davidson","printed for","Joseph Davidson","Joseph Davidson","person",NA,NA,"print"
"printed for J. Roberts, in Warwick-Lane","printed for","J. Roberts, in Warwick-Lane","J. Roberts","person","Warwick-Lane","in","print"
"printed for J. Williams, No. 39, Fleet-Street","printed for","J. Williams, No. 39, Fleet-Street","J. Williams","person","Fleet-Street","No. 39","print"
"printed for Joseph Gurney, No. 54, in Holborn, opposite Hatton-Garden","printed for","Joseph Gurney, No. 54, in Holborn, opposite Hatton-Garden","Joseph Gurney","person","Holborn , opposite Hatton-Garden","No. 54 , in","print"
"printed for John Fuller, in Ave-Maria-Lane","printed for","John Fuller, in Ave-Maria-Lane","John Fuller","person","Ave-Maria-Lane","in","print"
"apud Balfour et Smellie, Academiae Typographos",NA,"apud Balfour et Smellie, Academiae Typographos",NA,NA,NA,NA,NA
"printed for T. Cooper, at the Globe in Pater-Noster-Row","printed for","T. Cooper, at the Globe in Pater-Noster-Row","T. Cooper","person","Globe in Pater-Noster-Row","at the","print"
"printed by and for George Faulkner, in Essex-Street","printed by and for","George Faulkner, in Essex-Street","George Faulkner","person","Essex-Street","in","print"
"printed for J. Cooke, at the King's-Arms, in Great-Turnstile, Holborn","printed for","J. Cooke, at the King's-Arms, in Great-Turnstile, Holborn","J. Cooke","person","King's-Arms , in Great-Turnstile , Holborn","at the","print"
"printed for R. Walker, at the White: Hart, without Temple-Bar; and sold by all book-sellers and pamphlet-sellers","printed for","R. Walker, at the White: Hart, without Temple-Bar; and","R. Walker","person","White : Hart , without Temple-Bar","at the","print"
NA,NA,"NA",NA,NA,NA,NA,NA
"printed for J. Walter, at Homer's Head, Charing-Cross","printed for","J. Walter, at Homer's Head, Charing-Cross","J. Walter","person","Homer's Head , Charing-Cross","at","print"
"printed by His Majesty's Law Printers, for J. F. and C. Rivington, W. Owen, T. Longman, J. Johnson, G. Robinson, W. Flexney, W. Fox, E. Brooke, S. Hayes, and T. Whieldon and Co","printed by","His Majesty's Law Printers, for J. F. and C. Rivington, W. Owen, T. Longman, J. Johnson, G. Robinson, W. Flexney, W. Fox, E. Brooke, S. Hayes, and T. Whieldon and Co","His Majesty's Law Printers","person",NA,NA,"print"
"printed by His Majesty's Law Printers, for J. F. and C. Rivington, W. Owen, T. Longman, J. Johnson, G. Robinson, W. Flexney, W. Fox, E. Brooke, S. Hayes, and T. Whieldon and Co","printed by","His Majesty's Law Printers, for J. F. and C. Rivington, W. Owen, T. Longman, J. Johnson, G. Robinson, W. Flexney, W. Fox, E. Brooke, S. Hayes, and T. Whieldon and Co","J. F.","person",NA,NA,"print"
"printed by His Majesty's Law Printers, for J. F. and C. Rivington, W. Owen, T. Longman, J. Johnson, G. Robinson, W. Flexney, W. Fox, E. Brooke, S. Hayes, and T. Whieldon and Co","printed by","His Majesty's Law Printers, for J. F. and C. Rivington, W. Owen, T. Longman, J. Johnson, G. Robinson, W. Flexney, W. Fox, E. Brooke, S. Hayes, and T. Whieldon and Co","C. Rivington","person",NA,NA,"print"
"printed by His Majesty's Law Printers, for J. F. and C. Rivington, W. Owen, T. Longman, J. Johnson, G. Robinson, W. Flexney, W. Fox, E. Brooke, S. Hayes, and T. Whieldon and Co","printed by","His Majesty's Law Printers, for J. F. and C. Rivington, W. Owen, T. Longman, J. Johnson, G. Robinson, W. Flexney, W. Fox, E. Brooke, S. Hayes, and T. Whieldon and Co","W. Owen","person",NA,NA,"print"
"printed by His Majesty's Law Printers, for J. F. and C. Rivington, W. Owen, T. Longman, J. Johnson, G. Robinson, W. Flexney, W. Fox, E. Brooke, S. Hayes, and T. Whieldon and Co","printed by","His Majesty's Law Printers, for J. F. and C. Rivington, W. Owen, T. Longman, J. Johnson, G. Robinson, W. Flexney, W. Fox, E. Brooke, S. Hayes, and T. Whieldon and Co","T. Longman","person",NA,NA,"print"
"printed by His Majesty's Law Printers, for J. F. and C. Rivington, W. Owen, T. Longman, J. Johnson, G. Robinson, W. Flexney, W. Fox, E. Brooke, S. Hayes, and T. Whieldon and Co","printed by","His Majesty's Law Printers, for J. F. and C. Rivington, W. Owen, T. Longman, J. Johnson, G. Robinson, W. Flexney, W. Fox, E. Brooke, S. Hayes, and T. Whieldon and Co","J. Johnson","person",NA,NA,"print"
"printed by His Majesty's Law Printers, for J. F. and C. Rivington, W. Owen, T. Longman, J. Johnson, G. Robinson, W. Flexney, W. Fox, E. Brooke, S. Hayes, and T. Whieldon and Co","printed by","His Majesty's Law Printers, for J. F. and C. Rivington, W. Owen, T. Longman, J. Johnson, G. Robinson, W. Flexney, W. Fox, E. Brooke, S. Hayes, and T. Whieldon and Co","G. Robinson","person",NA,NA,"print"
"printed by His Majesty's Law Printers, for J. F. and C. Rivington, W. Owen, T. Longman, J. Johnson, G. Robinson, W. Flexney, W. Fox, E. Brooke, S. Hayes, and T. Whieldon and Co","printed by","His Majesty's Law Printers, for J. F. and C. Rivington, W. Owen, T. Longman, J. Johnson, G. Robinson, W. Flexney, W. Fox, E. Brooke, S. Hayes, and T. Whieldon and Co","W. Flexney","person",NA,NA,"print"
"printed by His Majesty's Law Printers, for J. F. and C. Rivington, W. Owen, T. Longman, J. Johnson, G. Robinson, W. Flexney, W. Fox, E. Brooke, S. Hayes, and T. Whieldon and Co","printed by","His Majesty's Law Printers, for J. F. and C. Rivington, W. Owen, T. Longman, J. Johnson, G. Robinson, W. Flexney, W. Fox, E. Brooke, S. Hayes, and T. Whieldon and Co","W. Fox","person",NA,NA,"print"
