"";"verb";"verb_suffix";"actor";"location";"location_prefix";"orig_string"
"153";"printed";"by";"E. Smith";"Cornhill";"in";"printed and sold by E. Smith, in Cornhill"
"156";"printed";"for";"G. Kearsley";"Johnson's Head";"at No. 46 ,";"printed for G. Kearsley, at Johnson's Head, No. 46, Fleet-Street"
"159";"printed";"for";"R. Baldwin";"Rose";"at the";"printed for R. Baldwin, at the Rose in Pater-Noster Row"
"160";"printed";"for";"R. Griffiths";"Pater-Noster Row";"in";"printed for R. Griffiths, in Pater-Noster Row"
"163";"printed";"for";"William Rayner";"King's-Bench";"in the and to be sold at the and likewise at the over-against the";"printed for William Rayner, prisoner in the King's-Bench, and to be sold at the Theatre, and likewise at the Printing-Office in Marigold Court, over-against the Fountain-Tavern in the Strand"
"170";"printed";"for";"P. Crampton";"Addison's-Head";"at over-against the";"printed for P. Crampton, at Addison's-Head, over-against the Horse-Guard in Dame-Street"
"173";"printed";"for";"W. Bowyer";"Cicero's Head";"at";"printed for W. Bowyer and J. Nichols, at Cicero's Head, Red-Lion-Passage, Fleet-Street"
"175";"printed";"for";"Dan. Browne";"Black-Swan";"at the";"printed for Dan. Browne, at the Black-Swan without Temple-Bar"
"179";"printed";"for";"C. Moran";"Great Piazza";"in the";"printed for the author; and sold by C. Moran, in the Great Piazza, Covent Garden"
"180";"printed";"for";"T. Becket";"Pall Mall";"";"printed for T. Becket, Pall Mall"
"183";"printed";"for";"J. Wilford";"Stationers-Hall";"near and sold by the booksellers of";"printed for J. Wilford, near Stationers-Hall, and sold by the booksellers of London and Westminster"
"185";"printed";"for";"J. Huggonson";"Sword and Buckler Court";"in over against the";"printed for J. Huggonson, in Sword and Buckler Court, over against the Crown-Tavern on Ludgate-Hill"
"186";"printed";"for";"William Smith";"Hercules";"at the";"printed for William Smith, Bookseller, at the Hercules in Dame-Street"
"187";"printed";"by";"Sampson Low";"Berwick Street";"";"printed by and for Sampson Low, Berwick Street, Soho : and sold by C. Law, Ave Maria Lane; and E. Booker, New Bond Street"
"196";"printed";"for";"J. Chrichley";"London-Gazette";"at the";"printed for J. Chrichley, at the London-Gazette, Charing-Cross; and sold by J. Wilford, at the Three Flower-de-Luces behind the Chapter-House in St. Paul's Church-Yard"
"198";"printed";"for";"John Williams";"Ludgate-Hill";"on";"printed for John Williams, Bookseller, on Ludgate-Hill"
"199";"printed";"for";"B. Crosby";"Stationers Court";"No. 4 ,";"printed for B. Crosby, No. 4, Stationers Court, Ludgate Street; and C. Chapple, NO. 66, Pall Mall"
"200";"printed";"for";"B. Crosby";"Stationer's Court";"NO. 4 , Near";"printed for B. Crosby, NO. 4, Stationer's Court, Ludgate Street, Near Stationer's Hall"
"203";"printed";"for";"R. Francklin";"Sun";"at the";"printed for R. Francklin, at the Sun in Fleet-Street"
"206";"printed";"for";"T. Fisher";"Rochester";"in";"printed for T. Fisher, Bookseller, in Rochester; sold by S. Crowder, in Pater-Noster-Row; and W. Harris, No. 70, in St. Paul's-Church-Yard"
"209";"printed";"for";"Eman. Matthews";"Bible";"at the";"printed for Eman. Matthews, at the Bible in Paternoster-Row"
"213";"printed";"for";"R. Francklin";"Sun against St. Dunstan's Church";"at the in";"printed for R. Francklin, at the Sun against St. Dunstan's Church, in Fleet-Street"
"216";"printed";"for";"G. Kearsly";"Ludgate-Street";"in";"printed for G. Kearsly, in Ludgate-Street; Richardson and Urquhart, under the Royal Exchange; and G. Woodfall, at Charing-Cross"
"217";"printed";"for";"S. West";"St. Paul's";"near";"printed for S. West, near St. Paul's; and sold by the booksellers of London and Westminster"
"220";"printed";"for";"Bernard Lintott";"Cross-Keys betwixt the two Temple Gates";"at the";"printed for Bernard Lintott at the Cross-Keys betwixt the two Temple Gates in Fleet-Street"
"221";"printed";"by";"J. Graves";"St. James's-Street";"in J. over-against in F.";"printed: and sold by J. Graves, in St. James's-Street, J. Hook, over-against St. Dunstan's Church, in Fleet-Street, F. Jefferies. in Ludgate-Street. C. King, in Westminster-Hall, and T. Cox, at the Royal-Exchange"
"225";"printed";"by";"T. Wilkins";"Cow-Lane";"no. 45 ,";"printed and sold by T. Wilkins, No 45, Cow-Lane, Snow-Hill Sold also by J. Buckland, No. 57, Paternoster-Row; J. Johnson, No. 72, St Paul's Church-Yard, and J. Mathews, No 18, Strand"
"226";"printed";"for";"W. Sandby";"Ship";"at the opposite and J.";"printed for the author, and sold by W. Sandby, at the Ship, opposite St. Dunstan's Church, and J. Williams in Fleet Street; and J. Almon, in Piccadilly"
"240";"printed";"by";"Marchbank";"Chancery-Lane";"";"printed by Marchbank, 18, Chancery-Lane"
"242";"printed";"by";"James Phillips George-Yard";"Lombard-Street";"";"printed and sold by James Phillips George-Yard, Lombard-Street"
"257";"printed";"by";"T. Lockett";"Exeter";"";"printed and sold by T. Lockett, Bookseller. Also, by M'kenzie and Son, Exeter"
"259";"Printed";"by";"W. Bulmer";"Cleveland-Row";"";"Printed by W. Bulmer and Co. Russel-Court, Cleveland-Row, St. James's"
"261";"printed";"for";"John Sackfield";"Lincoln's-Inn-Square";"in";"printed for John Sackfield in Lincoln's-Inn-Square; and sold by John Morphew, near Stationers-Hall"
"266";"printed";"for";"William Lane";"Minerva-Press";"at the";"printed for William Lane, at the Minerva-Press, Leadenhall-Street"
"269";"printed";"for";"Charles Harper";"Flower-de-Luce";"at the over against";"printed for Charles Harper, and sold by John Hooke, at the Flower-de-Luce, over against St. Dunstan's Church in Fleetstreet"
"274";"printed";"by";"George Bigg";"Libraries";"at their respective circulating near and near";"printed by George Bigg, for F. and J. Noble, at their respective circulating Libraries, near Middle Row, Holborn, and St. Martin's-Court, near Leicester-Square"
"278";"Printed";"for";"J. Pemberton";"Golden Buck";"at the and";"Printed for J. Pemberton at the Golden Buck in Fleetstreet, and"
"282";"sold";"by";"William Watson";"No. 7";"";"sold by William Watson, and Son No. 7, Capel-Street, Printers to the Cheap Repository for Religious and Moral Tracts, and by the booksellers, chapmen and hawkers, in town and country, Great Allowance to Shopkeepers, Chapmen and Hawkers"
"284";"printed";"by";"Thomas Ruddiman";"Homer's Head over-against St. Dunstan's Church";"at";"printed [by Thomas Ruddiman] for Lawton Gilliver, at Homer's Head over-against St. Dunstan's Church, Fleet-Street"
"285";"printed";"for";"B. Motte";"Middle-Temple Gate";"at the";"printed for B. Motte and C. Bathurst, at the Middle-Temple Gate in Fleet-Street"
"294";"printed";"by";"J. Reeves";"at the Globe";"";"printed by J. Reeves, and sold by M. Cooper at the Globe in Pater-Noster-Row"
"295";"Printed";"for";"Dodsley";"Tully's Head";"at in";"Printed for Mess. Dodsley, at Tully's Head, in Pallmall ; and sold by M. Cooper, in Pater-Noster Row"
"296";"printed";"for";"W. Lane";"Leadenhall Street";"";"printed for W. Lane, Leadenhall Street"
"298";"printed";"for";"W. Nicoll";"St. Paul's Church Yard";"in";"printed for W. Nicoll, in St. Paul's Church Yard"
"303";"printed";"for";"John Hart";"Popping's Court";"in";"printed for the author, and sold by John Hart, in Popping's Court, Fleet-Street"
"309";"printed";"for";"R. Palmer";"Crown";"at the";"printed for R. Palmer, at the Crown without Temple-Bar; and sold by J. Roberts, in Warwick-Lane"
"317";"printed";"for";"W. Webb Junior";"Temple-Bar";"at";"printed for W. Webb Junior, at Temple-Bar"
"323";"printed";"for";"J. Bell";"Oxford-Street";"No. 148 , Opposite";"printed for J. Bell, No. 148, Oxford-Street, Opposite New Bond-Street"
"324";"printed";"for";"W. Nicoll";"Paper-Mill";"at the";"printed for W. Nicoll, at the Paper-Mill in St. Paul's Church-Yard"
"326";"printed";"for";"W. Bizet";"Golden-Ball";"at the in";"printed for W. Bizet, at the Golden-Ball, in St. Clement's Church-Yard"
"327";"printed";"for";"G. Kearsly";"Golden Lion";"at the in";"printed for G. Kearsly, at the Golden Lion, in Ludgate-Street"
"333";"printed";"for";"W. Flexney";"Gray's-Inn Gate";"near";"printed for W. Flexney, near Gray's-Inn Gate, Holborn"
"341";"reprinted";"by";"George Faulkner";"Gunne";"at his shop , by R. by J.";"re-printed by George Faulkner, and sold at his shop, by R. Gunne, by J. Smith and W. Bruce"
"348";"printed";"for";"J. Wright";"Old Bond-Street";"opposite";"printed for J. Wright, opposite Old Bond-Street, Piccadilly"
"353";"printed";"for";"A. Dodd";"Peacock";"at the and sold by the booksellers of";"printed for A. Dodd, at the Peacock without Temple-Bar, and sold by the booksellers of London and Westminster"
"363";"printed";"for";"Thomas Trye";"Gray's Inn-Gate";"near";"printed for Thomas Trye near Gray's Inn-Gate in Holbourn"
"367";"printed";"for";"R. Walker";"White : Hart";"at the without";"printed for R. Walker, at the White: Hart, without Temple-Bar; and sold by all book-sellers and pamphlet-sellers"
"372";"printed";"for";"Joseph Gurney";"Holborn";"No. 54 , in opposite";"printed for Joseph Gurney, No. 54, in Holborn, opposite Hatton-Garden"
"377";"printed";"for";"G. Faulkner";"Essex-Street and";"in";"printed for G. Faulkner, in Essex-Street and J. Rudd, at the Apollo in Dame-Street"
"382";"printed";"for";"G. Spavan";"in the Strand";"";"printed for G. Spavan, next Door to the Feathers Tavern. over-against St. Clement's-Church in the Strand; and sold at the pamphlet-shops of London and Westminster"
"386";"printed";"by";"Richard";"at the Black Boy against St. Dunstan's Church";"";"printed by the assigns of Richard and Edward Atkins, for Abel Roper at the Black Boy against St. Dunstan's Church, Fleetstreet"
"393";"printed";"by";"Peter Hoey";"Skinner-Row";"no. 1 , and 33 , and no. 111 ,";"printed by Peter Hoey, No 1, Skinner-Row, and 33, Ormond-Quay, and John Jones, No 111, Grafton-Street"
"394";"printed";"for";"W. Owen";"Temple-Gates";"No. 11 , between the in";"printed for W. Owen, No. 11, between the Temple-Gates, in Fleet-Street"
"396";"printed";"for";"W. Hinchliffe";"Dryden's Head";"at under the";"printed for W. Hinchliffe, at Dryden's Head, under the Royal-Exchange; and J. Walthoe, jun. over against the Royal-Exchange, in Cornhill"
"397";"printed";"for";"R. V.";"Mitre";"at the over-against";"printed for R. V. and sold by R. Gosling, at the Mitre, over-against Chancery-Lane; and J. Pemberton, at the Golden Buck over-against St. Dunstan's Church, both in Fleet street"
"398";"printed";"for";"Bernard Lintott";"Cross-Keys next Nando's Coffee-House";"at the";"printed for Bernard Lintott at the Cross-Keys next Nando's Coffee-House in Fleetstreet"
"402";"Printed";"for";"J. Baker";"Black Boy";"at the";"Printed for J. Baker, at the Black Boy in Pater-Noster Row"
"409";"printed";"for";"J. Walter";"Char Genre";"at";"printed for J. Walter, at Char Genre ; J. Almon, in Piccadilly; E. and C. Dilly in the Poultry; and W. Griffin, Catherine-Street, Strand"
"416";"printed";"by";"Jacob Robinson";"Golden Lyon";"at the and T.";"printed and sold by Jacob Robinson, at the Golden Lyon in Ludgate Street, and T. Warren, Book-Seller in Birmingham"
"417";"printed";"for";"W. Griffin";"Catharine-Street";"in";"printed for W. Griffin, in Catharine-Street, Strand MDCCLXVIII. (P. 1s 6d"
"419";"printed";"for";"E. Midwinter";"Three Crowns and Looking-Glass";"at the";"printed for E. Midwinter, at the Three Crowns and Looking-Glass in St. Paul's Church-Yard"
"424";"printed";"for";"R. Burrough";"Sun and Moon";"at the";"printed for R. Burrough and J. Baker, at the Sun and Moon in Cornhill; and sold by John Morphew near Stationer's-Hall"
"425";"printed";"for";"W. Reeve";"Crane-Court";"opposite";"printed for W. Reeve, opposite Crane-Court, Fleet-Street"
"428";"printed";"for";"R. Whitworth";"Feathers";"at the in the";"printed for R. Whitworth, at the Feathers, in the Poultry; J. Warcus, at the Indian-Queen, opposite the Mansion-House ; R. Richards, next Barnard's-Inn, Holborn ; W. Mynors, at the Corner of Chancery-Lane, Holborn ; and W. Heard,at the Philobiblian's-Library, Piccadilly"
"430";"printed";"for";"J. Wilkie";"St. Paul's-Church-Yard";"NO. 71 , in";"printed for J. Wilkie, NO. 71, in St. Paul's-Church-Yard"
"441";"printed";"for";"A. Millar";"Buchanan's-Head";"at over-against in the";"printed for A. Millar, at Buchanan's-Head, over-against St. Clement's-Church, in the Strand"
"442";"printed";"by";"W. Bowyer";"Queen's Head against St. Dunstans Church";"at the";"printed by W. Bowyer for Tim. Goodwin, at the Queen's Head against St. Dunstans Church in Fleet-Street"
"443";"printed";"for";"J. Millan";"Whitehall : Where may be had Sets of small Platoons";"near for";"printed for J. Millan, Bookseller, near Whitehall: Where may be had Sets of small Platoons in Ivory or Wood, for Performing the Manoeuvres"
"449";"printed";"by";"J. Medley";"Chapter-House";"near the in";"printed by J. Medley, near the Chapter-House, in St. Paul's Church-Yard; and sold by all the booksellers in England and Wales"
"450";"Printed";"at";NA;"Aldermary church yard";"in";"Printed and sold at the prining-office [sic] in Aldermary church yard, London"
"453";"Printed";"at";NA;"in Stonecutter-Street";"";"Printed and sold at Sympson's printing-office in Stonecutter-Street, Fleet-market"
"455";"printed";"by";"T. Baker";"Stationers'-Court";"";"printed by T. Baker; for B. Crosby, Stationers'-Court, London"
"465";"printed";"for";"J. Wilcox";"Green-Dragon";"at the in";"printed for J. Wilcox, at the Green-Dragon, in Little-Britain"
"467";"printed";"by";"G. Auld";"Greville Street";"";"printed by G. Auld, Greville Street, for J. Cuthell, Middle-Row, Holborn"
"472";"printed";"for";"Ralph Smith";"Bible under the Piazza of the Royal Exchange";"at the";"printed for Ralph Smith at the Bible under the Piazza of the Royal Exchange, Cornhill"
"475";"printed";"by";"John Marshall";"No. 4";"in";"printed and sold by John Marshall and Co. No. 4, Aldermary Church Yard, in Bow Lane"
"481";"printed";"for";"J. Knox";"Three Poets";"at the in the";"printed for the editor: and sold by J. Knox, at the Three Poets, in the Strand"
"483";"printed";"for";"W. Lane";"Leadenhall-Street";"";"printed for W. Lane, Leadenhall-Street"
"488";"printed";"by";"Ann";"Pool--Lane";"";"printed by Ann & Egerton Smith, Pool--Lane . Sold by Thomas Hurst, Pater-Noster Row, London, & all the booksellers in Liverpool"
"489";"printed";"for";"J. Barker";"Drury Lane";"";"printed for the author; and sold by J. Barker, Russell Court, Drury Lane ; G. Kearsly, No. 46, Fleet Street ; and T. Axtell at the Royal Exchange"
"493";"printed";"for";"B. Law";"Stationers' Court";"in";"printed for and sold by B. Law, in Stationers' Court; G. G. and J. Robinson, Pater-Noster Row; and the author, on Tower-Hill"
"496";"Printed";"for";"T. Lowndes";"Fleet-street";"in";"Printed for T. Lowndes, in Fleet-street; T. Davies, in Russel-street, Covent-Garden; T. Becket and P.A. De Hondt, in the Strand; F. Newbery, at the Corner of Ludgate-street; and Mess. Carnan and Newbery, in St. Paul's Church Yard, London; W. Jackson, in Oxford; and A. Kincaid, and Company, in Edinburgh"
"504";"Printed";"for";"J. Cooke";"Shakespear's-head";"at no. 17.";"Printed for J. Cooke, at Shakespear's-head, No 17. Pater-noster Row"
"512";"printed";"for";"James Crokatt";"Prujean-Court";"in opposite";"printed for James Crokatt, in Prujean-Court, opposite Surgeon's-Hall in the Old-Baily"
"514";"printed";"for";"Richard Sare";"Grays-Inn-Gate";"at";"printed for Richard Sare, at Grays-Inn-Gate in Holbourn"
"516";"printed";"for";"G. Kearsly";"St. Martin's Church";"opposite";"printed for G. Kearsly, opposite St. Martin's Church, Ludgate-Street; and W. Flexney, near Gray's-Inn Gate, Holborn"
"518";"printed";"by";"Majesty's Law-Printers";"Bell-Yard";"in";"printed by his Majesty's Law-Printers; for Edward Brooke, successor to Messrs. Worrall and Tovey, in Bell-Yard, Temple Bar"
"520";"printed";"for";"C. Cooke";"Bath";"";"printed for C. Cooke: and sold by the booksellers of Bath, Bristol, Birmingham, Canterbury, Cambridge, Coventry, Chester, Derby, Exeter, Gloucester, Hereford, Hull, Ipswich, Leeds, Liverpool, Leicester, Manchester, Newcastle, Norwich, Nottingham, Northampton, Oxford, Reading, Salisbury, Sherborn, Sheffield, Shrewsbury, Worcester, Winchester, York; and by all other booksellers in England, Scotland, and Ireland"
"522";"printed";"by";"Elizabeth Lynch";"in Ireland";"at her shops , No. 6 , and in the";"printed by Elizabeth Lynch, Law-Bookseller to his Majesty's Courts of Law in Ireland, at her shops, No. 6, Skinner-Row, and in the Four Courts"
"532";"printed";"by";"F. C.";"Leg and Star";"at the";"printed by F. C. and sold by P. Parker, at the Leg and Star in Cornhil"
"533";"printed";"for";"Thomas Speed";"Jonathan's Coffee-House";"in";"printed for Thomas Speed, over against Jonathan's Coffee-House in Exchange Alley, in Cornhill"
"538";"printed";"by";"W. Strahan";"Inner-Temple-Lane";"in the ; and T. in the";"printed by W. Strahan, and M. Woodfall, Law Printers to the King's Most Excellent Majesty, for P. Uriel, in the Inner-Temple-Lane,; and T. Cadell, in the Strand"
"541";"printed";"by";"J. Morphew";"Stationers-Hall and";"near";"printed, and sold by J. Morphew, near Stationers-Hall and C. Crownfield in Cambridge"
"542";"printed";"by";"Alex. Adam";"Saltmarket";"";"printed by Alex. Adam, for A. Carrick, Bookseller, Saltmarket"
"545";"printed";"by";"Ja. Robbins";"Stationers's-Court";"";"printed and sold by Ja. Robbins; sold also by Crosby and Letterman, Stationers's-Court, Ludgate-Hill, London"
"553";"Printed";"by";"J. Gowan";"Spinning-wheel";"at the";"Printed by J. Gowan, at the Spinning-wheel in Back-lane"
"558";"printed";"by";"T. Plummer";"Seething-Lane";"";"printed by T. Plummer, Seething-Lane; and sold by Chapple, Pall Mall; and R. Dutton, Birchin-Lane, Cornhill"
"561";"printed";"for";"F. Noble";"Circulating Library";"at his";"printed for F. Noble, at his Circulating Library in King-Street, Covent-Garden; and J. Noble, at his Circulating Library in St. Martin's Court, near Leicester-Square"
"571";"printed";"for";"James Read";"White-Fryars";"in and R.";"printed for James Read in White-Fryars, and R. Burleigh in Amen-Corner"
"573";"Printed";"for";"Vernor";"Finsbury-Place";"";"Printed for Vernor and Hood, Poultry, by H. Fry, Finsbury-Place, and sold by E. Newberry, St. Paul's Church-Yard"
"579";"printed";"for";"Daniel Farmer";"King's Arms";"at the";"printed for Daniel Farmer, at the King's Arms in St. Paul's Church-Yard"
"586";"printed";"by";"J. Burkitt";"Bucklersbury";"";"printed and sold by J. Burkitt: sold also by T. Conder, Bucklersbury, T. Knott, Lombard Street, and J. Nunn, great Queen Street, London; Clachar, Chelmsford; and J. Morris, Billericay"
"603";"Printed";"at";NA;"Bow-church yard";"in";"Printed and sold at the prin-office [sic] in Bow-church yard, London"
"605";"printed";"by";"J. Osborn";"Golden Ball";"at the";"printed, and sold by J. Osborn, at the Golden Ball in Pater Noster Row"
"608";"printed";"by";"J. Paramore";"Foundery";"at the";"printed by J. Paramore, at the Foundery, Moorsields : and sold at the New Chapel, in the City-Road; and at the Rev. Mr. Wesley's preaching-houses in town and country"
