publication_frequency_text	publication_frequency_annual	original_frequency	original_interval	original_time	Count
Irregular	NA	irregular	part the second.-;ceased with no. 8 (1708)	1707-	1
Irregular	NA	irregular	began in apr. 1721; ceased in 1722	[1721-1723]	1
Irregular	NA	irregular	no. i.[1728]-no. vi.[1729]	1728-1729	1
Irregular	NA	irregular	vol. i. [june 1792-may 1793]-;ceased with v. 4 (1794)	1793-1794	1
Irregular	NA	irregular	number i.-;ceased with no. 2	1719	1
Irregular	NA	irregular	[number i.]-number ii	mdccxxxi. [1731]	1
NA	NA	every eight issues (collected issues)	1795. [no. i. (le samedi 6 juin.)-no. viii. (le samedi 25 juillet.)]-;ceased with: vol. xxxv. (1802)	1795-	1
Irregular	NA	irregular	[number. i.]-number iii	m dcc lvii. [1757]	1
Irregular	NA	irregular	volume i. [no. 1-15, 9 nov. 1734-15 feb. 1735]-;ceased with: v. 5:no.62, 10 jan. 1736	1735-	1
Irregular	NA	irregular	no i.-no vi	nov.10, 1798-june, 1800	1
Irregular	NA	irregular	number i.-number vi	mdcclxviii.-mdcclxx. [1768-1770]	1
Irregular	NA	irregular	numb. 1. (june 17. 1684.)-num. 2. (october 23. 1684.)	[1684]	1
Irregular	NA	irregular	began in apr.? 1722; ceased in may 1724?	<1723-1724>	1
Irregular	NA	unknown	saturday, april 23. 1681	1681	1
Irregular	NA	irregular	began in 1703?	[1703-1705?]	1
Irregular	NA	irregular (collected issues)	vol. i. for the year mdxcclxi. [april, 1761.-december, 1761.]-vol. ii. for the year mdcclxii. [january, 1762.-may, 1762.]	[1761-mdcclxii. [1762]	1
Irregular	NA	irregular	[numb. 1] 22 jan. 1688/9 [i.e. 1689]-numb. 4. sabbati, 2 febr. 1688. [i.e. 1689]	1689	1
Irregular	NA	irregular (collected issues)	for the year mdccxc. vol. i. [february, 1790.-august, 1790,]-for the year mdccxci. vol. iii	1792.-[1794]	1
Irregular	NA	irregular	vol. i.-;first series ceased with vol. v. (1802)	mdcclxxxv. [1785]-	1
Irregular	NA	irregular	volume first [1793]-volume tenth [i.e. eleventh] [1797]	m,dcc,xciii.-m,dcc,xcvii. [1793-1797]	1
Irregular	NA	irregular	number i.-number vi	1743-1749	1
Irregular	NA	irregular	began in 1681?	[1681?]-	1
Irregular	NA	irregular	vol. iv. ([mar. 8, 1707])-;ceased with 11 june 1713 issue	mdccvii. [1707 i.e. 1708]-	1
Irregular	NA	irregular	began in 1738.;-numb. iv. [1738]	1738	1
Irregular	NA	irregular	began with no. [1], 1705; ceased with numb. 10 (25 may 1706)	1705	1
Irregular	NA	irregular	no. i. [1792]-;ceased publication with no. 5 (1796)	[1792]-	1
Irregular	NA	irregular	numb. 2. [august 28, 1690]-numb. 18. [october 24, 1691]	1690-[1691]	1
Irregular	NA	irregular	part i. numb. 1. (thursday july 13. 1693.)-[part i.] numb. 8. (wednesday, august 30. 1693.); part the second. [1693]-;ceased with: part iv. [1696]	mdcxciii. [1693]-	1
Irregular	NA	irregular (published according to sitting dates of parliament)	vol. i. [1st sess., 17th parl. (25 nov. 1790-1 mar. 1791)]-;ceased in 1796	[1791]-	1
Irregular	NA	irregular	numb. i. ([jan. 1708])-;ceased in 1710	mdccviii. [1708]	1
Irregular	NA	irregular	number. i	[1757]	1
Irregular	NA	no determinable frequency	numb. 1 (from wednesday january 11, to wednesday january 18, 1660)-numb. 3 (wednesday, march 7, 1660); [new ser.] numb. 1 (wednesday march 28, 1660)-numb. 8 (wednesday, august 1. 1660)	1660	1
Irregular	NA	irregular	numb. 2 (tuesday, february 27, 1683)-numb. 5 (1683)	1683	1
Irregular	NA	irregular	no. i. (tuesday, march 1, 1796)-no. x. (friday, may 13, 1796)	[1796]	1
Irregular	NA	irregular (cumulation)	volume the first-[volume the fourth]	m. dcc. xxi. [1731-	1
Irregular	NA	irregular	numb. 1.-numb. 2	1683	1
Irregular	NA	irregular	number i.-number ii	m.dcc.lxxii. [1772]	1
Irregular	NA	irregular	numb. i (for the month of august, 1719)-;ceased with no. 10 (1726)	1719-	1
Irregular	NA	irregular	numb. 1. (wednesday, april 27. 1681.)-numb. 4. (thursday, may 5. 1681.)	[1681]	1
Irregular	NA	irregular	began with: no. 1 (7 aug. 1689); ceased with no. 3 (24 aug. 1689)	1689	1
Irregular	NA	irregular	vol. i.-;ceased in 1992	mdcclxx. [1770]-	1
Irregular	NA	irregular	NA	<1693-1747>	1
Irregular	NA	irregular	the first volume (1684)-the third volume (1687)	mdclxxxiv-mdclxxxvii. [1684-1687]	1
Irregular	NA	irregular	a ([23 mar. 1676])-qqqq (tuesday the 13th. of november, to the morrow after elsebeth-tide [1677])	[1676-1677]	1
Irregular	NA	no determinable frequency	numb. 1 [4 apr. 1719]-	mdccxix [1719]	1
Irregular	NA	irregular	numb. i. [19 mar. 1719]-numb. ii. [2 apr. 1719]	mdccxix. [1719]	1
Irregular	NA	irregular (collected every 30 issues)	the first volume (tuesday march 17th, to saturday may 30th, 1691.)-the nineteenth volume. (tuesday, octob. 29. to saturday, feb. 8. 1696)	1691-1696	1
Irregular	NA	unknown	began in oct. or nov. 1649?;-numb.2 ([nov.17 1649])	1649	1
Irregular	NA	no determinable frequency	numb. 1 (friday may the 6th. 1681)-numb. 3 ([16 june? 1681])	[1681]	1
Irregular	NA	unknown	[no. 1, 11 june 1648]	1648]	1
Irregular	NA	irregular	vol. i. numb. i. (saturday june the 3d, 1749.)-vol. i. numb. xxviii. (saturday may the 5th, to saturday july the 28th, 1750.)	1749-1750	1
Irregular	NA	irregular	began with: no. i, (18 feb. 1747 [i.e.1748].;-no xxxv. (friday, october 20, 1749.)	-1749	1
Irregular	NA	unknown	numb. 1 (beginning on fryday the 7th of january 1681.)	1681	1
Irregular	NA	irregular	numb. 1. (from saturday, february 21. to saturday, february 28. 1679 [i.e. 1680].)-numb. 2. (thursday 18 march, 1679 [i.e. 1680].)	[1680]	1
Irregular	NA	irregular	began with 19 jan. 1726?;-wednesday february 6d. 1726-7	[ -1727]	1
Irregular	NA	unknown	numb. 1. (saturday, may 28. 1695. n.s.)-numb. 2. ([june 1695])	1695	1
Irregular	NA	irregular	numb. 1 (munday, september the 7th 1679.)-;ceased with: numb. 4 (october 2, 1679.)	1679]	1
Irregular	NA	irregular	number i. (saturday, october 24, 1789.)-number xix. (thursday, december 10, 1789.)	[1789]	1
Irregular	NA	irregular	number i. (12 aug. 1768)-number xiv. ([11 nov. 1768])	[1768]	1
Irregular	NA	irregular	vol. i. (1775.)-[vol. xvii.] for the year 1784	m dcc lxxv. [1775]-1784	1
Irregular	NA	irregular	vol. i. numb. 1. (monday, august 14. 1710.)-;ceased in 1713?	[1710-1713?]	1
Irregular	NA	irregular	the first weeke (may 20. 1643)-;ceased with: xxi. week (16 mar. 1644)	1643-1644]	1
Irregular	NA	irregular	numb. 1. ([11 aug. 1648])-[numb. 3] (munday august 14. to munday aug. 28. 1648.)	1648	1
Irregular	NA	no determinable frequency	[no. 1] (the 24 of january [1644])-numb. 8. (aprill, 24. 1644)	1644	1
Irregular	NA	irregular	monday the 15. of august till friday the ninteenth [sic] 1642	1642	1
Irregular	NA	no determinable frequency	numb. 1 (from tuesday, aprill 10. to tuesday aprill 17. 1649)-pars numb. (from munday. may 14. to munday, may 21. 1649)	1649]	1
Irregular	NA	no determinable frequency	[no.1] (24. of april, 1643) - [no.5] (june 5. 1643)	1643	1
Irregular	NA	no determinable frequency	numb. 1 (aprill 20. to ... may the 6th 1644)-number 7 (from july 27. to august 16th. [1644])	1644	1
Irregular	NA	no determinable frequency	numb. 1 (tuesday june 1. 1648)-numb. 3 (from thursday june 8. till tuesday the 20. 1648)	1648]	1
Irregular	NA	irregular	vol. i.[numb. 1]-vol. ii. [numb. 88] ([may] 1779-[dec.] 1780)	[1779-1780]	1
Irregular	NA	irregular	began in 1797; ceased in dec. 1797	1797]	1
Irregular	NA	irregular	vol. i. [1784]-vol. v. [1794]	mdcclxxxiv [1784]-mdccxciv [1794]	1
Irregular	NA	irregular	vol. i. [1773-1787]-vol. vi. [1800-1805]	mdcclxxxvii. [1787]-1805	1
Irregular	NA	irregular	15th feb. 1800. being the first number of volume i.-30th august, 1800. being the sixth number of volume i	[1800]	1
Irregular	NA	irregular	volume the first. [june 22, 1767.-aug. 11, 1767.]-;ceased with: volume the sixth	m.dcc.lxviii. [1768]-&lt;1820>	1
Irregular	NA	irregular	no i	1734	1
Irregular	NA	irregular (collected issues)	voume the first. [no. i. (jan? 1769)-no. vi. (april. 10, 1769.)]-[volume the second] (no. vii. (april 25, 1769.)-no. ix. (june 1, 1769.)]	m.dcc.lxix. [1769]	1
Irregular	NA	irregular	number i.-number iv	m.dcc.xl.-m.dcc.xli. {1740-1741]	1
Irregular	NA	irregular	[no.1] 1792. [thursday, january 19.-saturday, 21.]-	m.dcc.xcii. [1792]-	1
Irregular	NA	irregular	no. i. [8 feb. 1770]-no. v. [21 apr. 1770]	1770]	1
Two per Day	730.00	twice daily	vol. 1, no. 1 (aug. 15, 1796)-v. 1, no. 121 (oct. 24, 1796)	1796	1
Daily	365.00	daily (when parliament is sitting)	numb. 1. [21/23 mar. 1680/1]-numb. 2. [28 mar. 1681]	1681]	1
Daily	365.00	daily (when parliament is in session)	numb. 1. mercurij 23. octobris 1689.-numb. 74 lunae 27⁰ die januarij, 1689	1680-[1681]	1
Daily	365.00	daily	began 1791; ceased: 1794	<1793>	1
Daily	365.00	daily (while parliament is sitting)	nunb. 1 (martis die 20 octobris, 1696.)-numb. 145 (veneris die 16 aprilis, 1697.)	1696 [i.e. 1697]	1
Daily	365.00	daily (when parliament is in session)	numb. 1. (die martis 27 august. 1695.)-;ceased with: no. 161 (3 dec. 1697)	1695-1697	1
Daily	365.00	daily	vol. ii. no. 235 (tuesday, november 30, 1784.)-no. 434. (tuesday, july 26, 1785.)	[1784-1785]	1
Daily	365.00	daily	no. 1 (july 21, 1800)	1800	1
Daily	365.00	daily (triweekly during congressional recess)	vol. 1, no. 1 (nov. 20, 1800)-;ceased in 1800	1800-	1
Daily	365.00	daily	vol. 1, no. 1 (nov. 18, 1800)-v. 1, no. 3 (nov. 24, 1800)	1800	1
Daily	365.00	daily	began: 15 apr. 1794; ceased: 3 july 1798	<1794>-	1
Daily	365.00	daily (when parliament is sitting)	numb. 1. [21/23 mar. 1680/1]-numb. 5. [28 mar. 1681]	[1681]	1
Daily	365.00	daily	[numb. i] - numb. iii.(wednesday, october 24 [i.e. 25]. day second.)	1749	1
Daily	365.00	daily (when parliament is in session)	[numb. 0.] jovis 21⁰ octobris 1680.-numb. 62 [sic] lunae 28⁰ martii 1681	1680-[1681]	1
Daily	365.00	daily (when parliament is in session)	numb. 1. (thursday 3. october 1706)-numb. 89. (saturday 22. march 1707.)	anno dom. 1706-1707	1
Daily	365.00	daily	NA	<1776>	1
Daily	365.00	daily	[no. i.]-	&lt;1776?>	1
Daily	365.00	daily?	began in 1738?; ceased sometime after 6 april 1739?	[1738-1739?]	1
Daily	365.00	daily (while parliament is sitting)	numb. 1 (tuesday 21 feb. [1660])-numb. 21 (friday 16. march [1660])	1659 [i.e. 1660]	1
Daily	365.00	daily	number i. (tuesday, july 5, 1763.)-number iv. (friday, july 8, 1763.)	[1763]	1
Six per Week	312.00	daily (except sunday)	by 2 jan. 1792 the previous title had been shortened to 'the oracle'.;-number 1492 (friday, february 28, 1794)	[1792?-1794]	1
Six per Week	312.00	daily (except sunday)	began with an unnumbered first issue on 4 november 1776;;-no. 2005 (monday, november 11, 1776)	[1776]	1
Six per Week	312.00	daily, except sunday	friday, february 13, 1789-saturday, february 21, 1789	[1789]	1
Six per Week	312.00	daily (except sunday)	began 1790?	[1790]-	1
Six per Week	312.00	daily (except sunday)	friday, september 6. 1782-	[1782]-	1
Six per Week	312.00	daily (except sundays, when parliament is in session)	numb. 1. (may 1, 1693.)-numb. 23. (thursday the 15th. june 1693.)	1693	1
Six per Week	312.00	daily (except sundays, when parliament is in session)	numb. 1. (tuesday july 19. 1698.)-numb. 21. (thursday 1. september 1698.)	anno dom. 1698	1
Six per Week	312.00	daily (except suday, when parliament is in session)	began with: numb. 1. (tuesday october 29. 1700.; ceased with: numb.57 (saturday february 1. 1701)	anno dom. 1700.-[1701]	1
Six per Week	312.00	daily (except sunday)	no 14. (tuesday, november 17, 1772) -;by 12 february, 1773 the title had changed to 'the morning post, and daily advertiser'	[1772-1773?]	1
Six per Week	312.00	daily (except sunday)	began in 1795?; ceased in 1806?	<1796-	1
Six per Week	312.00	daily (except sunday)	began with no. 940 january 1, 1788.;-monday, march 17, 1788	[1788]	1
Six per Week	312.00	daily (except sunday)	numb. 1 (saturday, january 1, 1785)-;ceased in dec. 1787	[1785-1787]	1
Six per Week	312.00	daily (except sunday)	began: 27 jan. 1792; ceased: oct.? 1792	[1792]	1
Six per Week	312.00	daily (except sunday)	[number 1.] monday, jan. 2, 1792-;ceased with no.36 (feb.11, 1792)?	[1792]	1
Six per Week	312.00	daily (except sun.)	mar. 21, 1797-july 1, 1797	1797	1
Six per Week	312.00	daily (except sun.)	began in jan.? 1797; ceased in june 1797	1797	1
Six per Week	312.00	daily (except sun.)	began with may 14, 1799 issue; ceased in nov. 1801	<1799-	1
Six per Week	312.00	daily (except sun.)	vol. l, no. 1 (dec. 2, 1799)-;ceased in feb. 1800?	1799-	1
Six per Week	312.00	daily (except sun.)	vol. 4, no. 627 (apr. 17, 1799)-v. 8, no. 1641 (july 31, 1802)	1799-1802	1
Six per Week	312.00	daily (except sun.)	number 1. monday evening, january 1, 1798. volume i.-number 55	[1798]	1
Six per Week	312.00	daily (except sun.)	no. 1 (july 2, 1798)-no. 5617 (dec. 4, 1813); v. 1, no. 1 (dec. 6, 1813)-v. 2, no. 492 (july 8, 1815)	1798-1815	1
Six per Week	312.00	daily (except sun.)	vol. 57, no. 5720 (jan. 1, 1798)-;ceased in sept. 1802	1798-	1
Six per Week	312.00	daily (except sun.)	no. 1580 (mar. 20, 1797)-;ceased in 1798	1797-	1
Six per Week	312.00	daily (except sun.)	vol. 1, no. 1 (oct. 2, 1797)-v. 7, no. 1939 (jan. 10, 1804)	1797-1804	1
Six per Week	312.00	daily (except sun.)	vol. 1, no. 1 (mar. 4, 1797)-v. 1, no. 43 (apr. 22, 1797)	1797	1
Six per Week	312.00	daily (except sun.)	vol. 1, no. 1 (apr. 10, 1797)-;ceased in apr. 1799	1797-	1
Six per Week	312.00	daily (except sun.)	vol. 1, no. 1 (jan. 16, 1797)-v. 3, no. 454 (june 30, 1798)	1797-1798	1
Six per Week	312.00	daily (except sun.)	vol. 1, no. 1 (feb. 7, 1797)-v. 1, no. 125 (july 3, 1797)	1797	1
Six per Week	312.00	daily (except sun.)	vol. 1, no. 126 (july 5, 1797)-;ceased in sept. 1797?	1797	1
Six per Week	312.00	daily (except sun.)	no. 5219 (jan. 1, 1796)-no. 7421 (sept. 30, 1800)	1796-1800	1
Six per Week	312.00	daily (except sun.)	vol. 4, no. 673 (jan. 1, 1796)-;ceased in june 1825	1796-	1
Six per Week	312.00	daily (except sun.)	no. 1225 (feb. 1, 1796)-no. 1579 (mar. 18, 1797)	1796-1797	1
Six per Week	312.00	daily (except sun.)	no. 387 (aug. 3, 1796)-no. 1455 (mar. 8, 1800)	1796-1800	1
Six per Week	312.00	daily (except sun.)	vol. 3, no. 821 (may 2, 1796)-v. 4, no. 1162 (sept. 30, 1797)	1796-1797	1
Six per Week	312.00	daily (except sun.)	vol. 10, no. 1190 (july 1, 1796)-v. 17, no. 2419 (june 27, 1800)	1796-1800	1
Six per Week	312.00	daily (except sun.)	no. 1. vol. 1 (for thursday, october 6, 1796.)-no. 102. (for thursday, february 2, 1797.)	1796-	1
Six per Week	312.00	daily (except sun.)	no. 1993 (may 13, 1795)-no. 11,859 (jan. 5, 1820)	1795-1820	1
Six per Week	312.00	daily (except sun.)	no. 6 (may 16, 1795)-no. 386 (aug. 2, 1796)	1795-1796	1
Six per Week	312.00	daily (except sun.)	-no. 1224 (jan. 30, 1796).;began in may 1795	-1796	1
Six per Week	312.00	daily (except sun.)	vol. 2, no. 436 (may 6, 1795)-v. 3, no. 820 (apr. 30, 1796)	1795-1796	1
Six per Week	312.00	daily (except sun.)	vol. 8, no. 878 (july 1, 1795)-v. 9, no. 1189 (june 30, 1796)	1795-1796	1
Six per Week	312.00	daily (except sun.)	began: oct. 1795.;-no. 1888 (dec. 17, 1796)	-1796	1
Six per Week	312.00	daily (except sun.)	no. 941 (feb. 16, 1795)-;ceased in may 1795	1795-	1
Six per Week	312.00	daily (except sun.)	vol. 11, no. 16031 [i.e., 1631] (jan. 1, 1794)-v. 17, no. 3626 (june 17, 1800)	1794-1800	1
Six per Week	312.00	daily (except sun.)	no. 589 (jan. 1, 1794)-;ceased in feb. 1795	1794-	1
Six per Week	312.00	daily (except sun.)	vol. 1, no. 89 (mar. 20, 1794)-v. 2, no. 435 (may 5, 1795)	1794-1795	1
Six per Week	312.00	daily (except sun.)	no. 1224 (nov. 8, 1794)-;ceased in nov. 1824	1794-	1
Six per Week	312.00	daily (except sun.)	vol. 6, no. 1 (june 12, 1794)-v. 7, no. 154 (june 30, 1795) = whole no. 551-877	1794-1795	1
Six per Week	312.00	daily (except sun.)	-v. 56, no. 5719 (dec. 30, 1797).;began with jan. 1, 1794 issue. lc 18th cent. newspapers (1936 ed.)	-1797	1
Six per Week	312.00	daily (except sun.)	vol. 2, no. 312 (oct. 30, 1794)-v. 3, no. 672 (dec. 30, 1795)	1794-1795	1
Six per Week	312.00	daily (except sun.)	vol. 1, no. 1 (dec. 9, 1793)-v. 1, no. 88 (mar. 19, 1794)	1793-1794	1
Six per Week	312.00	daily (except sun.)	no. 4575 (dec. 9, 1793)-no. 5218 (dec. 31, 1795)	1793-1795	1
Six per Week	312.00	daily (except sun.)	vol. 1, no. 1 (oct. 28, 1793)-v. 1, no. 311 (oct. 29, 1794)	1793-1794	1
Six per Week	312.00	daily (except sun.)	vol. 5, no. 1 (dec. 11, 1793)-v. 5, no. 155 (june 11, 1794) = whole no. 459-550	1793-1794	1
Six per Week	312.00	daily (except sun.)	began in oct. 1793; ceased in 1794	<1793-1794>	1
Six per Week	312.00	daily (except sun.)	vol. 1, no. 1 (jan. 1, 1793)-;ceased in 1793	1793-	1
Six per Week	312.00	daily (except sun.)	no. 1 (feb. 15, 1792)-no. 588 (dec. 31, 1793)	1792-1793	1
Six per Week	312.00	daily (except sunday)	no. 1 (july 13, 1792)-;ceased in oct. 1793	1792-	1
Six per Week	312.00	daily (except sun.)	no. 3720 (jan. 1, 1791)-no. 4574 (dec. 7, 1793)	1791-1793	1
Six per Week	312.00	daily (except sun.)	no. 274 (aug. 16, 1791)-no. 1223 (nov. 7, 1794)	1791-1794	1
Six per Week	312.00	daily (except sun.)	no. 1 (june 1, 1791)-no. 731 (sept. 30, 1793)	1791-1793	1
Six per Week	312.00	daily (except sun.)	vol. 4, total no. 468 (apr. 1, 1790)-v. 10, no. 16030 [i.e. 1630] (dec. 31, 1793)	1790-1793	1
Six per Week	312.00	daily (except sun.)	no. 1 (oct. 1, 1790)-no. 273 (aug. 15, 1791)	1790-1791	1
Six per Week	312.00	daily (except sun.)	no. 1 (oct. 1, 1788)-no. 156 (mar. 31, 1789); v. 2, no. 1 (apr. 1, 1789); v. 2, no. 157 (sept. 30, 1789) = total no. 157-total no. 313; v. 3, total no. 314 (oct. 1, 1789)-v. 3, total no. 467 (mar. 31, 1790)	1788-1790	1
Six per Week	312.00	daily (except sun.)	vol. 3, no. 826 (oct. 17, 1787)-v. 22, no. 6233 (aug. 30, 1806)	1787-1806	1
Six per Week	312.00	daily (except sun.)	vol. 41, no. 47 (nov. 19, 1787)-v. 42, no. 179 (july 26, 1788) = no. 2142-no. 2358	1787-1788	1
Six per Week	312.00	daily (except sun.)	vol. 4, no. 271 (jan. 18, 1786)-;ceased with nov. 5, 1787 issue	1786-	1
Six per Week	312.00	daily (except sun.)	-v. 2, no. 178 (dec. 14, 1786).;began with aug. 14, 1786 issue	-1786	1
Six per Week	312.00	daily (except sun.)	-no. 174 (sept. 19, 1785).;began with mar. 1, 1785 issue	-1785	1
Six per Week	312.00	daily (except sun.)	vol. 1, no. 175 (sept. 20, 1785)-v. 3, no. 825 (oct. 16, 1787)	1785-1787	1
Six per Week	312.00	daily (except sun.)	no. 1755 (sept. 21, 1784)-no. 3719 (dec. 31, 1790)	1784-1790	1
Six per Week	312.00	daily (except sun.)	no. 1 (apr. 13, 1782)-no. 199 (aug. 20, 1785); v. 4, no. 200 (aug. 27, 1785)-v. 9, no. 1270 (jan. 9, 1790)	1782-1790	1
Six per Week	312.00	daily (except sun.)	vol. 29, no. 7422 (oct. 1, 1800)-v. 68, no. 19689 (dec. 28, 1839)	1800-1839	1
Six per Week	312.00	daily (except sun.)	vol. 17, no. 3627 (june 18, 1800)-v. 19, no. 4394 (dec. 31, 1802)	1800-1802	1
