PrintedFor	PrintedBy	Ignored	Original	count
Printed by Samuel Roycroft ..	NA	NA	Printed by Samuel Roycroft .	18
[s.n.	NA	NA	s.n.	17
Printed by Benjamin Towne	NA	NA	Printed by Benjamin Towne	17
printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd; Printers to the Queens most Excellent Majesty	NA	NA	printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd; printed to the Queens most excllent Majesty	17
printed for G. G. and J. Robinson, Paternoster-Row	NA	NA	printed for G. G. and J. Robinson, Paternoster-Row	17
Printed by Andrew Crooke, printer to the King's Most Excellent Majesty, at the King's-Arms in Copper-Alley	NA	NA	Printed by Andrew Crooke, printed to the King's Most excllent Majesty, at the King's-Arms in Copper-Alley	17
printed for J. Almon, opposite Burlington-House, Piccadilly	NA	NA	printed for J. Almon, opposite Burlington-House, Piccadilly	17
by Bonham Norton and Iohn Bill, printers to the Kings most excellent Maiestie	NA	NA	by Bonham Norton and Iohn Bill, printed to the Kings most printedllent Maiestie	17
printed by Charles Bill, Henry Hills, and Thomas Newcomb, printers to the King's most excellent Majesty	NA	NA	printed by Charles Bill, Henry Hills, and Thomas Newcomb, printed to the King's most printedllent Majesty	17
printed by Charles Bill, Henry Hills, and Thomas Newcomb, printers to the Kings most Excellent Majesty	NA	NA	printed by Charles Bill, Henry Hills, and Thomas Newcomb, printed to the Kings most excllent Majesty	17
printed by Evan Tyler, printer to the Kings most excellent Majesty	NA	NA	printed by Evan Tyler, printed to the Kings most printedllent Majesty	17
printed by Evan Tyler, printer to the King's most Excellent Majesty	NA	NA	printed by Evan Tyler, printed to the King's most excllent Majesty	17
printed by the heir of Andrew Anderson, printer to His most sacred Majesty	NA	NA	printed by the heir of Andrew Anderson, printed to His most sacred Majesty	17
By Leonard Lichfield ..	NA	NA	By Leonard Lichfield .	17
printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd, printers to the King and Queens most Excellent Majesties	NA	NA	printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd, printed to the King and Queens most excllent Majesties	17
printed, and sold by the booksellers of London and Westminster	NA	the booksellers of London and Westminster	NA	16
Printed	NA	NA	Printed	16
by Robert Barker, printer to the Kings most Excellent Maiestie	NA	NA	by Robert Barker, printed to the Kings most excllent Maiestie	16
Printed by John Gill	NA	NA	Printed by John Gill	16
Printed by Frederick Green	NA	NA	Printed by Frederick Green	16
Printed by John Howe	NA	NA	Printed by John Howe	16
Printed by John Fenno	NA	NA	Printed by John Fenno	16
printed for John Morphew, near Stationers-Hall	NA	NA	printed for John Morphew, near Stationers-Hall	16
printed for J. Debrett	NA	NA	printed for J. Debrett	16
printed for R. Baldwin	NA	NA	printed for R. Baldwin	16
printed for J. Debrett, Opposite Burlington-House, Piccadilly	NA	NA	printed for J. Debrett, Opposite Burlington-House, Piccadilly	16
printed by George Eyre and Andrew Strahan	NA	NA	printed by George Eyre and Andrew Strahan	16
Printed by Boulter Grierson, printer to the King's Most Excellent Majesty	NA	NA	Printed by Boulter Grierson, printed to the King's Most excllent Majesty	16
printed by John Baskett, printer to the Queens most excellent Majesty, and by the assigns of Thomas Newcomb, and Henry Hills, deceas'd	NA	NA	printed by John Baskett, printed to the Queens most printedllent Majesty, and by the assigns of Thomas Newcomb, and Henry Hills, deceas'd	16
Printed by Thomas Purfoot	NA	NA	Printed by Thomas Purfoot	16
In the Savoy, printed by the assigns of John Bill and Christopher Barker, His Majesties printers	NA	the assigns of John Bill and Christopher Barker	NA	16
Printed for Edward Husband, printer to the Honorable House of Commons	NA	NA	Printed for Edward Husband, printed to the Honorable House of Commons	16
by Robert Barker, printer to the Kings most excellent Majesty: and by the assignes of John Bill	NA	NA	by Robert Barker, printed to the Kings most printedllent Majesty: and by the assignes of John Bill	15
printed by John Baskett, Printer to the Kings most Excellent Majesty, and by the assigns of Thomas Newcomb, and Henry Hills, deceas'd	NA	NA	printed by John Baskett, printed to the Kings most excllent Majesty, and by the assigns of Thomas Newcomb, and Henry Hills, deceas'd	15
printed by the assigns of John Bill, Thomas Newcomb, and Henry Hills, printers to the Kings most excellent Majesty	NA	NA	printed by the assigns of John Bill, Thomas Newcomb, and Henry Hills, printed to the Kings most printedllent Majesty	15
printed by John Baskett, and by the assigns of Thomas Newcomb, and Henry Hills, deceas'd	NA	NA	printed by John Baskett, and by the assigns of Thomas Newcomb, and Henry Hills, deceas'd	15
printed for John Morphew, near Stationer's-Hall	NA	NA	printed for John Morphew, near Stationer's-Hall	15
printed for the booksellers	NA	NA	printed for the booksellers	15
printed for Richard Baldwin, near the Black Bull in the Old-Baily	NA	NA	printed for Richard Baldwin, near the Black Bull in the Old-Baily	15
printed for John Wright	NA	NA	printed for John Wright	15
printed by Charles Bill, and the executrix of Thomas Newcomb deceas'd, printers to the Kings most Excellent Majesty	NA	NA	printed by Charles Bill, and the executrix of Thomas Newcomb deceas'd, printed to the Kings most excllent Majesty	15
printed by Charles Bill and the executrix of Thomas Newcomb, deceas'd; printers to the King and Queens most Excellent Majesties	NA	NA	printed by Charles Bill and the executrix of Thomas Newcomb, deceas'd; printed to the King and Queens most excllent Majesties	14
printed by the assigns of John Bill, Thomas Newcomb, and Henry Hills, printers to the Kings most Excellent Majesty	NA	NA	printed by the assigns of John Bill, Thomas Newcomb, and Henry Hills, printed to the Kings most excllent Majesty	14
printed by George Grierson, printer to the King's Most Excellent Majesty	NA	NA	printed by George Grierson, printed to the King's Most excllent Majesty	14
printed by the assigns of John Bill deceas'd: and by Henry Hills, and Thomas Newcomb, printers to the Kings most Excellent Majesty	NA	NA	printed by the assigns of John Bill deceas'd: and by Henry Hills, and Thomas Newcomb, printed to the Kings most excllent Majesty	14
by Robert Barker, printer to the Kings most Excellent Majesty: and by the assignes of John Bill	NA	NA	by Robert Barker, printed to the Kings most excllent Majesty: and by the assignes of John Bill	14
printed by George Grierson, printer to the King's most excellent Majesty, at the King's Arms and Two Bibles in Essex-street	NA	NA	printed by George Grierson, printed to the King's most printedllent Majesty, at the King's Arms and Two Bibles in Essex-street	14
printed by Andrew Crook, printer to the King's Most Excellent Majesty, on the Blind-Key, near Copper-Alley	NA	NA	printed by Andrew Crook, printed to the King's Most excllent Majesty, on the Blind-Key, near Copper-Alley	14
printed by Matthew Simmons	NA	NA	printed by Matthew Simmons	14
Printed by William and Thomas Bradford	NA	NA	Printed by William and Thomas Bradford	14
printed for T. Cooper, at the Globe in Pater-Noster-Row	NA	NA	printed for T. Cooper, at the Globe in Pater-Noster-Row	14
printed for J. Almon, opposite Burlington-House, in Piccadilly	NA	NA	printed for J. Almon, opposite Burlington-House, in Piccadilly	14
chez John Adamson	NA	NA	chez John Adamson	14
by Bonham Norton and Iohn Bill, printers to the Kings most Excellent Maiestie	NA	NA	by Bonham Norton and Iohn Bill, printed to the Kings most excllent Maiestie	14
S.n.	NA	NA	S.n	14
S.n.]	NA	NA	S.n	14
by Leonard Lichfield	NA	NA	by Leonard Lichfield	14
W. Bladen	NA	NA	W. Bladen	14
printed for H. Blunden	NA	NA	printed for H. Blunden	14
printed by B.A.	NA	NA	printed by B.A	14
printed by Edward Husbands and Thomas Newcomb, printers to the Commons House of Parliament	NA	NA	printed by Edward Husbands and Thomas Newcomb, printed to the Commons House of Parliament	14
printed for Robert Wood	NA	NA	printed for Robert Wood	14
printed for John Stockdale, opposite Burlington-House, Piccadilly	NA	NA	printed for John Stockdale, opposite Burlington-House, Piccadilly	13
printed by Charles Bill, and Thomas Newcomb, printers to the King and Queens most Excellent Majesties	NA	NA	printed by Charles Bill, and Thomas Newcomb, printed to the King and Queens most excllent Majesties	13
printed by the assigns of John Bill, deceas'd: and by Henry Hills, and Thomas Newcomb, printers to the Kings most excellent Majesty	NA	NA	printed by the assigns of John Bill, deceas'd: and by Henry Hills, and Thomas Newcomb, printed to the Kings most printedllent Majesty	13
printed by Andrew Crook, Printer to the Queen's most Excellent Majesty, on the Blind-Key	NA	NA	printed by Andrew Crook, printed to the Queen's most excllent Majesty, on the Blind-Key	13
printed by William Bradford	NA	NA	printed by William Bradford	13
Printed by Benjamin Edes?	NA	NA	Printed by Benjamin Edes?	13
Printed by John Draper, printer to his excellency the governour and Council	NA	NA	Printed by John Draper, printed to his printedllency the governour and Council	13
printed for W. Strahan; and T. Cadell, in the Strand	NA	NA	printed for W. Strahan; and T. Cadell, in the Strand	13
printed for A. Millar	NA	NA	printed for A. Millar	13
printed for T. Cadell	NA	NA	printed for T. Cadell	13
printed for Richard Chiswell, at the Rose and Crown in St. Paul's Church-Yard	NA	NA	printed for Richard Chiswell, at the Rose and Crown in St. Paul's Church-Yard	13
Printed by Andrew Crooke, printer to the Queen's Most Excellent Majesty, in Copper-Alley	NA	NA	Printed by Andrew Crooke, printed to the Queen's Most excllent Majesty, in Copper-Alley	13
by Robert Barker, printer to the Kings most excellent Maiestie: and by the assignes of Iohn Bill	NA	NA	by Robert Barker, printed to the Kings most printedllent Maiestie: and by the assignes of Iohn Bill	13
By Robert Barker, Printer to the Kings most Excellent Maiestie: And by the Assignes of Iohn Bill	NA	NA	By Robert Barker, printed to the Kings most excllent Maiestie: And by the Assignes of Iohn Bill	13
printed by the heir of Andrew Anderson, printer to his most sacred Majesty	NA	NA	printed by the heir of Andrew Anderson, printed to his most sacred Majesty	13
by L. Lichfield	NA	NA	by L. Lichfield	13
by Richard Cotes	NA	NA	by Richard Cotes	13
Printed by James Flesher, printer to the Honourable City of London	NA	NA	Printed by James Flesher, printed to the Honourable City of London	13
printed by Leonard Lichfield, printer to the University	NA	NA	printed by Leonard Lichfield, printed to the University	13
printed by Leonard Lichfield	NA	NA	printed by Leonard Lichfield	13
printed for Edward Husbands, and are to be sold at his shop in the Middle-Temple	NA	NA	printed for Edward Husbands, and are to be sold at his shop in the Middle-Temple	13
printed by Iohn Field, printer to the Parliament of England	NA	NA	printed by Iohn Field, printed to the Parliament of England	13
printed for H. Becke, and are to be sold in the Old Bayley	NA	NA	printed for H. Becke, and are to be sold in the Old Bayley	13
printed for Richard Royston	NA	NA	printed for Richard Royston	12
Printed by Edward Jones in the Savoy	NA	NA	Printed by Edward Jones in the Savoy	12
printed by Samuel Green	NA	NA	printed by Samuel Green	12
printed by Andrew Crooke, printer to the Kings most excellent Majesty, at the King's-Arms in Copper-Alley	NA	NA	printed by Andrew Crooke, printed to the Kings most printedllent Majesty, at the King's-Arms in Copper-Alley	12
printed by Andrew Crooke, Printer to the King's most Excellent Majesty, at the King's-Arms in Copper-Alley	NA	NA	printed by Andrew Crooke, printed to the King's most excllent Majesty, at the King's-Arms in Copper-Alley	12
